node1,node2,tstart,tend,line
Stratford,Leyton,917,919,Central line to Leyton
Shepherd's Bush (Central),White City,917,920,Central line to White City
Embankment,Waterloo,917,918,Northern line to Waterloo
Goodge Street,Tottenham Court Road,917,918,Northern line to Tottenham Court Road
Clapham Common,Clapham South,917,919,Northern line to Clapham South
Perivale,Greenford,917,919,Central line to Greenford
Chancery Lane,Holborn,917,918,Central line to Holborn
Wanstead,Leytonstone,917,920,Central line to Leytonstone
Holborn,Chancery Lane,917,918,Central line to Chancery Lane
Tottenham Court Road,Holborn,917,919,Central line to Holborn
White City,Shepherd's Bush (Central),917,919,Central line to Shepherd's Bush (Central)
Colindale,Burnt Oak,917,919,Northern line to Burnt Oak
Marble Arch,Bond Street,917,918,Central line to Bond Street
Liverpool Street,Bank,917,919,Central line to Bank
Woodford,Buckhurst Hill,917,919,Central line to Buckhurst Hill
Redbridge,Gants Hill,917,919,Central line to Gants Hill
Snaresbrook,South Woodford,917,919,Central line to South Woodford
Fairlop,Hainault,917,919,Central line to Hainault
Liverpool Street,Bethnal Green,917,920,Central line to Bethnal Green
St. Paul's,Chancery Lane,917,919,Central line to Chancery Lane
Camden Town,Chalk Farm,917,918,Northern line to Chalk Farm
Highgate,East Finchley,917,919,Northern line to East Finchley
Edgware,Burnt Oak,917,919,Northern line to Burnt Oak
Lancaster Gate,Marble Arch,917,919,Central line to Marble Arch
Brent Cross,Hendon Central,917,918,Northern line to Hendon Central
Mornington Crescent,Euston,917,919,Northern line to Euston
Victoria,Pimlico,917,918,Victoria line to Pimlico
Pimlico,Vauxhall,917,918,Victoria line to Vauxhall
Highbury & Islington,Finsbury Park,917,919,Victoria line to Finsbury Park
Euston,King's Cross St. Pancras,917,918,Victoria line to King's Cross St. Pancras
Green Park,Victoria,917,919,Victoria line to Victoria
Stockwell,Vauxhall,917,919,Victoria line to Vauxhall
Blackhorse Road,Tottenham Hale,917,918,Victoria line to Tottenham Hale
Victoria,Green Park,917,918,Victoria line to Green Park
Vauxhall,Stockwell,917,919,Victoria line to Stockwell
Brixton,Stockwell,917,919,Victoria line to Stockwell
Walthamstow Central,Blackhorse Road,917,919,Victoria line to Blackhorse Road
Finsbury Park,Highbury & Islington,917,919,Victoria line to Highbury & Islington
Seven Sisters,Finsbury Park,917,920,Victoria line to Finsbury Park
Leicester Square,Charing Cross,917,918,Northern line to Charing Cross
Moorgate,Bank,917,919,Northern line to Bank
Woodside Park,West Finchley,917,918,Northern line to West Finchley
Warren Street,Euston,917,918,Northern line to Euston
Tufnell Park,Kentish Town,917,918,Northern line to Kentish Town
Balham,Clapham South,917,919,Northern line to Clapham South
