node1,node2,tstart,tend,line
Seven Sisters,Finsbury Park,521,524,Victoria line to Finsbury Park
Finsbury Park,Highbury & Islington,524,526,Victoria line to Highbury & Islington
Walthamstow Central,Blackhorse Road,525,527,Victoria line to Blackhorse Road
Walthamstow Central,Blackhorse Road,525,527,Victoria line to Blackhorse Road
Brixton,Stockwell,526,528,Victoria line to Stockwell
Brixton,Stockwell,526,528,Victoria line to Stockwell
Seven Sisters,Finsbury Park,526,529,Victoria line to Finsbury Park
Blackhorse Road,Tottenham Hale,527,528,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,527,528,Victoria line to Tottenham Hale
Highbury & Islington,King's Cross St. Pancras,527,529,Victoria line to King's Cross St. Pancras
Stockwell,Vauxhall,528,530,Victoria line to Vauxhall
Tottenham Hale,Blackhorse Road,528,529,Victoria line to Blackhorse Road
Stockwell,Vauxhall,528,530,Victoria line to Vauxhall
Finsbury Park,Highbury & Islington,529,531,Victoria line to Highbury & Islington
King's Cross St. Pancras,Euston,529,530,Victoria line to Euston
Blackhorse Road,Walthamstow Central,530,531,Victoria line to Walthamstow Central
Vauxhall,Pimlico,530,531,Victoria line to Pimlico
Vauxhall,Pimlico,530,531,Victoria line to Pimlico
Euston,Warren Street,531,532,Victoria line to Warren Street
Seven Sisters,Finsbury Park,531,534,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,531,534,Victoria line to Finsbury Park
Highbury & Islington,King's Cross St. Pancras,532,534,Victoria line to King's Cross St. Pancras
Pimlico,Victoria,532,534,Victoria line to Victoria
Pimlico,Victoria,532,534,Victoria line to Victoria
Warren Street,Oxford Circus,532,533,Victoria line to Oxford Circus
King's Cross St. Pancras,Euston,534,535,Victoria line to Euston
Oxford Circus,Green Park,534,535,Victoria line to Green Park
Finsbury Park,Highbury & Islington,534,536,Victoria line to Highbury & Islington
Victoria,Green Park,534,535,Victoria line to Green Park
Victoria,Green Park,534,535,Victoria line to Green Park
Finsbury Park,Highbury & Islington,534,536,Victoria line to Highbury & Islington
Brixton,Stockwell,536,538,Victoria line to Stockwell
Euston,Warren Street,536,537,Victoria line to Warren Street
Seven Sisters,Finsbury Park,536,539,Victoria line to Finsbury Park
Green Park,Victoria,536,538,Victoria line to Victoria
Brixton,Stockwell,536,538,Victoria line to Stockwell
Warren Street,Oxford Circus,537,538,Victoria line to Oxford Circus
Walthamstow Central,Blackhorse Road,537,539,Victoria line to Blackhorse Road
Highbury & Islington,King's Cross St. Pancras,537,539,Victoria line to King's Cross St. Pancras
Highbury & Islington,King's Cross St. Pancras,537,539,Victoria line to King's Cross St. Pancras
Walthamstow Central,Blackhorse Road,537,539,Victoria line to Blackhorse Road
Stockwell,Vauxhall,538,540,Victoria line to Vauxhall
Stockwell,Vauxhall,538,540,Victoria line to Vauxhall
Oxford Circus,Warren Street,538,539,Victoria line to Warren Street
Oxford Circus,Warren Street,538,539,Victoria line to Warren Street
Victoria,Pimlico,538,539,Victoria line to Pimlico
King's Cross St. Pancras,Euston,539,540,Victoria line to Euston
King's Cross St. Pancras,Euston,539,540,Victoria line to Euston
Oxford Circus,Green Park,539,540,Victoria line to Green Park
Finsbury Park,Highbury & Islington,539,541,Victoria line to Highbury & Islington
Warren Street,Euston,539,540,Victoria line to Euston
Warren Street,Euston,539,540,Victoria line to Euston
Blackhorse Road,Tottenham Hale,539,540,Victoria line to Tottenham Hale
Blackhorse Road,Tottenham Hale,539,540,Victoria line to Tottenham Hale
Pimlico,Vauxhall,540,541,Victoria line to Vauxhall
Seven Sisters,Finsbury Park,540,543,Victoria line to Finsbury Park
Vauxhall,Pimlico,540,541,Victoria line to Pimlico
Vauxhall,Pimlico,540,541,Victoria line to Pimlico
Euston,King's Cross St. Pancras,541,542,Victoria line to King's Cross St. Pancras
Euston,Warren Street,541,542,Victoria line to Warren Street
Euston,Warren Street,541,542,Victoria line to Warren Street
Green Park,Victoria,541,543,Victoria line to Victoria
Vauxhall,Stockwell,541,543,Victoria line to Stockwell
Euston,King's Cross St. Pancras,541,542,Victoria line to King's Cross St. Pancras
Pimlico,Victoria,542,544,Victoria line to Victoria
Pimlico,Victoria,542,544,Victoria line to Victoria
Warren Street,Oxford Circus,542,543,Victoria line to Oxford Circus
Warren Street,Oxford Circus,542,543,Victoria line to Oxford Circus
Highbury & Islington,King's Cross St. Pancras,542,544,Victoria line to King's Cross St. Pancras
Tottenham Hale,Blackhorse Road,542,543,Victoria line to Blackhorse Road
Stockwell,Brixton,543,544,Victoria line to Brixton
Finsbury Park,Highbury & Islington,543,545,Victoria line to Highbury & Islington
Victoria,Pimlico,543,544,Victoria line to Pimlico
Oxford Circus,Green Park,544,545,Victoria line to Green Park
Victoria,Green Park,544,545,Victoria line to Green Park
Seven Sisters,Finsbury Park,544,547,Victoria line to Finsbury Park
Seven Sisters,Finsbury Park,544,547,Victoria line to Finsbury Park
King's Cross St. Pancras,Euston,544,545,Victoria line to Euston
Victoria,Green Park,544,545,Victoria line to Green Park
Oxford Circus,Green Park,544,545,Victoria line to Green Park
Blackhorse Road,Walthamstow Central,544,545,Victoria line to Walthamstow Central
Pimlico,Vauxhall,545,546,Victoria line to Vauxhall
Highbury & Islington,Finsbury Park,545,547,Victoria line to Finsbury Park
Highbury & Islington,Finsbury Park,545,547,Victoria line to Finsbury Park
Vauxhall,Stockwell,546,548,Victoria line to Stockwell
Brixton,Stockwell,546,548,Victoria line to Stockwell
Euston,Warren Street,546,547,Victoria line to Warren Street
Brixton,Stockwell,546,548,Victoria line to Stockwell
Green Park,Victoria,546,548,Victoria line to Victoria
Green Park,Victoria,546,548,Victoria line to Victoria
Highbury & Islington,King's Cross St. Pancras,546,548,Victoria line to King's Cross St. Pancras
Seven Sisters,Finsbury Park,547,550,Victoria line to Finsbury Park
Warren Street,Oxford Circus,547,548,Victoria line to Oxford Circus
Finsbury Park,Seven Sisters,547,550,Victoria line to Seven Sisters
Finsbury Park,Seven Sisters,547,550,Victoria line to Seven Sisters
Finsbury Park,Highbury & Islington,547,549,Victoria line to Highbury & Islington
Finsbury Park,Highbury & Islington,547,549,Victoria line to Highbury & Islington
Walthamstow Central,Blackhorse Road,548,550,Victoria line to Blackhorse Road
Stockwell,Brixton,548,549,Victoria line to Brixton
Stockwell,Vauxhall,548,550,Victoria line to Vauxhall
Stockwell,Vauxhall,548,550,Victoria line to Vauxhall
Oxford Circus,Warren Street,548,549,Victoria line to Warren Street
Victoria,Pimlico,548,549,Victoria line to Pimlico
Victoria,Pimlico,548,549,Victoria line to Pimlico
Oxford Circus,Warren Street,548,549,Victoria line to Warren Street
King's Cross St. Pancras,Euston,549,550,Victoria line to Euston
Warren Street,Euston,549,550,Victoria line to Euston
Warren Street,Euston,549,550,Victoria line to Euston
Oxford Circus,Green Park,549,550,Victoria line to Green Park
Blackhorse Road,Tottenham Hale,550,551,Victoria line to Tottenham Hale
Vauxhall,Pimlico,550,551,Victoria line to Pimlico
Euston,Warren Street,550,551,Victoria line to Warren Street
Vauxhall,Pimlico,550,551,Victoria line to Pimlico
Highbury & Islington,King's Cross St. Pancras,550,552,Victoria line to King's Cross St. Pancras
Pimlico,Vauxhall,550,551,Victoria line to Vauxhall
Highbury & Islington,King's Cross St. Pancras,550,552,Victoria line to King's Cross St. Pancras
Pimlico,Vauxhall,550,551,Victoria line to Vauxhall
Seven Sisters,Finsbury Park,551,554,Victoria line to Finsbury Park
Euston,King's Cross St. Pancras,551,552,Victoria line to King's Cross St. Pancras
Victoria,Green Park,551,552,Victoria line to Green Park
Vauxhall,Stockwell,551,553,Victoria line to Stockwell
Vauxhall,Stockwell,551,553,Victoria line to Stockwell
Euston,King's Cross St. Pancras,551,552,Victoria line to King's Cross St. Pancras
Finsbury Park,Highbury & Islington,551,553,Victoria line to Highbury & Islington
Green Park,Victoria,551,553,Victoria line to Victoria
Pimlico,Victoria,552,554,Victoria line to Victoria
Pimlico,Victoria,552,554,Victoria line to Victoria
King's Cross St. Pancras,Euston,552,553,Victoria line to Euston
Warren Street,Oxford Circus,552,553,Victoria line to Oxford Circus
King's Cross St. Pancras,Euston,552,553,Victoria line to Euston
