node1,node2,tstart,tend,line
Waterloo,Bank,600,604,Waterloo & City line to Bank
Waterloo,Bank,600,604,Waterloo & City line to Bank
Bank,Waterloo,606,609,Waterloo & City line to Waterloo
Bank,Waterloo,606,609,Waterloo & City line to Waterloo
Waterloo,Bank,607,611,Waterloo & City line to Bank
Waterloo,Bank,607,611,Waterloo & City line to Bank
Bank,Waterloo,614,617,Waterloo & City line to Waterloo
Waterloo,Bank,614,618,Waterloo & City line to Bank
Waterloo,Bank,614,618,Waterloo & City line to Bank
Bank,Waterloo,614,617,Waterloo & City line to Waterloo
Waterloo,Bank,620,624,Waterloo & City line to Bank
Waterloo,Bank,620,624,Waterloo & City line to Bank
Bank,Waterloo,621,624,Waterloo & City line to Waterloo
Bank,Waterloo,621,624,Waterloo & City line to Waterloo
Waterloo,Bank,625,629,Waterloo & City line to Bank
Waterloo,Bank,625,629,Waterloo & City line to Bank
Bank,Waterloo,626,629,Waterloo & City line to Waterloo
Bank,Waterloo,626,629,Waterloo & City line to Waterloo
Waterloo,Bank,630,634,Waterloo & City line to Bank
Waterloo,Bank,630,634,Waterloo & City line to Bank
Bank,Waterloo,631,634,Waterloo & City line to Waterloo
Bank,Waterloo,631,634,Waterloo & City line to Waterloo
Waterloo,Bank,634,638,Waterloo & City line to Bank
Waterloo,Bank,634,638,Waterloo & City line to Bank
Bank,Waterloo,636,639,Waterloo & City line to Waterloo
Bank,Waterloo,636,639,Waterloo & City line to Waterloo
Waterloo,Bank,639,643,Waterloo & City line to Bank
Bank,Waterloo,640,643,Waterloo & City line to Waterloo
Bank,Waterloo,640,643,Waterloo & City line to Waterloo
Waterloo,Bank,643,647,Waterloo & City line to Bank
Bank,Waterloo,643,646,Waterloo & City line to Waterloo
Bank,Waterloo,643,646,Waterloo & City line to Waterloo
Bank,Waterloo,646,649,Waterloo & City line to Waterloo
Waterloo,Bank,646,650,Waterloo & City line to Bank
Waterloo,Bank,649,653,Waterloo & City line to Bank
Bank,Waterloo,649,652,Waterloo & City line to Waterloo
Waterloo,Bank,652,656,Waterloo & City line to Bank
Bank,Waterloo,652,655,Waterloo & City line to Waterloo
Bank,Waterloo,655,658,Waterloo & City line to Waterloo
Waterloo,Bank,655,659,Waterloo & City line to Bank
Waterloo,Bank,657,661,Waterloo & City line to Bank
Bank,Waterloo,657,660,Waterloo & City line to Waterloo
Bank,Waterloo,700,703,Waterloo & City line to Waterloo
Waterloo,Bank,700,704,Waterloo & City line to Bank
Waterloo,Bank,703,707,Waterloo & City line to Bank
Bank,Waterloo,703,706,Waterloo & City line to Waterloo
Waterloo,Bank,706,710,Waterloo & City line to Bank
Bank,Waterloo,706,709,Waterloo & City line to Waterloo
Waterloo,Bank,708,712,Waterloo & City line to Bank
Bank,Waterloo,708,711,Waterloo & City line to Waterloo
Bank,Waterloo,711,714,Waterloo & City line to Waterloo
Waterloo,Bank,711,715,Waterloo & City line to Bank
Waterloo,Bank,714,718,Waterloo & City line to Bank
Bank,Waterloo,714,717,Waterloo & City line to Waterloo
Waterloo,Bank,717,721,Waterloo & City line to Bank
Bank,Waterloo,717,720,Waterloo & City line to Waterloo
Waterloo,Bank,719,723,Waterloo & City line to Bank
Bank,Waterloo,719,722,Waterloo & City line to Waterloo
Bank,Waterloo,722,725,Waterloo & City line to Waterloo
Waterloo,Bank,722,726,Waterloo & City line to Bank
Waterloo,Bank,725,729,Waterloo & City line to Bank
Bank,Waterloo,725,728,Waterloo & City line to Waterloo
Waterloo,Bank,728,732,Waterloo & City line to Bank
Bank,Waterloo,728,731,Waterloo & City line to Waterloo
Bank,Waterloo,730,733,Waterloo & City line to Waterloo
Waterloo,Bank,730,734,Waterloo & City line to Bank
Waterloo,Bank,733,737,Waterloo & City line to Bank
Bank,Waterloo,733,736,Waterloo & City line to Waterloo
Bank,Waterloo,736,739,Waterloo & City line to Waterloo
Waterloo,Bank,736,740,Waterloo & City line to Bank
Bank,Waterloo,739,742,Waterloo & City line to Waterloo
Waterloo,Bank,739,743,Waterloo & City line to Bank
Waterloo,Bank,741,745,Waterloo & City line to Bank
Bank,Waterloo,741,744,Waterloo & City line to Waterloo
Bank,Waterloo,744,747,Waterloo & City line to Waterloo
Waterloo,Bank,744,748,Waterloo & City line to Bank
Bank,Waterloo,747,750,Waterloo & City line to Waterloo
Waterloo,Bank,747,751,Waterloo & City line to Bank
Bank,Waterloo,750,753,Waterloo & City line to Waterloo
Waterloo,Bank,750,754,Waterloo & City line to Bank
Bank,Waterloo,752,755,Waterloo & City line to Waterloo
Waterloo,Bank,752,756,Waterloo & City line to Bank
Waterloo,Bank,755,759,Waterloo & City line to Bank
Bank,Waterloo,755,758,Waterloo & City line to Waterloo
Bank,Waterloo,758,761,Waterloo & City line to Waterloo
Waterloo,Bank,758,762,Waterloo & City line to Bank
Bank,Waterloo,801,804,Waterloo & City line to Waterloo
Waterloo,Bank,801,805,Waterloo & City line to Bank
Bank,Waterloo,803,806,Waterloo & City line to Waterloo
Waterloo,Bank,803,807,Waterloo & City line to Bank
Bank,Waterloo,806,809,Waterloo & City line to Waterloo
Waterloo,Bank,806,810,Waterloo & City line to Bank
Bank,Waterloo,809,812,Waterloo & City line to Waterloo
Waterloo,Bank,809,813,Waterloo & City line to Bank
Bank,Waterloo,812,815,Waterloo & City line to Waterloo
Waterloo,Bank,812,816,Waterloo & City line to Bank
Bank,Waterloo,814,817,Waterloo & City line to Waterloo
Waterloo,Bank,814,818,Waterloo & City line to Bank
Bank,Waterloo,817,820,Waterloo & City line to Waterloo
Waterloo,Bank,817,821,Waterloo & City line to Bank
Bank,Waterloo,820,823,Waterloo & City line to Waterloo
Waterloo,Bank,820,824,Waterloo & City line to Bank
Bank,Waterloo,823,826,Waterloo & City line to Waterloo
Waterloo,Bank,823,827,Waterloo & City line to Bank
Waterloo,Bank,825,829,Waterloo & City line to Bank
Bank,Waterloo,825,828,Waterloo & City line to Waterloo
Waterloo,Bank,828,832,Waterloo & City line to Bank
Bank,Waterloo,828,831,Waterloo & City line to Waterloo
Waterloo,Bank,831,835,Waterloo & City line to Bank
Bank,Waterloo,831,834,Waterloo & City line to Waterloo
Waterloo,Bank,834,838,Waterloo & City line to Bank
Bank,Waterloo,834,837,Waterloo & City line to Waterloo
Waterloo,Bank,836,840,Waterloo & City line to Bank
Bank,Waterloo,836,839,Waterloo & City line to Waterloo
Bank,Waterloo,839,842,Waterloo & City line to Waterloo
Waterloo,Bank,839,843,Waterloo & City line to Bank
Bank,Waterloo,842,845,Waterloo & City line to Waterloo
Waterloo,Bank,842,846,Waterloo & City line to Bank
Bank,Waterloo,845,848,Waterloo & City line to Waterloo
Waterloo,Bank,845,849,Waterloo & City line to Bank
Waterloo,Bank,847,851,Waterloo & City line to Bank
Bank,Waterloo,847,850,Waterloo & City line to Waterloo
Bank,Waterloo,850,853,Waterloo & City line to Waterloo
Waterloo,Bank,850,854,Waterloo & City line to Bank
Bank,Waterloo,853,856,Waterloo & City line to Waterloo
Waterloo,Bank,853,857,Waterloo & City line to Bank
Bank,Waterloo,856,859,Waterloo & City line to Waterloo
Waterloo,Bank,856,860,Waterloo & City line to Bank
Bank,Waterloo,858,861,Waterloo & City line to Waterloo
Waterloo,Bank,858,862,Waterloo & City line to Bank
Bank,Waterloo,901,904,Waterloo & City line to Waterloo
Waterloo,Bank,901,905,Waterloo & City line to Bank
Bank,Waterloo,904,907,Waterloo & City line to Waterloo
Waterloo,Bank,904,908,Waterloo & City line to Bank
Waterloo,Bank,907,911,Waterloo & City line to Bank
Bank,Waterloo,907,910,Waterloo & City line to Waterloo
Bank,Waterloo,909,912,Waterloo & City line to Waterloo
Waterloo,Bank,909,913,Waterloo & City line to Bank
Bank,Waterloo,912,915,Waterloo & City line to Waterloo
Waterloo,Bank,912,916,Waterloo & City line to Bank
Bank,Waterloo,915,918,Waterloo & City line to Waterloo
Waterloo,Bank,915,919,Waterloo & City line to Bank
Waterloo,Bank,918,922,Waterloo & City line to Bank
Bank,Waterloo,918,921,Waterloo & City line to Waterloo
Waterloo,Bank,920,924,Waterloo & City line to Bank
Bank,Waterloo,920,923,Waterloo & City line to Waterloo
Bank,Waterloo,923,926,Waterloo & City line to Waterloo
Waterloo,Bank,923,927,Waterloo & City line to Bank
Waterloo,Bank,926,930,Waterloo & City line to Bank
