node1,node2,tstart,tend,line
Bond Street,Marble Arch,558,559,Central line to Marble Arch
Bond Street,Marble Arch,601,602,Central line to Marble Arch
Bond Street,Marble Arch,608,609,Central line to Marble Arch
Bond Street,Marble Arch,613,614,Central line to Marble Arch
Bond Street,Marble Arch,618,619,Central line to Marble Arch
Bond Street,Marble Arch,621,622,Central line to Marble Arch
Bond Street,Marble Arch,625,626,Central line to Marble Arch
Bond Street,Marble Arch,628,629,Central line to Marble Arch
Bond Street,Marble Arch,632,633,Central line to Marble Arch
Bond Street,Marble Arch,635,636,Central line to Marble Arch
Bond Street,Marble Arch,639,640,Central line to Marble Arch
Bond Street,Marble Arch,642,643,Central line to Marble Arch
Bond Street,Marble Arch,645,646,Central line to Marble Arch
Bond Street,Marble Arch,649,650,Central line to Marble Arch
Bond Street,Marble Arch,652,653,Central line to Marble Arch
Bond Street,Marble Arch,655,656,Central line to Marble Arch
Bond Street,Marble Arch,658,659,Central line to Marble Arch
Bond Street,Marble Arch,701,702,Central line to Marble Arch
Bond Street,Marble Arch,704,705,Central line to Marble Arch
Bond Street,Marble Arch,707,708,Central line to Marble Arch
Bond Street,Marble Arch,709,710,Central line to Marble Arch
Bond Street,Marble Arch,712,713,Central line to Marble Arch
Bond Street,Marble Arch,715,716,Central line to Marble Arch
Bond Street,Marble Arch,717,718,Central line to Marble Arch
Bond Street,Marble Arch,720,721,Central line to Marble Arch
Bond Street,Marble Arch,722,723,Central line to Marble Arch
Bond Street,Marble Arch,725,726,Central line to Marble Arch
Bond Street,Marble Arch,727,728,Central line to Marble Arch
Bond Street,Marble Arch,730,731,Central line to Marble Arch
Bond Street,Marble Arch,732,733,Central line to Marble Arch
Bond Street,Marble Arch,734,735,Central line to Marble Arch
Bond Street,Marble Arch,736,737,Central line to Marble Arch
Bond Street,Marble Arch,739,740,Central line to Marble Arch
Bond Street,Marble Arch,741,742,Central line to Marble Arch
Bond Street,Marble Arch,743,744,Central line to Marble Arch
Bond Street,Marble Arch,745,746,Central line to Marble Arch
Bond Street,Marble Arch,748,749,Central line to Marble Arch
Bond Street,Marble Arch,750,751,Central line to Marble Arch
Bond Street,Marble Arch,752,753,Central line to Marble Arch
Bond Street,Marble Arch,754,755,Central line to Marble Arch
Bond Street,Marble Arch,757,758,Central line to Marble Arch
Bond Street,Marble Arch,759,760,Central line to Marble Arch
Bond Street,Marble Arch,801,802,Central line to Marble Arch
Bond Street,Marble Arch,803,804,Central line to Marble Arch
Bond Street,Marble Arch,805,806,Central line to Marble Arch
Bond Street,Marble Arch,807,808,Central line to Marble Arch
Bond Street,Marble Arch,809,810,Central line to Marble Arch
Bond Street,Marble Arch,811,812,Central line to Marble Arch
Bond Street,Marble Arch,813,814,Central line to Marble Arch
Bond Street,Marble Arch,815,816,Central line to Marble Arch
Bond Street,Marble Arch,817,818,Central line to Marble Arch
Bond Street,Marble Arch,819,820,Central line to Marble Arch
Bond Street,Marble Arch,821,822,Central line to Marble Arch
Bond Street,Marble Arch,823,824,Central line to Marble Arch
Bond Street,Marble Arch,825,826,Central line to Marble Arch
Bond Street,Marble Arch,827,828,Central line to Marble Arch
Bond Street,Marble Arch,829,830,Central line to Marble Arch
Bond Street,Marble Arch,831,832,Central line to Marble Arch
Bond Street,Marble Arch,833,834,Central line to Marble Arch
Bond Street,Marble Arch,834,835,Central line to Marble Arch
Bond Street,Marble Arch,836,837,Central line to Marble Arch
Bond Street,Marble Arch,838,839,Central line to Marble Arch
Bond Street,Marble Arch,840,841,Central line to Marble Arch
Bond Street,Marble Arch,842,843,Central line to Marble Arch
Bond Street,Marble Arch,844,845,Central line to Marble Arch
