node1,node2,tstart,tend,line
Chancery Lane,St. Paul's,552,553,Central line to St. Paul's
Chancery Lane,St. Paul's,558,559,Central line to St. Paul's
Chancery Lane,St. Paul's,604,605,Central line to St. Paul's
Chancery Lane,St. Paul's,610,611,Central line to St. Paul's
Chancery Lane,St. Paul's,615,616,Central line to St. Paul's
Chancery Lane,St. Paul's,619,620,Central line to St. Paul's
Chancery Lane,St. Paul's,622,623,Central line to St. Paul's
Chancery Lane,St. Paul's,626,627,Central line to St. Paul's
Chancery Lane,St. Paul's,629,630,Central line to St. Paul's
Chancery Lane,St. Paul's,632,633,Central line to St. Paul's
Chancery Lane,St. Paul's,636,637,Central line to St. Paul's
Chancery Lane,St. Paul's,639,640,Central line to St. Paul's
Chancery Lane,St. Paul's,642,643,Central line to St. Paul's
Chancery Lane,St. Paul's,645,646,Central line to St. Paul's
Chancery Lane,St. Paul's,649,650,Central line to St. Paul's
Chancery Lane,St. Paul's,652,653,Central line to St. Paul's
Chancery Lane,St. Paul's,655,656,Central line to St. Paul's
Chancery Lane,St. Paul's,658,659,Central line to St. Paul's
Chancery Lane,St. Paul's,702,703,Central line to St. Paul's
Chancery Lane,St. Paul's,705,706,Central line to St. Paul's
Chancery Lane,St. Paul's,708,709,Central line to St. Paul's
Chancery Lane,St. Paul's,711,712,Central line to St. Paul's
Chancery Lane,St. Paul's,713,714,Central line to St. Paul's
Chancery Lane,St. Paul's,716,717,Central line to St. Paul's
Chancery Lane,St. Paul's,719,720,Central line to St. Paul's
Chancery Lane,St. Paul's,721,722,Central line to St. Paul's
Chancery Lane,St. Paul's,724,725,Central line to St. Paul's
Chancery Lane,St. Paul's,726,727,Central line to St. Paul's
Chancery Lane,St. Paul's,729,730,Central line to St. Paul's
Chancery Lane,St. Paul's,731,732,Central line to St. Paul's
Chancery Lane,St. Paul's,734,735,Central line to St. Paul's
Chancery Lane,St. Paul's,736,737,Central line to St. Paul's
Chancery Lane,St. Paul's,739,740,Central line to St. Paul's
Chancery Lane,St. Paul's,741,742,Central line to St. Paul's
Chancery Lane,St. Paul's,744,745,Central line to St. Paul's
Chancery Lane,St. Paul's,746,747,Central line to St. Paul's
Chancery Lane,St. Paul's,748,749,Central line to St. Paul's
Chancery Lane,St. Paul's,751,752,Central line to St. Paul's
Chancery Lane,St. Paul's,753,754,Central line to St. Paul's
Chancery Lane,St. Paul's,755,756,Central line to St. Paul's
Chancery Lane,St. Paul's,757,758,Central line to St. Paul's
Chancery Lane,St. Paul's,800,801,Central line to St. Paul's
Chancery Lane,St. Paul's,802,803,Central line to St. Paul's
Chancery Lane,St. Paul's,804,805,Central line to St. Paul's
Chancery Lane,St. Paul's,806,807,Central line to St. Paul's
Chancery Lane,St. Paul's,809,810,Central line to St. Paul's
Chancery Lane,St. Paul's,811,812,Central line to St. Paul's
Chancery Lane,St. Paul's,813,814,Central line to St. Paul's
Chancery Lane,St. Paul's,815,816,Central line to St. Paul's
Chancery Lane,St. Paul's,818,819,Central line to St. Paul's
Chancery Lane,St. Paul's,820,821,Central line to St. Paul's
Chancery Lane,St. Paul's,822,823,Central line to St. Paul's
Chancery Lane,St. Paul's,824,825,Central line to St. Paul's
Chancery Lane,St. Paul's,827,828,Central line to St. Paul's
Chancery Lane,St. Paul's,829,830,Central line to St. Paul's
Chancery Lane,St. Paul's,831,832,Central line to St. Paul's
Chancery Lane,St. Paul's,833,834,Central line to St. Paul's
Chancery Lane,St. Paul's,836,837,Central line to St. Paul's
Chancery Lane,St. Paul's,838,839,Central line to St. Paul's
Chancery Lane,St. Paul's,840,841,Central line to St. Paul's
Chancery Lane,St. Paul's,842,843,Central line to St. Paul's
Chancery Lane,St. Paul's,844,845,Central line to St. Paul's
Chancery Lane,St. Paul's,846,847,Central line to St. Paul's
Chancery Lane,St. Paul's,848,849,Central line to St. Paul's
Chancery Lane,St. Paul's,850,851,Central line to St. Paul's
Chancery Lane,St. Paul's,852,853,Central line to St. Paul's
Chancery Lane,St. Paul's,854,855,Central line to St. Paul's
Chancery Lane,St. Paul's,856,857,Central line to St. Paul's
Chancery Lane,St. Paul's,858,859,Central line to St. Paul's
Chancery Lane,St. Paul's,900,901,Central line to St. Paul's
Chancery Lane,St. Paul's,902,903,Central line to St. Paul's
Chancery Lane,St. Paul's,904,905,Central line to St. Paul's
Chancery Lane,St. Paul's,906,907,Central line to St. Paul's
Chancery Lane,St. Paul's,908,909,Central line to St. Paul's
Chancery Lane,St. Paul's,911,912,Central line to St. Paul's
Chancery Lane,St. Paul's,914,915,Central line to St. Paul's
Chancery Lane,St. Paul's,916,917,Central line to St. Paul's
Chancery Lane,St. Paul's,918,919,Central line to St. Paul's
Chancery Lane,St. Paul's,921,922,Central line to St. Paul's
Chancery Lane,St. Paul's,923,924,Central line to St. Paul's
Chancery Lane,St. Paul's,925,926,Central line to St. Paul's
Chancery Lane,St. Paul's,927,928,Central line to St. Paul's
Chancery Lane,St. Paul's,930,931,Central line to St. Paul's
Chancery Lane,St. Paul's,932,933,Central line to St. Paul's
Chancery Lane,St. Paul's,934,935,Central line to St. Paul's
Chancery Lane,St. Paul's,936,937,Central line to St. Paul's
Chancery Lane,St. Paul's,939,940,Central line to St. Paul's
Chancery Lane,St. Paul's,941,942,Central line to St. Paul's
Chancery Lane,St. Paul's,943,944,Central line to St. Paul's
Chancery Lane,St. Paul's,945,946,Central line to St. Paul's
Chancery Lane,St. Paul's,948,949,Central line to St. Paul's
Chancery Lane,St. Paul's,950,951,Central line to St. Paul's
Chancery Lane,St. Paul's,952,953,Central line to St. Paul's
Chancery Lane,St. Paul's,954,955,Central line to St. Paul's
Chancery Lane,St. Paul's,957,958,Central line to St. Paul's
Chancery Lane,St. Paul's,959,960,Central line to St. Paul's
Chancery Lane,St. Paul's,1001,1002,Central line to St. Paul's
Chancery Lane,St. Paul's,1003,1004,Central line to St. Paul's
Chancery Lane,St. Paul's,1006,1007,Central line to St. Paul's
Chancery Lane,St. Paul's,1008,1009,Central line to St. Paul's
Chancery Lane,St. Paul's,1010,1011,Central line to St. Paul's
Chancery Lane,St. Paul's,1012,1013,Central line to St. Paul's
Chancery Lane,St. Paul's,1015,1016,Central line to St. Paul's
Chancery Lane,St. Paul's,1017,1018,Central line to St. Paul's
Chancery Lane,St. Paul's,1019,1020,Central line to St. Paul's
Chancery Lane,St. Paul's,1021,1022,Central line to St. Paul's
Chancery Lane,St. Paul's,1024,1025,Central line to St. Paul's
Chancery Lane,St. Paul's,1026,1027,Central line to St. Paul's
Chancery Lane,St. Paul's,1028,1029,Central line to St. Paul's
Chancery Lane,St. Paul's,1030,1031,Central line to St. Paul's
Chancery Lane,St. Paul's,1033,1034,Central line to St. Paul's
Chancery Lane,St. Paul's,1035,1036,Central line to St. Paul's
Chancery Lane,St. Paul's,1038,1039,Central line to St. Paul's
Chancery Lane,St. Paul's,1040,1041,Central line to St. Paul's
Chancery Lane,St. Paul's,1043,1044,Central line to St. Paul's
Chancery Lane,St. Paul's,1045,1046,Central line to St. Paul's
Chancery Lane,St. Paul's,1048,1049,Central line to St. Paul's
Chancery Lane,St. Paul's,1050,1051,Central line to St. Paul's
Chancery Lane,St. Paul's,1053,1054,Central line to St. Paul's
Chancery Lane,St. Paul's,1055,1056,Central line to St. Paul's
Chancery Lane,St. Paul's,1058,1059,Central line to St. Paul's
Chancery Lane,St. Paul's,1100,1101,Central line to St. Paul's
Chancery Lane,St. Paul's,1103,1104,Central line to St. Paul's
Chancery Lane,St. Paul's,1105,1106,Central line to St. Paul's
Chancery Lane,St. Paul's,1108,1109,Central line to St. Paul's
Chancery Lane,St. Paul's,1110,1111,Central line to St. Paul's
Chancery Lane,St. Paul's,1113,1114,Central line to St. Paul's
Chancery Lane,St. Paul's,1115,1116,Central line to St. Paul's
Chancery Lane,St. Paul's,1118,1119,Central line to St. Paul's
Chancery Lane,St. Paul's,1120,1121,Central line to St. Paul's
Chancery Lane,St. Paul's,1123,1124,Central line to St. Paul's
Chancery Lane,St. Paul's,1125,1126,Central line to St. Paul's
Chancery Lane,St. Paul's,1128,1129,Central line to St. Paul's
Chancery Lane,St. Paul's,1130,1131,Central line to St. Paul's
Chancery Lane,St. Paul's,1133,1134,Central line to St. Paul's
Chancery Lane,St. Paul's,1135,1136,Central line to St. Paul's
Chancery Lane,St. Paul's,1138,1139,Central line to St. Paul's
Chancery Lane,St. Paul's,1140,1141,Central line to St. Paul's
Chancery Lane,St. Paul's,1143,1144,Central line to St. Paul's
Chancery Lane,St. Paul's,1145,1146,Central line to St. Paul's
Chancery Lane,St. Paul's,1148,1149,Central line to St. Paul's
Chancery Lane,St. Paul's,1150,1151,Central line to St. Paul's
Chancery Lane,St. Paul's,1153,1154,Central line to St. Paul's
Chancery Lane,St. Paul's,1155,1156,Central line to St. Paul's
Chancery Lane,St. Paul's,1158,1159,Central line to St. Paul's
Chancery Lane,St. Paul's,1200,1201,Central line to St. Paul's
Chancery Lane,St. Paul's,1203,1204,Central line to St. Paul's
Chancery Lane,St. Paul's,1205,1206,Central line to St. Paul's
Chancery Lane,St. Paul's,1208,1209,Central line to St. Paul's
Chancery Lane,St. Paul's,1210,1211,Central line to St. Paul's
Chancery Lane,St. Paul's,1213,1214,Central line to St. Paul's
Chancery Lane,St. Paul's,1215,1216,Central line to St. Paul's
Chancery Lane,St. Paul's,1218,1219,Central line to St. Paul's
Chancery Lane,St. Paul's,1220,1221,Central line to St. Paul's
Chancery Lane,St. Paul's,1223,1224,Central line to St. Paul's
Chancery Lane,St. Paul's,1225,1226,Central line to St. Paul's
Chancery Lane,St. Paul's,1228,1229,Central line to St. Paul's
Chancery Lane,St. Paul's,1230,1231,Central line to St. Paul's
Chancery Lane,St. Paul's,1233,1234,Central line to St. Paul's
Chancery Lane,St. Paul's,1235,1236,Central line to St. Paul's
Chancery Lane,St. Paul's,1238,1239,Central line to St. Paul's
Chancery Lane,St. Paul's,1240,1241,Central line to St. Paul's
Chancery Lane,St. Paul's,1243,1244,Central line to St. Paul's
Chancery Lane,St. Paul's,1245,1246,Central line to St. Paul's
Chancery Lane,St. Paul's,1248,1249,Central line to St. Paul's
Chancery Lane,St. Paul's,1250,1251,Central line to St. Paul's
Chancery Lane,St. Paul's,1253,1254,Central line to St. Paul's
Chancery Lane,St. Paul's,1255,1256,Central line to St. Paul's
Chancery Lane,St. Paul's,1258,1259,Central line to St. Paul's
Chancery Lane,St. Paul's,1300,1301,Central line to St. Paul's
Chancery Lane,St. Paul's,1303,1304,Central line to St. Paul's
Chancery Lane,St. Paul's,1305,1306,Central line to St. Paul's
Chancery Lane,St. Paul's,1308,1309,Central line to St. Paul's
Chancery Lane,St. Paul's,1310,1311,Central line to St. Paul's
Chancery Lane,St. Paul's,1313,1314,Central line to St. Paul's
Chancery Lane,St. Paul's,1315,1316,Central line to St. Paul's
Chancery Lane,St. Paul's,1318,1319,Central line to St. Paul's
Chancery Lane,St. Paul's,1320,1321,Central line to St. Paul's
Chancery Lane,St. Paul's,1323,1324,Central line to St. Paul's
Chancery Lane,St. Paul's,1325,1326,Central line to St. Paul's
Chancery Lane,St. Paul's,1328,1329,Central line to St. Paul's
Chancery Lane,St. Paul's,1330,1331,Central line to St. Paul's
Chancery Lane,St. Paul's,1333,1334,Central line to St. Paul's
Chancery Lane,St. Paul's,1335,1336,Central line to St. Paul's
Chancery Lane,St. Paul's,1338,1339,Central line to St. Paul's
Chancery Lane,St. Paul's,1340,1341,Central line to St. Paul's
Chancery Lane,St. Paul's,1343,1344,Central line to St. Paul's
Chancery Lane,St. Paul's,1345,1346,Central line to St. Paul's
Chancery Lane,St. Paul's,1348,1349,Central line to St. Paul's
Chancery Lane,St. Paul's,1350,1351,Central line to St. Paul's
Chancery Lane,St. Paul's,1353,1354,Central line to St. Paul's
Chancery Lane,St. Paul's,1355,1356,Central line to St. Paul's
Chancery Lane,St. Paul's,1358,1359,Central line to St. Paul's
Chancery Lane,St. Paul's,1400,1401,Central line to St. Paul's
Chancery Lane,St. Paul's,1403,1404,Central line to St. Paul's
Chancery Lane,St. Paul's,1405,1406,Central line to St. Paul's
Chancery Lane,St. Paul's,1408,1409,Central line to St. Paul's
Chancery Lane,St. Paul's,1410,1411,Central line to St. Paul's
Chancery Lane,St. Paul's,1413,1414,Central line to St. Paul's
Chancery Lane,St. Paul's,1415,1416,Central line to St. Paul's
Chancery Lane,St. Paul's,1418,1419,Central line to St. Paul's
Chancery Lane,St. Paul's,1420,1421,Central line to St. Paul's
Chancery Lane,St. Paul's,1423,1424,Central line to St. Paul's
Chancery Lane,St. Paul's,1425,1426,Central line to St. Paul's
Chancery Lane,St. Paul's,1428,1429,Central line to St. Paul's
Chancery Lane,St. Paul's,1430,1431,Central line to St. Paul's
Chancery Lane,St. Paul's,1433,1434,Central line to St. Paul's
Chancery Lane,St. Paul's,1435,1436,Central line to St. Paul's
Chancery Lane,St. Paul's,1438,1439,Central line to St. Paul's
Chancery Lane,St. Paul's,1440,1441,Central line to St. Paul's
Chancery Lane,St. Paul's,1443,1444,Central line to St. Paul's
Chancery Lane,St. Paul's,1445,1446,Central line to St. Paul's
Chancery Lane,St. Paul's,1448,1449,Central line to St. Paul's
Chancery Lane,St. Paul's,1450,1451,Central line to St. Paul's
Chancery Lane,St. Paul's,1453,1454,Central line to St. Paul's
Chancery Lane,St. Paul's,1455,1456,Central line to St. Paul's
