node1,node2,tstart,tend,line
Fairlop,Barkingside,520,521,Central line to Barkingside
Fairlop,Barkingside,528,529,Central line to Barkingside
Fairlop,Barkingside,538,539,Central line to Barkingside
Fairlop,Barkingside,545,546,Central line to Barkingside
Fairlop,Barkingside,552,553,Central line to Barkingside
Fairlop,Barkingside,559,560,Central line to Barkingside
Fairlop,Barkingside,605,606,Central line to Barkingside
Fairlop,Barkingside,610,611,Central line to Barkingside
Fairlop,Barkingside,617,618,Central line to Barkingside
Fairlop,Barkingside,623,624,Central line to Barkingside
Fairlop,Barkingside,628,629,Central line to Barkingside
Fairlop,Barkingside,633,634,Central line to Barkingside
Fairlop,Barkingside,639,640,Central line to Barkingside
Fairlop,Barkingside,643,644,Central line to Barkingside
Fairlop,Barkingside,649,650,Central line to Barkingside
Fairlop,Barkingside,653,654,Central line to Barkingside
Fairlop,Barkingside,658,659,Central line to Barkingside
Fairlop,Barkingside,702,703,Central line to Barkingside
Fairlop,Barkingside,707,708,Central line to Barkingside
Fairlop,Barkingside,711,712,Central line to Barkingside
Fairlop,Barkingside,715,716,Central line to Barkingside
Fairlop,Barkingside,720,721,Central line to Barkingside
Fairlop,Barkingside,723,724,Central line to Barkingside
Fairlop,Barkingside,727,728,Central line to Barkingside
Fairlop,Barkingside,732,733,Central line to Barkingside
Fairlop,Barkingside,735,736,Central line to Barkingside
Fairlop,Barkingside,739,740,Central line to Barkingside
Fairlop,Barkingside,743,744,Central line to Barkingside
Fairlop,Barkingside,747,748,Central line to Barkingside
Fairlop,Barkingside,750,751,Central line to Barkingside
Fairlop,Barkingside,753,754,Central line to Barkingside
Fairlop,Barkingside,759,760,Central line to Barkingside
Fairlop,Barkingside,802,803,Central line to Barkingside
Fairlop,Barkingside,808,809,Central line to Barkingside
Fairlop,Barkingside,812,813,Central line to Barkingside
Fairlop,Barkingside,815,816,Central line to Barkingside
Fairlop,Barkingside,821,822,Central line to Barkingside
Fairlop,Barkingside,825,826,Central line to Barkingside
Fairlop,Barkingside,830,831,Central line to Barkingside
Fairlop,Barkingside,837,838,Central line to Barkingside
Fairlop,Barkingside,843,844,Central line to Barkingside
Fairlop,Barkingside,848,849,Central line to Barkingside
Fairlop,Barkingside,852,853,Central line to Barkingside
Fairlop,Barkingside,900,901,Central line to Barkingside
Fairlop,Barkingside,906,907,Central line to Barkingside
Fairlop,Barkingside,911,912,Central line to Barkingside
Fairlop,Barkingside,917,918,Central line to Barkingside
Fairlop,Barkingside,925,926,Central line to Barkingside
Fairlop,Barkingside,932,933,Central line to Barkingside
Fairlop,Barkingside,937,938,Central line to Barkingside
Fairlop,Barkingside,946,947,Central line to Barkingside
Fairlop,Barkingside,951,952,Central line to Barkingside
Fairlop,Barkingside,958,959,Central line to Barkingside
Fairlop,Barkingside,1006,1007,Central line to Barkingside
Fairlop,Barkingside,1013,1014,Central line to Barkingside
Fairlop,Barkingside,1019,1020,Central line to Barkingside
Fairlop,Barkingside,1027,1028,Central line to Barkingside
Fairlop,Barkingside,1033,1034,Central line to Barkingside
Fairlop,Barkingside,1038,1039,Central line to Barkingside
Fairlop,Barkingside,1047,1048,Central line to Barkingside
Fairlop,Barkingside,1051,1052,Central line to Barkingside
Fairlop,Barkingside,1058,1059,Central line to Barkingside
Fairlop,Barkingside,1106,1107,Central line to Barkingside
Fairlop,Barkingside,1112,1113,Central line to Barkingside
Fairlop,Barkingside,1118,1119,Central line to Barkingside
Fairlop,Barkingside,1126,1127,Central line to Barkingside
Fairlop,Barkingside,1133,1134,Central line to Barkingside
Fairlop,Barkingside,1138,1139,Central line to Barkingside
Fairlop,Barkingside,1146,1147,Central line to Barkingside
Fairlop,Barkingside,1153,1154,Central line to Barkingside
Fairlop,Barkingside,1158,1159,Central line to Barkingside
Fairlop,Barkingside,1206,1207,Central line to Barkingside
Fairlop,Barkingside,1213,1214,Central line to Barkingside
Fairlop,Barkingside,1218,1219,Central line to Barkingside
Fairlop,Barkingside,1226,1227,Central line to Barkingside
Fairlop,Barkingside,1233,1234,Central line to Barkingside
Fairlop,Barkingside,1238,1239,Central line to Barkingside
Fairlop,Barkingside,1246,1247,Central line to Barkingside
Fairlop,Barkingside,1253,1254,Central line to Barkingside
Fairlop,Barkingside,1258,1259,Central line to Barkingside
Fairlop,Barkingside,1306,1307,Central line to Barkingside
Fairlop,Barkingside,1313,1314,Central line to Barkingside
Fairlop,Barkingside,1318,1319,Central line to Barkingside
Fairlop,Barkingside,1326,1327,Central line to Barkingside
Fairlop,Barkingside,1333,1334,Central line to Barkingside
Fairlop,Barkingside,1338,1339,Central line to Barkingside
Fairlop,Barkingside,1346,1347,Central line to Barkingside
Fairlop,Barkingside,1353,1354,Central line to Barkingside
Fairlop,Barkingside,1358,1359,Central line to Barkingside
Fairlop,Barkingside,1406,1407,Central line to Barkingside
Fairlop,Barkingside,1413,1414,Central line to Barkingside
Fairlop,Barkingside,1418,1419,Central line to Barkingside
Fairlop,Barkingside,1426,1427,Central line to Barkingside
Fairlop,Barkingside,1432,1433,Central line to Barkingside
Fairlop,Barkingside,1437,1438,Central line to Barkingside
Fairlop,Barkingside,1443,1444,Central line to Barkingside
Fairlop,Barkingside,1448,1449,Central line to Barkingside
Fairlop,Barkingside,1452,1453,Central line to Barkingside
Fairlop,Barkingside,1457,1458,Central line to Barkingside
Fairlop,Barkingside,1503,1504,Central line to Barkingside
Fairlop,Barkingside,1507,1508,Central line to Barkingside
Fairlop,Barkingside,1512,1513,Central line to Barkingside
Fairlop,Barkingside,1517,1518,Central line to Barkingside
Fairlop,Barkingside,1523,1524,Central line to Barkingside
Fairlop,Barkingside,1528,1529,Central line to Barkingside
Fairlop,Barkingside,1533,1534,Central line to Barkingside
Fairlop,Barkingside,1537,1538,Central line to Barkingside
Fairlop,Barkingside,1544,1545,Central line to Barkingside
Fairlop,Barkingside,1548,1549,Central line to Barkingside
Fairlop,Barkingside,1553,1554,Central line to Barkingside
Fairlop,Barkingside,1558,1559,Central line to Barkingside
Fairlop,Barkingside,1604,1605,Central line to Barkingside
