node1,node2,tstart,tend,line
Grange Hill,Chigwell,526,528,Central line to Chigwell
Grange Hill,Chigwell,549,551,Central line to Chigwell
Grange Hill,Chigwell,603,605,Central line to Chigwell
Grange Hill,Chigwell,625,627,Central line to Chigwell
Grange Hill,Chigwell,646,648,Central line to Chigwell
Grange Hill,Chigwell,653,655,Central line to Chigwell
Grange Hill,Chigwell,708,710,Central line to Chigwell
Grange Hill,Chigwell,719,721,Central line to Chigwell
Grange Hill,Chigwell,728,730,Central line to Chigwell
Grange Hill,Chigwell,747,749,Central line to Chigwell
Grange Hill,Chigwell,758,760,Central line to Chigwell
Grange Hill,Chigwell,809,811,Central line to Chigwell
Grange Hill,Chigwell,831,833,Central line to Chigwell
Grange Hill,Chigwell,849,851,Central line to Chigwell
Grange Hill,Chigwell,912,914,Central line to Chigwell
Grange Hill,Chigwell,929,931,Central line to Chigwell
Grange Hill,Chigwell,950,952,Central line to Chigwell
Grange Hill,Chigwell,1009,1011,Central line to Chigwell
Grange Hill,Chigwell,1030,1032,Central line to Chigwell
Grange Hill,Chigwell,1050,1052,Central line to Chigwell
Grange Hill,Chigwell,1110,1112,Central line to Chigwell
Grange Hill,Chigwell,1130,1132,Central line to Chigwell
Grange Hill,Chigwell,1150,1152,Central line to Chigwell
Grange Hill,Chigwell,1210,1212,Central line to Chigwell
Grange Hill,Chigwell,1230,1232,Central line to Chigwell
Grange Hill,Chigwell,1250,1252,Central line to Chigwell
Grange Hill,Chigwell,1310,1312,Central line to Chigwell
Grange Hill,Chigwell,1330,1332,Central line to Chigwell
Grange Hill,Chigwell,1350,1352,Central line to Chigwell
Grange Hill,Chigwell,1410,1412,Central line to Chigwell
Grange Hill,Chigwell,1429,1431,Central line to Chigwell
Grange Hill,Chigwell,1449,1451,Central line to Chigwell
Grange Hill,Chigwell,1510,1512,Central line to Chigwell
Grange Hill,Chigwell,1530,1532,Central line to Chigwell
Grange Hill,Chigwell,1550,1552,Central line to Chigwell
Grange Hill,Chigwell,1610,1612,Central line to Chigwell
Grange Hill,Chigwell,1630,1632,Central line to Chigwell
Grange Hill,Chigwell,1653,1655,Central line to Chigwell
Grange Hill,Chigwell,1711,1713,Central line to Chigwell
Grange Hill,Chigwell,1733,1735,Central line to Chigwell
Grange Hill,Chigwell,1753,1755,Central line to Chigwell
Grange Hill,Chigwell,1812,1814,Central line to Chigwell
Grange Hill,Chigwell,1832,1834,Central line to Chigwell
Grange Hill,Chigwell,1847,1849,Central line to Chigwell
Grange Hill,Chigwell,1910,1912,Central line to Chigwell
Grange Hill,Chigwell,1930,1932,Central line to Chigwell
Grange Hill,Chigwell,1949,1951,Central line to Chigwell
Grange Hill,Chigwell,2010,2012,Central line to Chigwell
Grange Hill,Chigwell,2030,2032,Central line to Chigwell
Grange Hill,Chigwell,2050,2052,Central line to Chigwell
Grange Hill,Chigwell,2110,2112,Central line to Chigwell
Grange Hill,Chigwell,2130,2132,Central line to Chigwell
Grange Hill,Chigwell,2150,2152,Central line to Chigwell
Grange Hill,Chigwell,2210,2212,Central line to Chigwell
Grange Hill,Chigwell,2232,2234,Central line to Chigwell
Grange Hill,Chigwell,2251,2253,Central line to Chigwell
Grange Hill,Chigwell,2310,2312,Central line to Chigwell
Grange Hill,Chigwell,2330,2332,Central line to Chigwell
Grange Hill,Chigwell,2347,2349,Central line to Chigwell
Grange Hill,Chigwell,2416,2418,Central line to Chigwell
