node1,node2,tstart,tend,line
Hainault,Grange Hill,601,603,Central line to Grange Hill
Hainault,Grange Hill,623,625,Central line to Grange Hill
Hainault,Grange Hill,644,646,Central line to Grange Hill
Hainault,Grange Hill,706,708,Central line to Grange Hill
Hainault,Grange Hill,726,728,Central line to Grange Hill
Hainault,Grange Hill,745,747,Central line to Grange Hill
Hainault,Grange Hill,806,808,Central line to Grange Hill
Hainault,Grange Hill,829,831,Central line to Grange Hill
Hainault,Grange Hill,847,849,Central line to Grange Hill
Hainault,Grange Hill,910,912,Central line to Grange Hill
Hainault,Grange Hill,927,929,Central line to Grange Hill
Hainault,Grange Hill,948,950,Central line to Grange Hill
Hainault,Grange Hill,1007,1009,Central line to Grange Hill
Hainault,Grange Hill,1028,1030,Central line to Grange Hill
Hainault,Grange Hill,1048,1050,Central line to Grange Hill
Hainault,Grange Hill,1108,1110,Central line to Grange Hill
Hainault,Grange Hill,1128,1130,Central line to Grange Hill
Hainault,Grange Hill,1148,1150,Central line to Grange Hill
Hainault,Grange Hill,1208,1210,Central line to Grange Hill
Hainault,Grange Hill,1228,1230,Central line to Grange Hill
Hainault,Grange Hill,1248,1250,Central line to Grange Hill
Hainault,Grange Hill,1308,1310,Central line to Grange Hill
Hainault,Grange Hill,1328,1330,Central line to Grange Hill
Hainault,Grange Hill,1348,1350,Central line to Grange Hill
Hainault,Grange Hill,1408,1410,Central line to Grange Hill
Hainault,Grange Hill,1427,1429,Central line to Grange Hill
Hainault,Grange Hill,1447,1449,Central line to Grange Hill
Hainault,Grange Hill,1508,1510,Central line to Grange Hill
Hainault,Grange Hill,1528,1530,Central line to Grange Hill
Hainault,Grange Hill,1548,1550,Central line to Grange Hill
Hainault,Grange Hill,1608,1610,Central line to Grange Hill
Hainault,Grange Hill,1628,1630,Central line to Grange Hill
Hainault,Grange Hill,1651,1653,Central line to Grange Hill
Hainault,Grange Hill,1709,1711,Central line to Grange Hill
Hainault,Grange Hill,1731,1733,Central line to Grange Hill
Hainault,Grange Hill,1751,1753,Central line to Grange Hill
Hainault,Grange Hill,1810,1812,Central line to Grange Hill
Hainault,Grange Hill,1830,1832,Central line to Grange Hill
Hainault,Grange Hill,1845,1847,Central line to Grange Hill
Hainault,Grange Hill,1908,1910,Central line to Grange Hill
Hainault,Grange Hill,1928,1930,Central line to Grange Hill
Hainault,Grange Hill,1947,1949,Central line to Grange Hill
Hainault,Grange Hill,2008,2010,Central line to Grange Hill
Hainault,Grange Hill,2028,2030,Central line to Grange Hill
Hainault,Grange Hill,2048,2050,Central line to Grange Hill
Hainault,Grange Hill,2108,2110,Central line to Grange Hill
Hainault,Grange Hill,2128,2130,Central line to Grange Hill
Hainault,Grange Hill,2148,2150,Central line to Grange Hill
Hainault,Grange Hill,2208,2210,Central line to Grange Hill
Hainault,Grange Hill,2230,2232,Central line to Grange Hill
Hainault,Grange Hill,2249,2251,Central line to Grange Hill
Hainault,Grange Hill,2308,2310,Central line to Grange Hill
Hainault,Grange Hill,2328,2330,Central line to Grange Hill
Hainault,Grange Hill,2345,2347,Central line to Grange Hill
Hainault,Grange Hill,2414,2416,Central line to Grange Hill
