node1,node2,tstart,tend,line
Holborn,Tottenham Court Road,553,554,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,557,558,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,603,604,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,609,610,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,613,614,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,617,618,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,620,621,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,624,625,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,627,628,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,631,632,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,634,635,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,638,639,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,641,642,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,644,645,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,647,648,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,650,651,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,653,654,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,656,657,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,659,660,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,702,703,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,705,706,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,708,709,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,710,711,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,713,714,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,715,716,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,718,719,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,720,721,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,723,724,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,725,726,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,727,728,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,730,731,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,732,733,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,734,735,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,736,737,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,739,740,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,741,742,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,743,744,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,745,746,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,748,749,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,750,751,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,752,753,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,754,755,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,756,757,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,758,759,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,800,801,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,802,803,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,804,805,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,806,807,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,808,809,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,810,811,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,812,813,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,814,815,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,816,817,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,818,819,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,820,821,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,822,823,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,824,825,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,826,827,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,828,829,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,830,831,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,832,833,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,834,835,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,835,836,Central line to Tottenham Court Road
Holborn,Tottenham Court Road,837,838,Central line to Tottenham Court Road
