node1,node2,tstart,tend,line
Holborn,Chancery Lane,551,552,Central line to Chancery Lane
Holborn,Chancery Lane,557,558,Central line to Chancery Lane
Holborn,Chancery Lane,603,604,Central line to Chancery Lane
Holborn,Chancery Lane,609,610,Central line to Chancery Lane
Holborn,Chancery Lane,613,614,Central line to Chancery Lane
Holborn,Chancery Lane,617,618,Central line to Chancery Lane
Holborn,Chancery Lane,621,622,Central line to Chancery Lane
Holborn,Chancery Lane,624,625,Central line to Chancery Lane
Holborn,Chancery Lane,628,629,Central line to Chancery Lane
Holborn,Chancery Lane,631,632,Central line to Chancery Lane
Holborn,Chancery Lane,634,635,Central line to Chancery Lane
Holborn,Chancery Lane,638,639,Central line to Chancery Lane
Holborn,Chancery Lane,641,642,Central line to Chancery Lane
Holborn,Chancery Lane,644,645,Central line to Chancery Lane
Holborn,Chancery Lane,647,648,Central line to Chancery Lane
Holborn,Chancery Lane,651,652,Central line to Chancery Lane
Holborn,Chancery Lane,654,655,Central line to Chancery Lane
Holborn,Chancery Lane,657,658,Central line to Chancery Lane
Holborn,Chancery Lane,700,701,Central line to Chancery Lane
Holborn,Chancery Lane,703,704,Central line to Chancery Lane
Holborn,Chancery Lane,706,707,Central line to Chancery Lane
Holborn,Chancery Lane,709,710,Central line to Chancery Lane
Holborn,Chancery Lane,712,713,Central line to Chancery Lane
Holborn,Chancery Lane,715,716,Central line to Chancery Lane
Holborn,Chancery Lane,717,718,Central line to Chancery Lane
Holborn,Chancery Lane,720,721,Central line to Chancery Lane
Holborn,Chancery Lane,722,723,Central line to Chancery Lane
Holborn,Chancery Lane,725,726,Central line to Chancery Lane
Holborn,Chancery Lane,727,728,Central line to Chancery Lane
Holborn,Chancery Lane,730,731,Central line to Chancery Lane
Holborn,Chancery Lane,732,733,Central line to Chancery Lane
Holborn,Chancery Lane,735,736,Central line to Chancery Lane
Holborn,Chancery Lane,737,738,Central line to Chancery Lane
Holborn,Chancery Lane,740,741,Central line to Chancery Lane
Holborn,Chancery Lane,742,743,Central line to Chancery Lane
Holborn,Chancery Lane,745,746,Central line to Chancery Lane
Holborn,Chancery Lane,747,748,Central line to Chancery Lane
Holborn,Chancery Lane,749,750,Central line to Chancery Lane
Holborn,Chancery Lane,752,753,Central line to Chancery Lane
Holborn,Chancery Lane,754,755,Central line to Chancery Lane
