node1,node2,tstart,tend,line
Liverpool Street,Bank,546,548,Central line to Bank
Liverpool Street,Bank,550,552,Central line to Bank
Liverpool Street,Bank,556,558,Central line to Bank
Liverpool Street,Bank,602,604,Central line to Bank
Liverpool Street,Bank,606,608,Central line to Bank
Liverpool Street,Bank,610,612,Central line to Bank
Liverpool Street,Bank,613,615,Central line to Bank
Liverpool Street,Bank,617,619,Central line to Bank
Liverpool Street,Bank,620,622,Central line to Bank
Liverpool Street,Bank,624,626,Central line to Bank
Liverpool Street,Bank,627,629,Central line to Bank
Liverpool Street,Bank,631,633,Central line to Bank
Liverpool Street,Bank,634,636,Central line to Bank
Liverpool Street,Bank,637,639,Central line to Bank
Liverpool Street,Bank,640,642,Central line to Bank
Liverpool Street,Bank,643,645,Central line to Bank
Liverpool Street,Bank,646,648,Central line to Bank
Liverpool Street,Bank,649,651,Central line to Bank
Liverpool Street,Bank,652,654,Central line to Bank
Liverpool Street,Bank,655,657,Central line to Bank
Liverpool Street,Bank,658,660,Central line to Bank
Liverpool Street,Bank,700,702,Central line to Bank
Liverpool Street,Bank,703,705,Central line to Bank
Liverpool Street,Bank,705,707,Central line to Bank
Liverpool Street,Bank,708,710,Central line to Bank
Liverpool Street,Bank,710,712,Central line to Bank
Liverpool Street,Bank,713,715,Central line to Bank
Liverpool Street,Bank,715,717,Central line to Bank
Liverpool Street,Bank,718,720,Central line to Bank
Liverpool Street,Bank,720,722,Central line to Bank
Liverpool Street,Bank,722,724,Central line to Bank
Liverpool Street,Bank,725,727,Central line to Bank
Liverpool Street,Bank,727,729,Central line to Bank
Liverpool Street,Bank,729,731,Central line to Bank
Liverpool Street,Bank,731,733,Central line to Bank
Liverpool Street,Bank,734,736,Central line to Bank
Liverpool Street,Bank,736,738,Central line to Bank
Liverpool Street,Bank,738,740,Central line to Bank
Liverpool Street,Bank,740,742,Central line to Bank
Liverpool Street,Bank,743,745,Central line to Bank
Liverpool Street,Bank,745,747,Central line to Bank
Liverpool Street,Bank,747,749,Central line to Bank
Liverpool Street,Bank,749,751,Central line to Bank
Liverpool Street,Bank,751,753,Central line to Bank
Liverpool Street,Bank,753,755,Central line to Bank
Liverpool Street,Bank,755,757,Central line to Bank
Liverpool Street,Bank,757,759,Central line to Bank
Liverpool Street,Bank,759,761,Central line to Bank
Liverpool Street,Bank,801,803,Central line to Bank
Liverpool Street,Bank,803,805,Central line to Bank
Liverpool Street,Bank,805,807,Central line to Bank
Liverpool Street,Bank,807,809,Central line to Bank
Liverpool Street,Bank,809,811,Central line to Bank
Liverpool Street,Bank,811,813,Central line to Bank
Liverpool Street,Bank,813,815,Central line to Bank
Liverpool Street,Bank,815,817,Central line to Bank
Liverpool Street,Bank,817,819,Central line to Bank
Liverpool Street,Bank,819,821,Central line to Bank
Liverpool Street,Bank,821,823,Central line to Bank
Liverpool Street,Bank,823,825,Central line to Bank
Liverpool Street,Bank,824,826,Central line to Bank
Liverpool Street,Bank,826,828,Central line to Bank
Liverpool Street,Bank,828,830,Central line to Bank
Liverpool Street,Bank,830,832,Central line to Bank
Liverpool Street,Bank,832,834,Central line to Bank
Liverpool Street,Bank,833,835,Central line to Bank
Liverpool Street,Bank,835,837,Central line to Bank
Liverpool Street,Bank,837,839,Central line to Bank
Liverpool Street,Bank,839,841,Central line to Bank
Liverpool Street,Bank,840,842,Central line to Bank
Liverpool Street,Bank,842,844,Central line to Bank
Liverpool Street,Bank,844,846,Central line to Bank
Liverpool Street,Bank,846,848,Central line to Bank
Liverpool Street,Bank,847,849,Central line to Bank
Liverpool Street,Bank,849,851,Central line to Bank
Liverpool Street,Bank,851,853,Central line to Bank
Liverpool Street,Bank,853,855,Central line to Bank
Liverpool Street,Bank,854,856,Central line to Bank
Liverpool Street,Bank,856,858,Central line to Bank
Liverpool Street,Bank,858,860,Central line to Bank
Liverpool Street,Bank,900,902,Central line to Bank
Liverpool Street,Bank,902,904,Central line to Bank
Liverpool Street,Bank,904,906,Central line to Bank
Liverpool Street,Bank,906,908,Central line to Bank
Liverpool Street,Bank,909,911,Central line to Bank
Liverpool Street,Bank,911,913,Central line to Bank
Liverpool Street,Bank,913,915,Central line to Bank
Liverpool Street,Bank,915,917,Central line to Bank
Liverpool Street,Bank,917,919,Central line to Bank
Liverpool Street,Bank,920,922,Central line to Bank
Liverpool Street,Bank,922,924,Central line to Bank
Liverpool Street,Bank,924,926,Central line to Bank
Liverpool Street,Bank,926,928,Central line to Bank
Liverpool Street,Bank,929,931,Central line to Bank
Liverpool Street,Bank,931,933,Central line to Bank
Liverpool Street,Bank,934,936,Central line to Bank
Liverpool Street,Bank,936,938,Central line to Bank
Liverpool Street,Bank,939,941,Central line to Bank
Liverpool Street,Bank,941,943,Central line to Bank
Liverpool Street,Bank,944,946,Central line to Bank
Liverpool Street,Bank,946,948,Central line to Bank
Liverpool Street,Bank,949,951,Central line to Bank
Liverpool Street,Bank,951,953,Central line to Bank
Liverpool Street,Bank,954,956,Central line to Bank
Liverpool Street,Bank,956,958,Central line to Bank
Liverpool Street,Bank,959,961,Central line to Bank
Liverpool Street,Bank,1001,1003,Central line to Bank
Liverpool Street,Bank,1004,1006,Central line to Bank
Liverpool Street,Bank,1006,1008,Central line to Bank
Liverpool Street,Bank,1009,1011,Central line to Bank
Liverpool Street,Bank,1011,1013,Central line to Bank
Liverpool Street,Bank,1014,1016,Central line to Bank
Liverpool Street,Bank,1016,1018,Central line to Bank
Liverpool Street,Bank,1019,1021,Central line to Bank
Liverpool Street,Bank,1021,1023,Central line to Bank
Liverpool Street,Bank,1024,1026,Central line to Bank
Liverpool Street,Bank,1026,1028,Central line to Bank
Liverpool Street,Bank,1029,1031,Central line to Bank
Liverpool Street,Bank,1031,1033,Central line to Bank
Liverpool Street,Bank,1034,1036,Central line to Bank
Liverpool Street,Bank,1036,1038,Central line to Bank
Liverpool Street,Bank,1039,1041,Central line to Bank
Liverpool Street,Bank,1041,1043,Central line to Bank
Liverpool Street,Bank,1044,1046,Central line to Bank
Liverpool Street,Bank,1046,1048,Central line to Bank
Liverpool Street,Bank,1049,1051,Central line to Bank
Liverpool Street,Bank,1051,1053,Central line to Bank
Liverpool Street,Bank,1054,1056,Central line to Bank
Liverpool Street,Bank,1056,1058,Central line to Bank
Liverpool Street,Bank,1059,1061,Central line to Bank
Liverpool Street,Bank,1101,1103,Central line to Bank
Liverpool Street,Bank,1104,1106,Central line to Bank
Liverpool Street,Bank,1106,1108,Central line to Bank
Liverpool Street,Bank,1109,1111,Central line to Bank
Liverpool Street,Bank,1111,1113,Central line to Bank
Liverpool Street,Bank,1114,1116,Central line to Bank
Liverpool Street,Bank,1116,1118,Central line to Bank
Liverpool Street,Bank,1119,1121,Central line to Bank
Liverpool Street,Bank,1121,1123,Central line to Bank
Liverpool Street,Bank,1124,1126,Central line to Bank
Liverpool Street,Bank,1126,1128,Central line to Bank
Liverpool Street,Bank,1129,1131,Central line to Bank
Liverpool Street,Bank,1131,1133,Central line to Bank
Liverpool Street,Bank,1134,1136,Central line to Bank
Liverpool Street,Bank,1136,1138,Central line to Bank
Liverpool Street,Bank,1139,1141,Central line to Bank
Liverpool Street,Bank,1141,1143,Central line to Bank
Liverpool Street,Bank,1144,1146,Central line to Bank
Liverpool Street,Bank,1146,1148,Central line to Bank
Liverpool Street,Bank,1149,1151,Central line to Bank
