node1,node2,tstart,tend,line
Marble Arch,Lancaster Gate,559,560,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,603,604,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,609,610,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,615,616,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,619,620,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,623,624,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,626,627,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,630,631,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,633,634,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,637,638,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,640,641,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,644,645,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,647,648,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,650,651,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,653,654,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,656,657,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,659,660,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,702,703,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,705,706,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,708,709,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,711,712,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,714,715,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,716,717,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,719,720,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,721,722,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,724,725,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,726,727,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,729,730,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,731,732,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,733,734,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,736,737,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,738,739,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,740,741,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,742,743,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,745,746,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,747,748,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,749,750,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,751,752,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,754,755,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,756,757,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,758,759,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,800,801,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,802,803,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,804,805,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,806,807,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,808,809,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,810,811,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,812,813,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,814,815,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,816,817,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,818,819,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,820,821,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,822,823,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,824,825,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,826,827,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,828,829,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,830,831,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,832,833,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,834,835,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,836,837,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,838,839,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,840,841,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,841,842,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,843,844,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,845,846,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,847,848,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,849,850,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,850,851,Central line to Lancaster Gate
Marble Arch,Lancaster Gate,852,853,Central line to Lancaster Gate
