node1,node2,tstart,tend,line
Marble Arch,Bond Street,545,546,Central line to Bond Street
Marble Arch,Bond Street,551,552,Central line to Bond Street
Marble Arch,Bond Street,557,558,Central line to Bond Street
Marble Arch,Bond Street,603,604,Central line to Bond Street
Marble Arch,Bond Street,607,608,Central line to Bond Street
Marble Arch,Bond Street,611,612,Central line to Bond Street
Marble Arch,Bond Street,615,616,Central line to Bond Street
Marble Arch,Bond Street,618,619,Central line to Bond Street
Marble Arch,Bond Street,622,623,Central line to Bond Street
Marble Arch,Bond Street,625,626,Central line to Bond Street
Marble Arch,Bond Street,628,629,Central line to Bond Street
Marble Arch,Bond Street,632,633,Central line to Bond Street
Marble Arch,Bond Street,635,636,Central line to Bond Street
Marble Arch,Bond Street,638,639,Central line to Bond Street
Marble Arch,Bond Street,641,642,Central line to Bond Street
Marble Arch,Bond Street,645,646,Central line to Bond Street
Marble Arch,Bond Street,648,649,Central line to Bond Street
Marble Arch,Bond Street,651,652,Central line to Bond Street
Marble Arch,Bond Street,654,655,Central line to Bond Street
Marble Arch,Bond Street,657,658,Central line to Bond Street
Marble Arch,Bond Street,700,701,Central line to Bond Street
Marble Arch,Bond Street,703,704,Central line to Bond Street
Marble Arch,Bond Street,706,707,Central line to Bond Street
Marble Arch,Bond Street,709,710,Central line to Bond Street
Marble Arch,Bond Street,711,712,Central line to Bond Street
Marble Arch,Bond Street,714,715,Central line to Bond Street
Marble Arch,Bond Street,716,717,Central line to Bond Street
Marble Arch,Bond Street,719,720,Central line to Bond Street
Marble Arch,Bond Street,721,722,Central line to Bond Street
Marble Arch,Bond Street,724,725,Central line to Bond Street
Marble Arch,Bond Street,726,727,Central line to Bond Street
Marble Arch,Bond Street,729,730,Central line to Bond Street
Marble Arch,Bond Street,731,732,Central line to Bond Street
Marble Arch,Bond Street,734,735,Central line to Bond Street
Marble Arch,Bond Street,736,737,Central line to Bond Street
Marble Arch,Bond Street,738,739,Central line to Bond Street
Marble Arch,Bond Street,741,742,Central line to Bond Street
Marble Arch,Bond Street,743,744,Central line to Bond Street
Marble Arch,Bond Street,745,746,Central line to Bond Street
Marble Arch,Bond Street,747,748,Central line to Bond Street
Marble Arch,Bond Street,750,751,Central line to Bond Street
Marble Arch,Bond Street,752,753,Central line to Bond Street
Marble Arch,Bond Street,754,755,Central line to Bond Street
Marble Arch,Bond Street,756,757,Central line to Bond Street
Marble Arch,Bond Street,759,760,Central line to Bond Street
Marble Arch,Bond Street,801,802,Central line to Bond Street
Marble Arch,Bond Street,803,804,Central line to Bond Street
Marble Arch,Bond Street,805,806,Central line to Bond Street
Marble Arch,Bond Street,808,809,Central line to Bond Street
Marble Arch,Bond Street,810,811,Central line to Bond Street
Marble Arch,Bond Street,812,813,Central line to Bond Street
Marble Arch,Bond Street,814,815,Central line to Bond Street
Marble Arch,Bond Street,817,818,Central line to Bond Street
Marble Arch,Bond Street,819,820,Central line to Bond Street
Marble Arch,Bond Street,821,822,Central line to Bond Street
Marble Arch,Bond Street,823,824,Central line to Bond Street
Marble Arch,Bond Street,826,827,Central line to Bond Street
Marble Arch,Bond Street,828,829,Central line to Bond Street
Marble Arch,Bond Street,830,831,Central line to Bond Street
Marble Arch,Bond Street,832,833,Central line to Bond Street
Marble Arch,Bond Street,834,835,Central line to Bond Street
Marble Arch,Bond Street,836,837,Central line to Bond Street
Marble Arch,Bond Street,838,839,Central line to Bond Street
Marble Arch,Bond Street,840,841,Central line to Bond Street
Marble Arch,Bond Street,842,843,Central line to Bond Street
Marble Arch,Bond Street,844,845,Central line to Bond Street
Marble Arch,Bond Street,846,847,Central line to Bond Street
Marble Arch,Bond Street,848,849,Central line to Bond Street
Marble Arch,Bond Street,850,851,Central line to Bond Street
Marble Arch,Bond Street,852,853,Central line to Bond Street
Marble Arch,Bond Street,854,855,Central line to Bond Street
Marble Arch,Bond Street,856,857,Central line to Bond Street
Marble Arch,Bond Street,858,859,Central line to Bond Street
Marble Arch,Bond Street,901,902,Central line to Bond Street
Marble Arch,Bond Street,903,904,Central line to Bond Street
Marble Arch,Bond Street,906,907,Central line to Bond Street
Marble Arch,Bond Street,908,909,Central line to Bond Street
Marble Arch,Bond Street,911,912,Central line to Bond Street
Marble Arch,Bond Street,913,914,Central line to Bond Street
Marble Arch,Bond Street,915,916,Central line to Bond Street
Marble Arch,Bond Street,917,918,Central line to Bond Street
Marble Arch,Bond Street,920,921,Central line to Bond Street
Marble Arch,Bond Street,922,923,Central line to Bond Street
Marble Arch,Bond Street,924,925,Central line to Bond Street
Marble Arch,Bond Street,926,927,Central line to Bond Street
Marble Arch,Bond Street,929,930,Central line to Bond Street
Marble Arch,Bond Street,931,932,Central line to Bond Street
Marble Arch,Bond Street,933,934,Central line to Bond Street
Marble Arch,Bond Street,936,937,Central line to Bond Street
Marble Arch,Bond Street,938,939,Central line to Bond Street
Marble Arch,Bond Street,940,941,Central line to Bond Street
Marble Arch,Bond Street,943,944,Central line to Bond Street
Marble Arch,Bond Street,945,946,Central line to Bond Street
Marble Arch,Bond Street,947,948,Central line to Bond Street
Marble Arch,Bond Street,949,950,Central line to Bond Street
Marble Arch,Bond Street,952,953,Central line to Bond Street
Marble Arch,Bond Street,954,955,Central line to Bond Street
Marble Arch,Bond Street,956,957,Central line to Bond Street
Marble Arch,Bond Street,958,959,Central line to Bond Street
Marble Arch,Bond Street,1001,1002,Central line to Bond Street
Marble Arch,Bond Street,1003,1004,Central line to Bond Street
Marble Arch,Bond Street,1005,1006,Central line to Bond Street
Marble Arch,Bond Street,1007,1008,Central line to Bond Street
Marble Arch,Bond Street,1010,1011,Central line to Bond Street
Marble Arch,Bond Street,1012,1013,Central line to Bond Street
Marble Arch,Bond Street,1014,1015,Central line to Bond Street
Marble Arch,Bond Street,1016,1017,Central line to Bond Street
Marble Arch,Bond Street,1019,1020,Central line to Bond Street
Marble Arch,Bond Street,1021,1022,Central line to Bond Street
Marble Arch,Bond Street,1023,1024,Central line to Bond Street
Marble Arch,Bond Street,1026,1027,Central line to Bond Street
Marble Arch,Bond Street,1028,1029,Central line to Bond Street
Marble Arch,Bond Street,1031,1032,Central line to Bond Street
Marble Arch,Bond Street,1033,1034,Central line to Bond Street
Marble Arch,Bond Street,1036,1037,Central line to Bond Street
Marble Arch,Bond Street,1038,1039,Central line to Bond Street
Marble Arch,Bond Street,1041,1042,Central line to Bond Street
Marble Arch,Bond Street,1043,1044,Central line to Bond Street
Marble Arch,Bond Street,1046,1047,Central line to Bond Street
Marble Arch,Bond Street,1048,1049,Central line to Bond Street
Marble Arch,Bond Street,1051,1052,Central line to Bond Street
Marble Arch,Bond Street,1053,1054,Central line to Bond Street
Marble Arch,Bond Street,1056,1057,Central line to Bond Street
Marble Arch,Bond Street,1058,1059,Central line to Bond Street
Marble Arch,Bond Street,1101,1102,Central line to Bond Street
Marble Arch,Bond Street,1103,1104,Central line to Bond Street
Marble Arch,Bond Street,1106,1107,Central line to Bond Street
Marble Arch,Bond Street,1108,1109,Central line to Bond Street
Marble Arch,Bond Street,1111,1112,Central line to Bond Street
Marble Arch,Bond Street,1113,1114,Central line to Bond Street
Marble Arch,Bond Street,1116,1117,Central line to Bond Street
Marble Arch,Bond Street,1118,1119,Central line to Bond Street
Marble Arch,Bond Street,1121,1122,Central line to Bond Street
Marble Arch,Bond Street,1123,1124,Central line to Bond Street
Marble Arch,Bond Street,1126,1127,Central line to Bond Street
Marble Arch,Bond Street,1128,1129,Central line to Bond Street
Marble Arch,Bond Street,1131,1132,Central line to Bond Street
Marble Arch,Bond Street,1133,1134,Central line to Bond Street
Marble Arch,Bond Street,1136,1137,Central line to Bond Street
Marble Arch,Bond Street,1138,1139,Central line to Bond Street
Marble Arch,Bond Street,1141,1142,Central line to Bond Street
Marble Arch,Bond Street,1143,1144,Central line to Bond Street
Marble Arch,Bond Street,1146,1147,Central line to Bond Street
Marble Arch,Bond Street,1148,1149,Central line to Bond Street
Marble Arch,Bond Street,1151,1152,Central line to Bond Street
Marble Arch,Bond Street,1153,1154,Central line to Bond Street
Marble Arch,Bond Street,1156,1157,Central line to Bond Street
Marble Arch,Bond Street,1158,1159,Central line to Bond Street
Marble Arch,Bond Street,1201,1202,Central line to Bond Street
Marble Arch,Bond Street,1203,1204,Central line to Bond Street
Marble Arch,Bond Street,1206,1207,Central line to Bond Street
Marble Arch,Bond Street,1208,1209,Central line to Bond Street
Marble Arch,Bond Street,1211,1212,Central line to Bond Street
Marble Arch,Bond Street,1213,1214,Central line to Bond Street
Marble Arch,Bond Street,1216,1217,Central line to Bond Street
Marble Arch,Bond Street,1218,1219,Central line to Bond Street
Marble Arch,Bond Street,1221,1222,Central line to Bond Street
Marble Arch,Bond Street,1223,1224,Central line to Bond Street
Marble Arch,Bond Street,1226,1227,Central line to Bond Street
Marble Arch,Bond Street,1228,1229,Central line to Bond Street
Marble Arch,Bond Street,1231,1232,Central line to Bond Street
Marble Arch,Bond Street,1233,1234,Central line to Bond Street
Marble Arch,Bond Street,1236,1237,Central line to Bond Street
Marble Arch,Bond Street,1238,1239,Central line to Bond Street
Marble Arch,Bond Street,1241,1242,Central line to Bond Street
Marble Arch,Bond Street,1243,1244,Central line to Bond Street
Marble Arch,Bond Street,1246,1247,Central line to Bond Street
Marble Arch,Bond Street,1248,1249,Central line to Bond Street
Marble Arch,Bond Street,1251,1252,Central line to Bond Street
Marble Arch,Bond Street,1253,1254,Central line to Bond Street
Marble Arch,Bond Street,1256,1257,Central line to Bond Street
Marble Arch,Bond Street,1258,1259,Central line to Bond Street
Marble Arch,Bond Street,1301,1302,Central line to Bond Street
Marble Arch,Bond Street,1303,1304,Central line to Bond Street
Marble Arch,Bond Street,1306,1307,Central line to Bond Street
Marble Arch,Bond Street,1308,1309,Central line to Bond Street
Marble Arch,Bond Street,1311,1312,Central line to Bond Street
Marble Arch,Bond Street,1313,1314,Central line to Bond Street
Marble Arch,Bond Street,1316,1317,Central line to Bond Street
Marble Arch,Bond Street,1318,1319,Central line to Bond Street
