node1,node2,tstart,tend,line
Notting Hill Gate,Holland Park,605,606,Central line to Holland Park
Notting Hill Gate,Holland Park,608,609,Central line to Holland Park
Notting Hill Gate,Holland Park,615,616,Central line to Holland Park
Notting Hill Gate,Holland Park,620,621,Central line to Holland Park
Notting Hill Gate,Holland Park,624,625,Central line to Holland Park
Notting Hill Gate,Holland Park,628,629,Central line to Holland Park
Notting Hill Gate,Holland Park,632,633,Central line to Holland Park
Notting Hill Gate,Holland Park,635,636,Central line to Holland Park
Notting Hill Gate,Holland Park,639,640,Central line to Holland Park
Notting Hill Gate,Holland Park,642,643,Central line to Holland Park
Notting Hill Gate,Holland Park,646,647,Central line to Holland Park
Notting Hill Gate,Holland Park,649,650,Central line to Holland Park
Notting Hill Gate,Holland Park,652,653,Central line to Holland Park
Notting Hill Gate,Holland Park,655,656,Central line to Holland Park
Notting Hill Gate,Holland Park,658,659,Central line to Holland Park
Notting Hill Gate,Holland Park,701,702,Central line to Holland Park
Notting Hill Gate,Holland Park,704,705,Central line to Holland Park
Notting Hill Gate,Holland Park,707,708,Central line to Holland Park
Notting Hill Gate,Holland Park,710,711,Central line to Holland Park
Notting Hill Gate,Holland Park,713,714,Central line to Holland Park
Notting Hill Gate,Holland Park,716,717,Central line to Holland Park
Notting Hill Gate,Holland Park,719,720,Central line to Holland Park
Notting Hill Gate,Holland Park,721,722,Central line to Holland Park
Notting Hill Gate,Holland Park,724,725,Central line to Holland Park
Notting Hill Gate,Holland Park,726,727,Central line to Holland Park
Notting Hill Gate,Holland Park,729,730,Central line to Holland Park
Notting Hill Gate,Holland Park,731,732,Central line to Holland Park
Notting Hill Gate,Holland Park,734,735,Central line to Holland Park
Notting Hill Gate,Holland Park,737,738,Central line to Holland Park
Notting Hill Gate,Holland Park,739,740,Central line to Holland Park
Notting Hill Gate,Holland Park,741,742,Central line to Holland Park
Notting Hill Gate,Holland Park,743,744,Central line to Holland Park
Notting Hill Gate,Holland Park,746,747,Central line to Holland Park
Notting Hill Gate,Holland Park,748,749,Central line to Holland Park
Notting Hill Gate,Holland Park,750,751,Central line to Holland Park
Notting Hill Gate,Holland Park,752,753,Central line to Holland Park
Notting Hill Gate,Holland Park,755,756,Central line to Holland Park
Notting Hill Gate,Holland Park,757,758,Central line to Holland Park
Notting Hill Gate,Holland Park,759,760,Central line to Holland Park
Notting Hill Gate,Holland Park,801,802,Central line to Holland Park
Notting Hill Gate,Holland Park,804,805,Central line to Holland Park
Notting Hill Gate,Holland Park,806,807,Central line to Holland Park
Notting Hill Gate,Holland Park,808,809,Central line to Holland Park
Notting Hill Gate,Holland Park,810,811,Central line to Holland Park
