node1,node2,tstart,tend,line
Queensway,Lancaster Gate,541,542,Central line to Lancaster Gate
Queensway,Lancaster Gate,547,548,Central line to Lancaster Gate
Queensway,Lancaster Gate,553,554,Central line to Lancaster Gate
Queensway,Lancaster Gate,559,560,Central line to Lancaster Gate
Queensway,Lancaster Gate,603,604,Central line to Lancaster Gate
Queensway,Lancaster Gate,607,608,Central line to Lancaster Gate
Queensway,Lancaster Gate,611,612,Central line to Lancaster Gate
Queensway,Lancaster Gate,614,615,Central line to Lancaster Gate
Queensway,Lancaster Gate,618,619,Central line to Lancaster Gate
Queensway,Lancaster Gate,621,622,Central line to Lancaster Gate
Queensway,Lancaster Gate,624,625,Central line to Lancaster Gate
Queensway,Lancaster Gate,628,629,Central line to Lancaster Gate
Queensway,Lancaster Gate,631,632,Central line to Lancaster Gate
Queensway,Lancaster Gate,634,635,Central line to Lancaster Gate
Queensway,Lancaster Gate,637,638,Central line to Lancaster Gate
Queensway,Lancaster Gate,641,642,Central line to Lancaster Gate
Queensway,Lancaster Gate,644,645,Central line to Lancaster Gate
Queensway,Lancaster Gate,647,648,Central line to Lancaster Gate
Queensway,Lancaster Gate,650,651,Central line to Lancaster Gate
Queensway,Lancaster Gate,653,654,Central line to Lancaster Gate
Queensway,Lancaster Gate,656,657,Central line to Lancaster Gate
Queensway,Lancaster Gate,659,660,Central line to Lancaster Gate
Queensway,Lancaster Gate,702,703,Central line to Lancaster Gate
Queensway,Lancaster Gate,705,706,Central line to Lancaster Gate
Queensway,Lancaster Gate,707,708,Central line to Lancaster Gate
Queensway,Lancaster Gate,710,711,Central line to Lancaster Gate
Queensway,Lancaster Gate,712,713,Central line to Lancaster Gate
Queensway,Lancaster Gate,715,716,Central line to Lancaster Gate
Queensway,Lancaster Gate,717,718,Central line to Lancaster Gate
Queensway,Lancaster Gate,720,721,Central line to Lancaster Gate
Queensway,Lancaster Gate,722,723,Central line to Lancaster Gate
Queensway,Lancaster Gate,725,726,Central line to Lancaster Gate
Queensway,Lancaster Gate,727,728,Central line to Lancaster Gate
Queensway,Lancaster Gate,730,731,Central line to Lancaster Gate
Queensway,Lancaster Gate,732,733,Central line to Lancaster Gate
Queensway,Lancaster Gate,734,735,Central line to Lancaster Gate
Queensway,Lancaster Gate,737,738,Central line to Lancaster Gate
Queensway,Lancaster Gate,739,740,Central line to Lancaster Gate
Queensway,Lancaster Gate,741,742,Central line to Lancaster Gate
Queensway,Lancaster Gate,743,744,Central line to Lancaster Gate
Queensway,Lancaster Gate,746,747,Central line to Lancaster Gate
Queensway,Lancaster Gate,748,749,Central line to Lancaster Gate
Queensway,Lancaster Gate,750,751,Central line to Lancaster Gate
Queensway,Lancaster Gate,752,753,Central line to Lancaster Gate
Queensway,Lancaster Gate,755,756,Central line to Lancaster Gate
Queensway,Lancaster Gate,757,758,Central line to Lancaster Gate
Queensway,Lancaster Gate,759,760,Central line to Lancaster Gate
Queensway,Lancaster Gate,801,802,Central line to Lancaster Gate
Queensway,Lancaster Gate,804,805,Central line to Lancaster Gate
Queensway,Lancaster Gate,806,807,Central line to Lancaster Gate
Queensway,Lancaster Gate,808,809,Central line to Lancaster Gate
Queensway,Lancaster Gate,810,811,Central line to Lancaster Gate
Queensway,Lancaster Gate,813,814,Central line to Lancaster Gate
Queensway,Lancaster Gate,815,816,Central line to Lancaster Gate
Queensway,Lancaster Gate,817,818,Central line to Lancaster Gate
Queensway,Lancaster Gate,819,820,Central line to Lancaster Gate
Queensway,Lancaster Gate,822,823,Central line to Lancaster Gate
Queensway,Lancaster Gate,824,825,Central line to Lancaster Gate
Queensway,Lancaster Gate,826,827,Central line to Lancaster Gate
Queensway,Lancaster Gate,828,829,Central line to Lancaster Gate
Queensway,Lancaster Gate,830,831,Central line to Lancaster Gate
Queensway,Lancaster Gate,832,833,Central line to Lancaster Gate
Queensway,Lancaster Gate,834,835,Central line to Lancaster Gate
Queensway,Lancaster Gate,836,837,Central line to Lancaster Gate
Queensway,Lancaster Gate,838,839,Central line to Lancaster Gate
Queensway,Lancaster Gate,840,841,Central line to Lancaster Gate
Queensway,Lancaster Gate,842,843,Central line to Lancaster Gate
