node1,node2,tstart,tend,line
Roding Valley,Woodford,532,534,Central line to Woodford
Roding Valley,Woodford,554,556,Central line to Woodford
Roding Valley,Woodford,608,610,Central line to Woodford
Roding Valley,Woodford,631,633,Central line to Woodford
Roding Valley,Woodford,651,653,Central line to Woodford
Roding Valley,Woodford,659,661,Central line to Woodford
Roding Valley,Woodford,713,715,Central line to Woodford
Roding Valley,Woodford,725,727,Central line to Woodford
Roding Valley,Woodford,734,736,Central line to Woodford
Roding Valley,Woodford,753,755,Central line to Woodford
Roding Valley,Woodford,803,805,Central line to Woodford
Roding Valley,Woodford,814,816,Central line to Woodford
Roding Valley,Woodford,836,838,Central line to Woodford
Roding Valley,Woodford,855,857,Central line to Woodford
Roding Valley,Woodford,918,920,Central line to Woodford
Roding Valley,Woodford,935,937,Central line to Woodford
Roding Valley,Woodford,955,957,Central line to Woodford
Roding Valley,Woodford,1015,1017,Central line to Woodford
Roding Valley,Woodford,1035,1037,Central line to Woodford
Roding Valley,Woodford,1055,1057,Central line to Woodford
Roding Valley,Woodford,1115,1117,Central line to Woodford
Roding Valley,Woodford,1135,1137,Central line to Woodford
Roding Valley,Woodford,1155,1157,Central line to Woodford
Roding Valley,Woodford,1215,1217,Central line to Woodford
Roding Valley,Woodford,1235,1237,Central line to Woodford
Roding Valley,Woodford,1255,1257,Central line to Woodford
Roding Valley,Woodford,1315,1317,Central line to Woodford
Roding Valley,Woodford,1335,1337,Central line to Woodford
Roding Valley,Woodford,1355,1357,Central line to Woodford
Roding Valley,Woodford,1415,1417,Central line to Woodford
Roding Valley,Woodford,1434,1436,Central line to Woodford
Roding Valley,Woodford,1455,1457,Central line to Woodford
Roding Valley,Woodford,1515,1517,Central line to Woodford
Roding Valley,Woodford,1535,1537,Central line to Woodford
Roding Valley,Woodford,1556,1558,Central line to Woodford
Roding Valley,Woodford,1616,1618,Central line to Woodford
Roding Valley,Woodford,1635,1637,Central line to Woodford
Roding Valley,Woodford,1658,1660,Central line to Woodford
Roding Valley,Woodford,1716,1718,Central line to Woodford
Roding Valley,Woodford,1739,1741,Central line to Woodford
Roding Valley,Woodford,1759,1761,Central line to Woodford
Roding Valley,Woodford,1817,1819,Central line to Woodford
Roding Valley,Woodford,1837,1839,Central line to Woodford
Roding Valley,Woodford,1853,1855,Central line to Woodford
Roding Valley,Woodford,1915,1917,Central line to Woodford
Roding Valley,Woodford,1935,1937,Central line to Woodford
Roding Valley,Woodford,1954,1956,Central line to Woodford
Roding Valley,Woodford,2015,2017,Central line to Woodford
Roding Valley,Woodford,2035,2037,Central line to Woodford
Roding Valley,Woodford,2055,2057,Central line to Woodford
Roding Valley,Woodford,2115,2117,Central line to Woodford
Roding Valley,Woodford,2135,2137,Central line to Woodford
Roding Valley,Woodford,2155,2157,Central line to Woodford
Roding Valley,Woodford,2215,2217,Central line to Woodford
Roding Valley,Woodford,2237,2239,Central line to Woodford
Roding Valley,Woodford,2258,2260,Central line to Woodford
Roding Valley,Woodford,2315,2317,Central line to Woodford
Roding Valley,Woodford,2335,2337,Central line to Woodford
Roding Valley,Woodford,2352,2354,Central line to Woodford
Roding Valley,Woodford,2422,2424,Central line to Woodford
