node1,node2,tstart,tend,line
Ruislip Gardens,South Ruislip,526,527,Central line to South Ruislip
Ruislip Gardens,South Ruislip,540,541,Central line to South Ruislip
Ruislip Gardens,South Ruislip,546,547,Central line to South Ruislip
Ruislip Gardens,South Ruislip,551,552,Central line to South Ruislip
Ruislip Gardens,South Ruislip,600,601,Central line to South Ruislip
Ruislip Gardens,South Ruislip,606,607,Central line to South Ruislip
Ruislip Gardens,South Ruislip,610,611,Central line to South Ruislip
Ruislip Gardens,South Ruislip,616,617,Central line to South Ruislip
Ruislip Gardens,South Ruislip,620,621,Central line to South Ruislip
Ruislip Gardens,South Ruislip,626,627,Central line to South Ruislip
Ruislip Gardens,South Ruislip,632,633,Central line to South Ruislip
Ruislip Gardens,South Ruislip,638,639,Central line to South Ruislip
Ruislip Gardens,South Ruislip,644,645,Central line to South Ruislip
Ruislip Gardens,South Ruislip,650,651,Central line to South Ruislip
Ruislip Gardens,South Ruislip,655,656,Central line to South Ruislip
Ruislip Gardens,South Ruislip,659,660,Central line to South Ruislip
Ruislip Gardens,South Ruislip,702,703,Central line to South Ruislip
Ruislip Gardens,South Ruislip,708,709,Central line to South Ruislip
Ruislip Gardens,South Ruislip,714,715,Central line to South Ruislip
Ruislip Gardens,South Ruislip,718,719,Central line to South Ruislip
Ruislip Gardens,South Ruislip,723,724,Central line to South Ruislip
Ruislip Gardens,South Ruislip,727,728,Central line to South Ruislip
Ruislip Gardens,South Ruislip,732,733,Central line to South Ruislip
Ruislip Gardens,South Ruislip,736,737,Central line to South Ruislip
Ruislip Gardens,South Ruislip,741,742,Central line to South Ruislip
Ruislip Gardens,South Ruislip,747,748,Central line to South Ruislip
Ruislip Gardens,South Ruislip,757,758,Central line to South Ruislip
Ruislip Gardens,South Ruislip,804,805,Central line to South Ruislip
Ruislip Gardens,South Ruislip,813,814,Central line to South Ruislip
Ruislip Gardens,South Ruislip,822,823,Central line to South Ruislip
Ruislip Gardens,South Ruislip,833,834,Central line to South Ruislip
Ruislip Gardens,South Ruislip,845,846,Central line to South Ruislip
Ruislip Gardens,South Ruislip,854,855,Central line to South Ruislip
Ruislip Gardens,South Ruislip,902,903,Central line to South Ruislip
Ruislip Gardens,South Ruislip,909,910,Central line to South Ruislip
Ruislip Gardens,South Ruislip,917,918,Central line to South Ruislip
Ruislip Gardens,South Ruislip,926,927,Central line to South Ruislip
Ruislip Gardens,South Ruislip,932,933,Central line to South Ruislip
Ruislip Gardens,South Ruislip,940,941,Central line to South Ruislip
Ruislip Gardens,South Ruislip,947,948,Central line to South Ruislip
Ruislip Gardens,South Ruislip,952,953,Central line to South Ruislip
Ruislip Gardens,South Ruislip,959,960,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1007,1008,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1012,1013,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1021,1022,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1027,1028,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1032,1033,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1041,1042,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1047,1048,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1052,1053,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1101,1102,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1107,1108,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1112,1113,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1121,1122,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1127,1128,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1132,1133,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1141,1142,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1147,1148,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1152,1153,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1201,1202,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1207,1208,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1212,1213,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1221,1222,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1227,1228,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1232,1233,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1241,1242,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1247,1248,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1252,1253,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1301,1302,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1307,1308,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1312,1313,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1321,1322,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1327,1328,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1332,1333,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1341,1342,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1347,1348,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1352,1353,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1401,1402,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1407,1408,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1412,1413,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1421,1422,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1427,1428,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1432,1433,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1441,1442,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1447,1448,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1452,1453,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1500,1501,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1507,1508,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1512,1513,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1520,1521,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1526,1527,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1531,1532,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1539,1540,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1544,1545,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1549,1550,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1556,1557,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1601,1602,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1607,1608,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1614,1615,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1619,1620,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1623,1624,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1627,1628,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1635,1636,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1639,1640,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1643,1644,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1647,1648,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1655,1656,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1659,1660,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1703,1704,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1707,1708,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1714,1715,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1719,1720,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1727,1728,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1734,1735,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1739,1740,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1742,1743,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1749,1750,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1755,1756,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1805,1806,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1811,1812,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1822,1823,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1830,1831,Central line to South Ruislip
Ruislip Gardens,South Ruislip,1838,1839,Central line to South Ruislip
