node1,node2,tstart,tend,line
South Ruislip,Ruislip Gardens,609,610,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,629,630,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,645,646,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,657,658,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,703,704,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,710,711,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,717,718,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,723,724,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,729,730,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,738,739,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,748,749,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,756,757,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,808,809,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,817,818,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,827,828,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,834,835,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,844,845,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,852,853,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,857,858,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,902,903,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,906,907,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,910,911,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,914,915,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,921,922,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,924,925,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,934,935,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,939,940,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,943,944,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,946,947,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,950,951,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,954,955,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,958,959,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1003,1004,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1007,1008,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1017,1018,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1023,1024,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1027,1028,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1037,1038,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1043,1044,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1047,1048,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1057,1058,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1102,1103,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1106,1107,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1116,1117,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1122,1123,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1126,1127,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1136,1137,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1142,1143,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1151,1152,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1156,1157,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1202,1203,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1211,1212,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1216,1217,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1222,1223,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1231,1232,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1236,1237,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1242,1243,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1251,1252,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1256,1257,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1302,1303,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1311,1312,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1316,1317,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1322,1323,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1331,1332,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1336,1337,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1342,1343,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1351,1352,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1356,1357,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1402,1403,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1411,1412,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1416,1417,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1422,1423,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1431,1432,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1436,1437,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1442,1443,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1451,1452,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1456,1457,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1502,1503,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1511,1512,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1516,1517,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1522,1523,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1531,1532,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1536,1537,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1542,1543,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1550,1551,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1555,1556,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1602,1603,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1611,1612,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1617,1618,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1622,1623,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1631,1632,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1635,1636,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1642,1643,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1652,1653,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1656,1657,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1702,1703,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1712,1713,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1716,1717,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1723,1724,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1732,1733,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1737,1738,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1746,1747,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1751,1752,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1804,1805,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1811,1812,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1820,1821,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1829,1830,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1833,1834,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1840,1841,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1847,1848,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1856,1857,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1902,1903,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1907,1908,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1914,1915,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1921,1922,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1927,1928,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1930,1931,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1936,1937,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1942,1943,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1947,1948,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1953,1954,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,1958,1959,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2003,2004,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2007,2008,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2012,2013,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2017,2018,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2023,2024,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2029,2030,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2037,2038,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2044,2045,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2052,2053,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2057,2058,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2103,2104,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2112,2113,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2117,2118,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2123,2124,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2132,2133,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2137,2138,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2143,2144,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2152,2153,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2157,2158,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2203,2204,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2212,2213,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2217,2218,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2223,2224,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2232,2233,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2237,2238,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2244,2245,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2252,2253,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2257,2258,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2302,2303,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2307,2308,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2312,2313,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2317,2318,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2322,2323,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2327,2328,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2332,2333,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2340,2341,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2350,2351,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2400,2401,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2411,2412,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2420,2421,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2430,2431,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2440,2441,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2450,2451,Central line to Ruislip Gardens
South Ruislip,Ruislip Gardens,2505,2506,Central line to Ruislip Gardens
