node1,node2,tstart,tend,line
South Ruislip,Northolt,527,530,Central line to Northolt
South Ruislip,Northolt,542,545,Central line to Northolt
South Ruislip,Northolt,548,551,Central line to Northolt
South Ruislip,Northolt,552,555,Central line to Northolt
South Ruislip,Northolt,602,605,Central line to Northolt
South Ruislip,Northolt,607,610,Central line to Northolt
South Ruislip,Northolt,612,615,Central line to Northolt
South Ruislip,Northolt,618,621,Central line to Northolt
South Ruislip,Northolt,621,624,Central line to Northolt
South Ruislip,Northolt,627,630,Central line to Northolt
South Ruislip,Northolt,634,637,Central line to Northolt
South Ruislip,Northolt,639,642,Central line to Northolt
South Ruislip,Northolt,646,649,Central line to Northolt
South Ruislip,Northolt,652,655,Central line to Northolt
South Ruislip,Northolt,657,660,Central line to Northolt
South Ruislip,Northolt,700,703,Central line to Northolt
South Ruislip,Northolt,704,707,Central line to Northolt
South Ruislip,Northolt,710,713,Central line to Northolt
South Ruislip,Northolt,715,718,Central line to Northolt
South Ruislip,Northolt,720,723,Central line to Northolt
South Ruislip,Northolt,724,727,Central line to Northolt
South Ruislip,Northolt,729,732,Central line to Northolt
South Ruislip,Northolt,733,736,Central line to Northolt
South Ruislip,Northolt,738,741,Central line to Northolt
South Ruislip,Northolt,742,745,Central line to Northolt
South Ruislip,Northolt,748,751,Central line to Northolt
South Ruislip,Northolt,758,761,Central line to Northolt
South Ruislip,Northolt,806,809,Central line to Northolt
South Ruislip,Northolt,815,818,Central line to Northolt
South Ruislip,Northolt,824,827,Central line to Northolt
South Ruislip,Northolt,835,838,Central line to Northolt
South Ruislip,Northolt,847,850,Central line to Northolt
South Ruislip,Northolt,855,858,Central line to Northolt
South Ruislip,Northolt,903,906,Central line to Northolt
South Ruislip,Northolt,911,914,Central line to Northolt
South Ruislip,Northolt,919,922,Central line to Northolt
South Ruislip,Northolt,928,931,Central line to Northolt
South Ruislip,Northolt,933,936,Central line to Northolt
South Ruislip,Northolt,941,944,Central line to Northolt
South Ruislip,Northolt,948,951,Central line to Northolt
South Ruislip,Northolt,953,956,Central line to Northolt
South Ruislip,Northolt,1001,1004,Central line to Northolt
South Ruislip,Northolt,1008,1011,Central line to Northolt
South Ruislip,Northolt,1013,1016,Central line to Northolt
South Ruislip,Northolt,1022,1025,Central line to Northolt
