node1,node2,tstart,tend,line
Tottenham Court Road,Oxford Circus,555,556,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,559,560,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,605,606,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,611,612,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,615,616,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,619,620,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,622,623,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,626,627,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,629,630,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,633,634,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,636,637,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,639,640,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,643,644,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,646,647,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,649,650,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,652,653,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,655,656,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,658,659,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,701,702,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,704,705,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,707,708,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,709,710,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,712,713,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,714,715,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,717,718,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,719,720,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,722,723,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,724,725,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,727,728,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,729,730,Central line to Oxford Circus
Tottenham Court Road,Oxford Circus,731,732,Central line to Oxford Circus
