node1,node2,tstart,tend,line
Wanstead,Leytonstone,531,534,Central line to Leytonstone
Wanstead,Leytonstone,539,542,Central line to Leytonstone
Wanstead,Leytonstone,548,551,Central line to Leytonstone
Wanstead,Leytonstone,556,559,Central line to Leytonstone
Wanstead,Leytonstone,602,605,Central line to Leytonstone
Wanstead,Leytonstone,609,612,Central line to Leytonstone
Wanstead,Leytonstone,616,619,Central line to Leytonstone
Wanstead,Leytonstone,622,625,Central line to Leytonstone
Wanstead,Leytonstone,628,631,Central line to Leytonstone
Wanstead,Leytonstone,634,637,Central line to Leytonstone
Wanstead,Leytonstone,639,642,Central line to Leytonstone
Wanstead,Leytonstone,644,647,Central line to Leytonstone
Wanstead,Leytonstone,650,653,Central line to Leytonstone
Wanstead,Leytonstone,654,657,Central line to Leytonstone
Wanstead,Leytonstone,659,662,Central line to Leytonstone
Wanstead,Leytonstone,704,707,Central line to Leytonstone
Wanstead,Leytonstone,708,711,Central line to Leytonstone
Wanstead,Leytonstone,713,716,Central line to Leytonstone
Wanstead,Leytonstone,717,720,Central line to Leytonstone
Wanstead,Leytonstone,722,725,Central line to Leytonstone
Wanstead,Leytonstone,726,729,Central line to Leytonstone
Wanstead,Leytonstone,730,733,Central line to Leytonstone
Wanstead,Leytonstone,734,737,Central line to Leytonstone
Wanstead,Leytonstone,738,741,Central line to Leytonstone
Wanstead,Leytonstone,742,745,Central line to Leytonstone
Wanstead,Leytonstone,746,749,Central line to Leytonstone
Wanstead,Leytonstone,750,753,Central line to Leytonstone
Wanstead,Leytonstone,754,757,Central line to Leytonstone
Wanstead,Leytonstone,758,761,Central line to Leytonstone
Wanstead,Leytonstone,801,804,Central line to Leytonstone
Wanstead,Leytonstone,805,808,Central line to Leytonstone
Wanstead,Leytonstone,808,811,Central line to Leytonstone
Wanstead,Leytonstone,811,814,Central line to Leytonstone
Wanstead,Leytonstone,814,817,Central line to Leytonstone
Wanstead,Leytonstone,818,821,Central line to Leytonstone
Wanstead,Leytonstone,822,825,Central line to Leytonstone
Wanstead,Leytonstone,826,829,Central line to Leytonstone
Wanstead,Leytonstone,829,832,Central line to Leytonstone
Wanstead,Leytonstone,832,835,Central line to Leytonstone
Wanstead,Leytonstone,836,839,Central line to Leytonstone
Wanstead,Leytonstone,840,843,Central line to Leytonstone
Wanstead,Leytonstone,845,848,Central line to Leytonstone
Wanstead,Leytonstone,849,852,Central line to Leytonstone
Wanstead,Leytonstone,854,857,Central line to Leytonstone
