node1,node2,tstart,tend,line
Ealing Common,Ealing Broadway,608,611,District line to Ealing Broadway
Ealing Common,Ealing Broadway,619,622,District line to Ealing Broadway
Ealing Common,Ealing Broadway,627,630,District line to Ealing Broadway
Ealing Common,Ealing Broadway,635,638,District line to Ealing Broadway
Ealing Common,Ealing Broadway,648,651,District line to Ealing Broadway
Ealing Common,Ealing Broadway,656,659,District line to Ealing Broadway
Ealing Common,Ealing Broadway,702,705,District line to Ealing Broadway
Ealing Common,Ealing Broadway,706,709,District line to Ealing Broadway
Ealing Common,Ealing Broadway,717,720,District line to Ealing Broadway
Ealing Common,Ealing Broadway,723,726,District line to Ealing Broadway
Ealing Common,Ealing Broadway,729,732,District line to Ealing Broadway
Ealing Common,Ealing Broadway,743,746,District line to Ealing Broadway
Ealing Common,Ealing Broadway,754,757,District line to Ealing Broadway
Ealing Common,Ealing Broadway,804,807,District line to Ealing Broadway
Ealing Common,Ealing Broadway,814,817,District line to Ealing Broadway
Ealing Common,Ealing Broadway,826,829,District line to Ealing Broadway
Ealing Common,Ealing Broadway,839,842,District line to Ealing Broadway
Ealing Common,Ealing Broadway,853,856,District line to Ealing Broadway
Ealing Common,Ealing Broadway,904,907,District line to Ealing Broadway
Ealing Common,Ealing Broadway,914,917,District line to Ealing Broadway
Ealing Common,Ealing Broadway,925,928,District line to Ealing Broadway
Ealing Common,Ealing Broadway,939,942,District line to Ealing Broadway
Ealing Common,Ealing Broadway,949,952,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1004,1007,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1014,1017,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1026,1029,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1039,1042,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1052,1055,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1105,1108,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1115,1118,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1125,1128,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1139,1142,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1152,1155,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1204,1207,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1214,1217,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1226,1229,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1239,1242,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1252,1255,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1304,1307,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1314,1317,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1325,1328,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1339,1342,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1352,1355,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1404,1407,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1414,1417,District line to Ealing Broadway
Ealing Common,Ealing Broadway,1426,1429,District line to Ealing Broadway
