node1,node2,tstart,tend,line
Ealing Common,Acton Town,620,623,District line to Acton Town
Ealing Common,Acton Town,631,634,District line to Acton Town
Ealing Common,Acton Town,639,642,District line to Acton Town
Ealing Common,Acton Town,651,654,District line to Acton Town
Ealing Common,Acton Town,700,703,District line to Acton Town
Ealing Common,Acton Town,711,714,District line to Acton Town
Ealing Common,Acton Town,715,718,District line to Acton Town
Ealing Common,Acton Town,721,724,District line to Acton Town
Ealing Common,Acton Town,730,733,District line to Acton Town
Ealing Common,Acton Town,737,740,District line to Acton Town
Ealing Common,Acton Town,745,748,District line to Acton Town
Ealing Common,Acton Town,758,761,District line to Acton Town
Ealing Common,Acton Town,808,811,District line to Acton Town
Ealing Common,Acton Town,821,824,District line to Acton Town
Ealing Common,Acton Town,834,837,District line to Acton Town
Ealing Common,Acton Town,845,848,District line to Acton Town
Ealing Common,Acton Town,858,861,District line to Acton Town
Ealing Common,Acton Town,909,912,District line to Acton Town
Ealing Common,Acton Town,922,925,District line to Acton Town
Ealing Common,Acton Town,934,937,District line to Acton Town
Ealing Common,Acton Town,945,948,District line to Acton Town
Ealing Common,Acton Town,958,961,District line to Acton Town
Ealing Common,Acton Town,1009,1012,District line to Acton Town
Ealing Common,Acton Town,1021,1024,District line to Acton Town
Ealing Common,Acton Town,1034,1037,District line to Acton Town
Ealing Common,Acton Town,1045,1048,District line to Acton Town
Ealing Common,Acton Town,1058,1061,District line to Acton Town
Ealing Common,Acton Town,1109,1112,District line to Acton Town
Ealing Common,Acton Town,1122,1125,District line to Acton Town
Ealing Common,Acton Town,1134,1137,District line to Acton Town
Ealing Common,Acton Town,1145,1148,District line to Acton Town
Ealing Common,Acton Town,1158,1161,District line to Acton Town
Ealing Common,Acton Town,1209,1212,District line to Acton Town
Ealing Common,Acton Town,1222,1225,District line to Acton Town
Ealing Common,Acton Town,1234,1237,District line to Acton Town
Ealing Common,Acton Town,1245,1248,District line to Acton Town
Ealing Common,Acton Town,1258,1261,District line to Acton Town
Ealing Common,Acton Town,1309,1312,District line to Acton Town
Ealing Common,Acton Town,1322,1325,District line to Acton Town
Ealing Common,Acton Town,1334,1337,District line to Acton Town
Ealing Common,Acton Town,1345,1348,District line to Acton Town
Ealing Common,Acton Town,1358,1361,District line to Acton Town
Ealing Common,Acton Town,1409,1412,District line to Acton Town
Ealing Common,Acton Town,1422,1425,District line to Acton Town
Ealing Common,Acton Town,1434,1437,District line to Acton Town
Ealing Common,Acton Town,1445,1448,District line to Acton Town
Ealing Common,Acton Town,1458,1461,District line to Acton Town
Ealing Common,Acton Town,1509,1512,District line to Acton Town
Ealing Common,Acton Town,1522,1525,District line to Acton Town
Ealing Common,Acton Town,1534,1537,District line to Acton Town
Ealing Common,Acton Town,1545,1548,District line to Acton Town
Ealing Common,Acton Town,1558,1561,District line to Acton Town
Ealing Common,Acton Town,1609,1612,District line to Acton Town
Ealing Common,Acton Town,1622,1625,District line to Acton Town
Ealing Common,Acton Town,1634,1637,District line to Acton Town
Ealing Common,Acton Town,1645,1648,District line to Acton Town
Ealing Common,Acton Town,1658,1661,District line to Acton Town
Ealing Common,Acton Town,1709,1712,District line to Acton Town
Ealing Common,Acton Town,1722,1725,District line to Acton Town
Ealing Common,Acton Town,1734,1737,District line to Acton Town
Ealing Common,Acton Town,1745,1748,District line to Acton Town
Ealing Common,Acton Town,1758,1761,District line to Acton Town
Ealing Common,Acton Town,1809,1812,District line to Acton Town
Ealing Common,Acton Town,1822,1825,District line to Acton Town
Ealing Common,Acton Town,1834,1837,District line to Acton Town
Ealing Common,Acton Town,1845,1848,District line to Acton Town
Ealing Common,Acton Town,1858,1861,District line to Acton Town
Ealing Common,Acton Town,1909,1912,District line to Acton Town
Ealing Common,Acton Town,1922,1925,District line to Acton Town
Ealing Common,Acton Town,1934,1937,District line to Acton Town
Ealing Common,Acton Town,1945,1948,District line to Acton Town
Ealing Common,Acton Town,1958,1961,District line to Acton Town
Ealing Common,Acton Town,2009,2012,District line to Acton Town
Ealing Common,Acton Town,2022,2025,District line to Acton Town
Ealing Common,Acton Town,2034,2037,District line to Acton Town
Ealing Common,Acton Town,2045,2048,District line to Acton Town
Ealing Common,Acton Town,2058,2061,District line to Acton Town
Ealing Common,Acton Town,2109,2112,District line to Acton Town
Ealing Common,Acton Town,2122,2125,District line to Acton Town
Ealing Common,Acton Town,2134,2137,District line to Acton Town
Ealing Common,Acton Town,2145,2148,District line to Acton Town
Ealing Common,Acton Town,2158,2161,District line to Acton Town
Ealing Common,Acton Town,2209,2212,District line to Acton Town
Ealing Common,Acton Town,2222,2225,District line to Acton Town
Ealing Common,Acton Town,2234,2237,District line to Acton Town
Ealing Common,Acton Town,2245,2248,District line to Acton Town
Ealing Common,Acton Town,2301,2304,District line to Acton Town
Ealing Common,Acton Town,2310,2313,District line to Acton Town
Ealing Common,Acton Town,2324,2327,District line to Acton Town
Ealing Common,Acton Town,2341,2344,District line to Acton Town
Ealing Common,Acton Town,2357,2360,District line to Acton Town
