node1,node2,tstart,tend,line
Earl's Court,West Brompton,639,640,District line to West Brompton
Earl's Court,West Brompton,659,660,District line to West Brompton
Earl's Court,West Brompton,707,708,District line to West Brompton
Earl's Court,West Brompton,708,709,District line to West Brompton
Earl's Court,West Brompton,714,715,District line to West Brompton
Earl's Court,West Brompton,719,720,District line to West Brompton
Earl's Court,West Brompton,721,722,District line to West Brompton
Earl's Court,West Brompton,723,724,District line to West Brompton
Earl's Court,West Brompton,728,729,District line to West Brompton
Earl's Court,West Brompton,728,729,District line to West Brompton
Earl's Court,West Brompton,733,734,District line to West Brompton
Earl's Court,West Brompton,735,736,District line to West Brompton
Earl's Court,West Brompton,740,741,District line to West Brompton
Earl's Court,West Brompton,740,741,District line to West Brompton
Earl's Court,West Brompton,744,745,District line to West Brompton
Earl's Court,West Brompton,745,746,District line to West Brompton
Earl's Court,West Brompton,748,749,District line to West Brompton
Earl's Court,West Brompton,751,752,District line to West Brompton
Earl's Court,West Brompton,753,754,District line to West Brompton
Earl's Court,West Brompton,755,756,District line to West Brompton
Earl's Court,West Brompton,757,758,District line to West Brompton
Earl's Court,West Brompton,758,759,District line to West Brompton
Earl's Court,West Brompton,802,803,District line to West Brompton
Earl's Court,West Brompton,803,804,District line to West Brompton
Earl's Court,West Brompton,806,807,District line to West Brompton
Earl's Court,West Brompton,809,810,District line to West Brompton
Earl's Court,West Brompton,812,813,District line to West Brompton
Earl's Court,West Brompton,812,813,District line to West Brompton
Earl's Court,West Brompton,815,816,District line to West Brompton
Earl's Court,West Brompton,817,818,District line to West Brompton
Earl's Court,West Brompton,820,821,District line to West Brompton
Earl's Court,West Brompton,822,823,District line to West Brompton
Earl's Court,West Brompton,825,826,District line to West Brompton
Earl's Court,West Brompton,827,828,District line to West Brompton
Earl's Court,West Brompton,830,831,District line to West Brompton
Earl's Court,West Brompton,833,834,District line to West Brompton
Earl's Court,West Brompton,834,835,District line to West Brompton
Earl's Court,West Brompton,836,837,District line to West Brompton
Earl's Court,West Brompton,839,840,District line to West Brompton
Earl's Court,West Brompton,841,842,District line to West Brompton
Earl's Court,West Brompton,844,845,District line to West Brompton
Earl's Court,West Brompton,846,847,District line to West Brompton
Earl's Court,West Brompton,849,850,District line to West Brompton
Earl's Court,West Brompton,851,852,District line to West Brompton
Earl's Court,West Brompton,854,855,District line to West Brompton
Earl's Court,West Brompton,857,858,District line to West Brompton
Earl's Court,West Brompton,858,859,District line to West Brompton
Earl's Court,West Brompton,900,901,District line to West Brompton
Earl's Court,West Brompton,903,904,District line to West Brompton
Earl's Court,West Brompton,905,906,District line to West Brompton
Earl's Court,West Brompton,908,909,District line to West Brompton
Earl's Court,West Brompton,910,911,District line to West Brompton
Earl's Court,West Brompton,913,914,District line to West Brompton
Earl's Court,West Brompton,915,916,District line to West Brompton
Earl's Court,West Brompton,918,919,District line to West Brompton
Earl's Court,West Brompton,921,922,District line to West Brompton
Earl's Court,West Brompton,922,923,District line to West Brompton
Earl's Court,West Brompton,924,925,District line to West Brompton
Earl's Court,West Brompton,928,929,District line to West Brompton
Earl's Court,West Brompton,929,930,District line to West Brompton
Earl's Court,West Brompton,932,933,District line to West Brompton
Earl's Court,West Brompton,934,935,District line to West Brompton
Earl's Court,West Brompton,937,938,District line to West Brompton
Earl's Court,West Brompton,939,940,District line to West Brompton
Earl's Court,West Brompton,942,943,District line to West Brompton
Earl's Court,West Brompton,945,946,District line to West Brompton
Earl's Court,West Brompton,946,947,District line to West Brompton
Earl's Court,West Brompton,948,949,District line to West Brompton
Earl's Court,West Brompton,951,952,District line to West Brompton
Earl's Court,West Brompton,953,954,District line to West Brompton
Earl's Court,West Brompton,956,957,District line to West Brompton
Earl's Court,West Brompton,958,959,District line to West Brompton
Earl's Court,West Brompton,1001,1002,District line to West Brompton
Earl's Court,West Brompton,1003,1004,District line to West Brompton
Earl's Court,West Brompton,1006,1007,District line to West Brompton
Earl's Court,West Brompton,1009,1010,District line to West Brompton
Earl's Court,West Brompton,1010,1011,District line to West Brompton
Earl's Court,West Brompton,1012,1013,District line to West Brompton
Earl's Court,West Brompton,1015,1016,District line to West Brompton
Earl's Court,West Brompton,1017,1018,District line to West Brompton
Earl's Court,West Brompton,1020,1021,District line to West Brompton
Earl's Court,West Brompton,1022,1023,District line to West Brompton
Earl's Court,West Brompton,1025,1026,District line to West Brompton
Earl's Court,West Brompton,1027,1028,District line to West Brompton
Earl's Court,West Brompton,1030,1031,District line to West Brompton
Earl's Court,West Brompton,1033,1034,District line to West Brompton
Earl's Court,West Brompton,1034,1035,District line to West Brompton
Earl's Court,West Brompton,1036,1037,District line to West Brompton
Earl's Court,West Brompton,1039,1040,District line to West Brompton
Earl's Court,West Brompton,1041,1042,District line to West Brompton
Earl's Court,West Brompton,1044,1045,District line to West Brompton
Earl's Court,West Brompton,1046,1047,District line to West Brompton
Earl's Court,West Brompton,1049,1050,District line to West Brompton
Earl's Court,West Brompton,1051,1052,District line to West Brompton
Earl's Court,West Brompton,1054,1055,District line to West Brompton
Earl's Court,West Brompton,1057,1058,District line to West Brompton
Earl's Court,West Brompton,1058,1059,District line to West Brompton
Earl's Court,West Brompton,1100,1101,District line to West Brompton
Earl's Court,West Brompton,1103,1104,District line to West Brompton
Earl's Court,West Brompton,1105,1106,District line to West Brompton
Earl's Court,West Brompton,1108,1109,District line to West Brompton
Earl's Court,West Brompton,1110,1111,District line to West Brompton
Earl's Court,West Brompton,1113,1114,District line to West Brompton
Earl's Court,West Brompton,1115,1116,District line to West Brompton
Earl's Court,West Brompton,1118,1119,District line to West Brompton
Earl's Court,West Brompton,1121,1122,District line to West Brompton
Earl's Court,West Brompton,1122,1123,District line to West Brompton
Earl's Court,West Brompton,1124,1125,District line to West Brompton
Earl's Court,West Brompton,1127,1128,District line to West Brompton
Earl's Court,West Brompton,1129,1130,District line to West Brompton
Earl's Court,West Brompton,1132,1133,District line to West Brompton
Earl's Court,West Brompton,1134,1135,District line to West Brompton
Earl's Court,West Brompton,1137,1138,District line to West Brompton
Earl's Court,West Brompton,1139,1140,District line to West Brompton
Earl's Court,West Brompton,1142,1143,District line to West Brompton
Earl's Court,West Brompton,1145,1146,District line to West Brompton
Earl's Court,West Brompton,1146,1147,District line to West Brompton
Earl's Court,West Brompton,1148,1149,District line to West Brompton
Earl's Court,West Brompton,1151,1152,District line to West Brompton
Earl's Court,West Brompton,1153,1154,District line to West Brompton
Earl's Court,West Brompton,1156,1157,District line to West Brompton
Earl's Court,West Brompton,1158,1159,District line to West Brompton
Earl's Court,West Brompton,1201,1202,District line to West Brompton
Earl's Court,West Brompton,1203,1204,District line to West Brompton
Earl's Court,West Brompton,1206,1207,District line to West Brompton
Earl's Court,West Brompton,1209,1210,District line to West Brompton
Earl's Court,West Brompton,1210,1211,District line to West Brompton
Earl's Court,West Brompton,1212,1213,District line to West Brompton
Earl's Court,West Brompton,1215,1216,District line to West Brompton
Earl's Court,West Brompton,1217,1218,District line to West Brompton
Earl's Court,West Brompton,1220,1221,District line to West Brompton
Earl's Court,West Brompton,1222,1223,District line to West Brompton
Earl's Court,West Brompton,1225,1226,District line to West Brompton
Earl's Court,West Brompton,1227,1228,District line to West Brompton
Earl's Court,West Brompton,1230,1231,District line to West Brompton
Earl's Court,West Brompton,1233,1234,District line to West Brompton
Earl's Court,West Brompton,1234,1235,District line to West Brompton
Earl's Court,West Brompton,1236,1237,District line to West Brompton
Earl's Court,West Brompton,1239,1240,District line to West Brompton
Earl's Court,West Brompton,1241,1242,District line to West Brompton
Earl's Court,West Brompton,1244,1245,District line to West Brompton
Earl's Court,West Brompton,1246,1247,District line to West Brompton
Earl's Court,West Brompton,1249,1250,District line to West Brompton
Earl's Court,West Brompton,1251,1252,District line to West Brompton
Earl's Court,West Brompton,1254,1255,District line to West Brompton
Earl's Court,West Brompton,1257,1258,District line to West Brompton
Earl's Court,West Brompton,1258,1259,District line to West Brompton
Earl's Court,West Brompton,1300,1301,District line to West Brompton
Earl's Court,West Brompton,1303,1304,District line to West Brompton
Earl's Court,West Brompton,1305,1306,District line to West Brompton
Earl's Court,West Brompton,1308,1309,District line to West Brompton
Earl's Court,West Brompton,1310,1311,District line to West Brompton
Earl's Court,West Brompton,1313,1314,District line to West Brompton
Earl's Court,West Brompton,1315,1316,District line to West Brompton
Earl's Court,West Brompton,1318,1319,District line to West Brompton
Earl's Court,West Brompton,1321,1322,District line to West Brompton
Earl's Court,West Brompton,1322,1323,District line to West Brompton
Earl's Court,West Brompton,1324,1325,District line to West Brompton
Earl's Court,West Brompton,1327,1328,District line to West Brompton
Earl's Court,West Brompton,1329,1330,District line to West Brompton
Earl's Court,West Brompton,1332,1333,District line to West Brompton
Earl's Court,West Brompton,1334,1335,District line to West Brompton
Earl's Court,West Brompton,1337,1338,District line to West Brompton
Earl's Court,West Brompton,1339,1340,District line to West Brompton
Earl's Court,West Brompton,1342,1343,District line to West Brompton
Earl's Court,West Brompton,1345,1346,District line to West Brompton
Earl's Court,West Brompton,1346,1347,District line to West Brompton
Earl's Court,West Brompton,1348,1349,District line to West Brompton
Earl's Court,West Brompton,1351,1352,District line to West Brompton
Earl's Court,West Brompton,1353,1354,District line to West Brompton
Earl's Court,West Brompton,1356,1357,District line to West Brompton
Earl's Court,West Brompton,1358,1359,District line to West Brompton
Earl's Court,West Brompton,1401,1402,District line to West Brompton
Earl's Court,West Brompton,1403,1404,District line to West Brompton
Earl's Court,West Brompton,1406,1407,District line to West Brompton
Earl's Court,West Brompton,1409,1410,District line to West Brompton
Earl's Court,West Brompton,1410,1411,District line to West Brompton
Earl's Court,West Brompton,1412,1413,District line to West Brompton
Earl's Court,West Brompton,1415,1416,District line to West Brompton
Earl's Court,West Brompton,1417,1418,District line to West Brompton
Earl's Court,West Brompton,1420,1421,District line to West Brompton
Earl's Court,West Brompton,1422,1423,District line to West Brompton
Earl's Court,West Brompton,1425,1426,District line to West Brompton
Earl's Court,West Brompton,1427,1428,District line to West Brompton
Earl's Court,West Brompton,1430,1431,District line to West Brompton
Earl's Court,West Brompton,1433,1434,District line to West Brompton
Earl's Court,West Brompton,1434,1435,District line to West Brompton
Earl's Court,West Brompton,1436,1437,District line to West Brompton
Earl's Court,West Brompton,1439,1440,District line to West Brompton
Earl's Court,West Brompton,1441,1442,District line to West Brompton
Earl's Court,West Brompton,1444,1445,District line to West Brompton
Earl's Court,West Brompton,1446,1447,District line to West Brompton
Earl's Court,West Brompton,1449,1450,District line to West Brompton
Earl's Court,West Brompton,1451,1452,District line to West Brompton
Earl's Court,West Brompton,1454,1455,District line to West Brompton
Earl's Court,West Brompton,1457,1458,District line to West Brompton
