node1,node2,tstart,tend,line
Mile End,Bow Road,602,603,Hammersmith & City line to Bow Road
Mile End,Bow Road,619,620,Hammersmith & City line to Bow Road
Mile End,Bow Road,629,630,Hammersmith & City line to Bow Road
Mile End,Bow Road,700,701,Hammersmith & City line to Bow Road
Mile End,Bow Road,710,711,Hammersmith & City line to Bow Road
Mile End,Bow Road,719,720,Hammersmith & City line to Bow Road
Mile End,Bow Road,729,730,Hammersmith & City line to Bow Road
Mile End,Bow Road,739,740,Hammersmith & City line to Bow Road
Mile End,Bow Road,750,751,Hammersmith & City line to Bow Road
Mile End,Bow Road,758,759,Hammersmith & City line to Bow Road
Mile End,Bow Road,809,810,Hammersmith & City line to Bow Road
Mile End,Bow Road,821,822,Hammersmith & City line to Bow Road
Mile End,Bow Road,830,831,Hammersmith & City line to Bow Road
Mile End,Bow Road,837,838,Hammersmith & City line to Bow Road
Mile End,Bow Road,850,851,Hammersmith & City line to Bow Road
Mile End,Bow Road,901,902,Hammersmith & City line to Bow Road
Mile End,Bow Road,909,910,Hammersmith & City line to Bow Road
Mile End,Bow Road,918,919,Hammersmith & City line to Bow Road
Mile End,Bow Road,928,929,Hammersmith & City line to Bow Road
Mile End,Bow Road,940,941,Hammersmith & City line to Bow Road
Mile End,Bow Road,948,949,Hammersmith & City line to Bow Road
Mile End,Bow Road,958,959,Hammersmith & City line to Bow Road
Mile End,Bow Road,1009,1010,Hammersmith & City line to Bow Road
Mile End,Bow Road,1018,1019,Hammersmith & City line to Bow Road
Mile End,Bow Road,1030,1031,Hammersmith & City line to Bow Road
Mile End,Bow Road,1040,1041,Hammersmith & City line to Bow Road
Mile End,Bow Road,1050,1051,Hammersmith & City line to Bow Road
Mile End,Bow Road,1100,1101,Hammersmith & City line to Bow Road
Mile End,Bow Road,1110,1111,Hammersmith & City line to Bow Road
Mile End,Bow Road,1120,1121,Hammersmith & City line to Bow Road
Mile End,Bow Road,1130,1131,Hammersmith & City line to Bow Road
Mile End,Bow Road,1140,1141,Hammersmith & City line to Bow Road
Mile End,Bow Road,1150,1151,Hammersmith & City line to Bow Road
Mile End,Bow Road,1155,1156,Hammersmith & City line to Bow Road
Mile End,Bow Road,1200,1201,Hammersmith & City line to Bow Road
Mile End,Bow Road,1210,1211,Hammersmith & City line to Bow Road
Mile End,Bow Road,1220,1221,Hammersmith & City line to Bow Road
Mile End,Bow Road,1230,1231,Hammersmith & City line to Bow Road
Mile End,Bow Road,1240,1241,Hammersmith & City line to Bow Road
Mile End,Bow Road,1251,1252,Hammersmith & City line to Bow Road
Mile End,Bow Road,1300,1301,Hammersmith & City line to Bow Road
Mile End,Bow Road,1310,1311,Hammersmith & City line to Bow Road
Mile End,Bow Road,1320,1321,Hammersmith & City line to Bow Road
Mile End,Bow Road,1330,1331,Hammersmith & City line to Bow Road
Mile End,Bow Road,1340,1341,Hammersmith & City line to Bow Road
Mile End,Bow Road,1350,1351,Hammersmith & City line to Bow Road
Mile End,Bow Road,1400,1401,Hammersmith & City line to Bow Road
Mile End,Bow Road,1410,1411,Hammersmith & City line to Bow Road
Mile End,Bow Road,1420,1421,Hammersmith & City line to Bow Road
Mile End,Bow Road,1430,1431,Hammersmith & City line to Bow Road
Mile End,Bow Road,1440,1441,Hammersmith & City line to Bow Road
Mile End,Bow Road,1450,1451,Hammersmith & City line to Bow Road
Mile End,Bow Road,1500,1501,Hammersmith & City line to Bow Road
Mile End,Bow Road,1510,1511,Hammersmith & City line to Bow Road
Mile End,Bow Road,1520,1521,Hammersmith & City line to Bow Road
Mile End,Bow Road,1530,1531,Hammersmith & City line to Bow Road
Mile End,Bow Road,1540,1541,Hammersmith & City line to Bow Road
Mile End,Bow Road,1551,1552,Hammersmith & City line to Bow Road
Mile End,Bow Road,1600,1601,Hammersmith & City line to Bow Road
Mile End,Bow Road,1608,1609,Hammersmith & City line to Bow Road
Mile End,Bow Road,1621,1622,Hammersmith & City line to Bow Road
Mile End,Bow Road,1629,1630,Hammersmith & City line to Bow Road
Mile End,Bow Road,1639,1640,Hammersmith & City line to Bow Road
Mile End,Bow Road,1651,1652,Hammersmith & City line to Bow Road
Mile End,Bow Road,1701,1702,Hammersmith & City line to Bow Road
Mile End,Bow Road,1712,1713,Hammersmith & City line to Bow Road
Mile End,Bow Road,1719,1720,Hammersmith & City line to Bow Road
Mile End,Bow Road,1731,1732,Hammersmith & City line to Bow Road
Mile End,Bow Road,1740,1741,Hammersmith & City line to Bow Road
Mile End,Bow Road,1748,1749,Hammersmith & City line to Bow Road
Mile End,Bow Road,1759,1760,Hammersmith & City line to Bow Road
Mile End,Bow Road,1809,1810,Hammersmith & City line to Bow Road
Mile End,Bow Road,1822,1823,Hammersmith & City line to Bow Road
Mile End,Bow Road,1832,1833,Hammersmith & City line to Bow Road
Mile End,Bow Road,1840,1841,Hammersmith & City line to Bow Road
