node1,node2,tstart,tend,line
Moorgate,Barbican,521,522,Hammersmith & City line to Barbican
Moorgate,Barbican,528,529,Hammersmith & City line to Barbican
Moorgate,Barbican,541,542,Hammersmith & City line to Barbican
Moorgate,Barbican,547,548,Hammersmith & City line to Barbican
Moorgate,Barbican,550,551,Hammersmith & City line to Barbican
Moorgate,Barbican,553,554,Hammersmith & City line to Barbican
Moorgate,Barbican,558,559,Hammersmith & City line to Barbican
Moorgate,Barbican,603,604,Hammersmith & City line to Barbican
Moorgate,Barbican,608,609,Hammersmith & City line to Barbican
Moorgate,Barbican,611,612,Hammersmith & City line to Barbican
Moorgate,Barbican,614,615,Hammersmith & City line to Barbican
Moorgate,Barbican,618,619,Hammersmith & City line to Barbican
Moorgate,Barbican,628,629,Hammersmith & City line to Barbican
Moorgate,Barbican,633,634,Hammersmith & City line to Barbican
Moorgate,Barbican,638,639,Hammersmith & City line to Barbican
Moorgate,Barbican,647,648,Hammersmith & City line to Barbican
Moorgate,Barbican,658,659,Hammersmith & City line to Barbican
Moorgate,Barbican,707,708,Hammersmith & City line to Barbican
Moorgate,Barbican,717,718,Hammersmith & City line to Barbican
Moorgate,Barbican,726,727,Hammersmith & City line to Barbican
Moorgate,Barbican,736,737,Hammersmith & City line to Barbican
Moorgate,Barbican,746,747,Hammersmith & City line to Barbican
Moorgate,Barbican,755,756,Hammersmith & City line to Barbican
Moorgate,Barbican,805,806,Hammersmith & City line to Barbican
Moorgate,Barbican,816,817,Hammersmith & City line to Barbican
Moorgate,Barbican,827,828,Hammersmith & City line to Barbican
Moorgate,Barbican,835,836,Hammersmith & City line to Barbican
Moorgate,Barbican,844,845,Hammersmith & City line to Barbican
Moorgate,Barbican,856,857,Hammersmith & City line to Barbican
Moorgate,Barbican,904,905,Hammersmith & City line to Barbican
Moorgate,Barbican,917,918,Hammersmith & City line to Barbican
Moorgate,Barbican,929,930,Hammersmith & City line to Barbican
Moorgate,Barbican,937,938,Hammersmith & City line to Barbican
Moorgate,Barbican,948,949,Hammersmith & City line to Barbican
Moorgate,Barbican,957,958,Hammersmith & City line to Barbican
Moorgate,Barbican,1003,1004,Hammersmith & City line to Barbican
Moorgate,Barbican,1013,1014,Hammersmith & City line to Barbican
Moorgate,Barbican,1024,1025,Hammersmith & City line to Barbican
Moorgate,Barbican,1033,1034,Hammersmith & City line to Barbican
Moorgate,Barbican,1043,1044,Hammersmith & City line to Barbican
Moorgate,Barbican,1052,1053,Hammersmith & City line to Barbican
Moorgate,Barbican,1103,1104,Hammersmith & City line to Barbican
Moorgate,Barbican,1113,1114,Hammersmith & City line to Barbican
Moorgate,Barbican,1123,1124,Hammersmith & City line to Barbican
Moorgate,Barbican,1133,1134,Hammersmith & City line to Barbican
Moorgate,Barbican,1143,1144,Hammersmith & City line to Barbican
Moorgate,Barbican,1153,1154,Hammersmith & City line to Barbican
Moorgate,Barbican,1203,1204,Hammersmith & City line to Barbican
Moorgate,Barbican,1213,1214,Hammersmith & City line to Barbican
Moorgate,Barbican,1223,1224,Hammersmith & City line to Barbican
Moorgate,Barbican,1233,1234,Hammersmith & City line to Barbican
Moorgate,Barbican,1243,1244,Hammersmith & City line to Barbican
Moorgate,Barbican,1253,1254,Hammersmith & City line to Barbican
Moorgate,Barbican,1303,1304,Hammersmith & City line to Barbican
Moorgate,Barbican,1313,1314,Hammersmith & City line to Barbican
Moorgate,Barbican,1323,1324,Hammersmith & City line to Barbican
Moorgate,Barbican,1333,1334,Hammersmith & City line to Barbican
Moorgate,Barbican,1343,1344,Hammersmith & City line to Barbican
Moorgate,Barbican,1353,1354,Hammersmith & City line to Barbican
Moorgate,Barbican,1403,1404,Hammersmith & City line to Barbican
Moorgate,Barbican,1413,1414,Hammersmith & City line to Barbican
Moorgate,Barbican,1423,1424,Hammersmith & City line to Barbican
Moorgate,Barbican,1433,1434,Hammersmith & City line to Barbican
Moorgate,Barbican,1443,1444,Hammersmith & City line to Barbican
Moorgate,Barbican,1453,1454,Hammersmith & City line to Barbican
Moorgate,Barbican,1503,1504,Hammersmith & City line to Barbican
Moorgate,Barbican,1513,1514,Hammersmith & City line to Barbican
Moorgate,Barbican,1523,1524,Hammersmith & City line to Barbican
Moorgate,Barbican,1533,1534,Hammersmith & City line to Barbican
Moorgate,Barbican,1543,1544,Hammersmith & City line to Barbican
Moorgate,Barbican,1550,1551,Hammersmith & City line to Barbican
Moorgate,Barbican,1553,1554,Hammersmith & City line to Barbican
Moorgate,Barbican,1603,1604,Hammersmith & City line to Barbican
Moorgate,Barbican,1614,1615,Hammersmith & City line to Barbican
Moorgate,Barbican,1623,1624,Hammersmith & City line to Barbican
Moorgate,Barbican,1634,1635,Hammersmith & City line to Barbican
Moorgate,Barbican,1646,1647,Hammersmith & City line to Barbican
Moorgate,Barbican,1654,1655,Hammersmith & City line to Barbican
Moorgate,Barbican,1705,1706,Hammersmith & City line to Barbican
