node1,node2,tstart,tend,line
Whitechapel,Aldgate East,521,523,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,540,542,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,543,545,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,546,548,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,556,558,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,602,604,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,605,607,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,610,612,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,620,622,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,629,631,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,640,642,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,650,652,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,659,661,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,708,710,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,718,720,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,726,728,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,738,740,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,747,749,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,756,758,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,807,809,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,820,822,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,826,828,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,836,838,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,848,850,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,856,858,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,908,910,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,921,923,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,929,931,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,940,942,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,949,951,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,955,957,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1005,1007,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1015,1017,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1025,1027,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1034,1036,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1044,1046,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1055,1057,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1104,1106,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1114,1116,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1124,1126,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1134,1136,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1144,1146,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1154,1156,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1204,1206,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1214,1216,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1224,1226,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1234,1236,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1244,1246,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1254,1256,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1304,1306,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1314,1316,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1324,1326,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1335,1337,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1344,1346,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1354,1356,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1404,1406,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1414,1416,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1424,1426,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1434,1436,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1444,1446,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1455,1457,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1504,1506,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1514,1516,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1524,1526,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1534,1536,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1539,1541,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1544,1546,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1555,1557,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1604,1606,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1613,1615,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1626,1628,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1636,1638,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1646,1648,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1656,1658,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1708,1710,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1716,1718,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1725,1727,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1737,1739,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1748,1750,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1755,1757,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1806,1808,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1817,1819,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1827,1829,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1837,1839,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1847,1849,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1856,1858,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1905,1907,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1915,1917,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1926,1928,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1935,1937,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1945,1947,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,1955,1957,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2004,2006,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2014,2016,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2024,2026,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2035,2037,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2045,2047,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2055,2057,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2105,2107,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2115,2117,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2125,2127,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2134,2136,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2144,2146,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2154,2156,Hammersmith & City line to Aldgate East
Whitechapel,Aldgate East,2204,2206,Hammersmith & City line to Aldgate East
