node1,node2,tstart,tend,line
Kilburn,West Hampstead,513,514,Jubilee line to West Hampstead
Kilburn,West Hampstead,517,518,Jubilee line to West Hampstead
Kilburn,West Hampstead,530,531,Jubilee line to West Hampstead
Kilburn,West Hampstead,537,538,Jubilee line to West Hampstead
Kilburn,West Hampstead,542,543,Jubilee line to West Hampstead
Kilburn,West Hampstead,547,548,Jubilee line to West Hampstead
Kilburn,West Hampstead,552,553,Jubilee line to West Hampstead
Kilburn,West Hampstead,557,558,Jubilee line to West Hampstead
Kilburn,West Hampstead,602,603,Jubilee line to West Hampstead
Kilburn,West Hampstead,607,608,Jubilee line to West Hampstead
Kilburn,West Hampstead,612,613,Jubilee line to West Hampstead
Kilburn,West Hampstead,617,618,Jubilee line to West Hampstead
Kilburn,West Hampstead,621,622,Jubilee line to West Hampstead
Kilburn,West Hampstead,625,626,Jubilee line to West Hampstead
Kilburn,West Hampstead,629,630,Jubilee line to West Hampstead
Kilburn,West Hampstead,632,633,Jubilee line to West Hampstead
Kilburn,West Hampstead,634,635,Jubilee line to West Hampstead
Kilburn,West Hampstead,637,638,Jubilee line to West Hampstead
Kilburn,West Hampstead,639,640,Jubilee line to West Hampstead
Kilburn,West Hampstead,642,643,Jubilee line to West Hampstead
Kilburn,West Hampstead,644,645,Jubilee line to West Hampstead
Kilburn,West Hampstead,647,648,Jubilee line to West Hampstead
Kilburn,West Hampstead,649,650,Jubilee line to West Hampstead
Kilburn,West Hampstead,652,653,Jubilee line to West Hampstead
Kilburn,West Hampstead,654,655,Jubilee line to West Hampstead
Kilburn,West Hampstead,656,657,Jubilee line to West Hampstead
Kilburn,West Hampstead,659,660,Jubilee line to West Hampstead
Kilburn,West Hampstead,701,702,Jubilee line to West Hampstead
Kilburn,West Hampstead,703,704,Jubilee line to West Hampstead
Kilburn,West Hampstead,705,706,Jubilee line to West Hampstead
Kilburn,West Hampstead,707,708,Jubilee line to West Hampstead
Kilburn,West Hampstead,711,712,Jubilee line to West Hampstead
Kilburn,West Hampstead,713,714,Jubilee line to West Hampstead
Kilburn,West Hampstead,715,716,Jubilee line to West Hampstead
Kilburn,West Hampstead,717,718,Jubilee line to West Hampstead
Kilburn,West Hampstead,719,720,Jubilee line to West Hampstead
Kilburn,West Hampstead,721,722,Jubilee line to West Hampstead
Kilburn,West Hampstead,724,725,Jubilee line to West Hampstead
Kilburn,West Hampstead,726,727,Jubilee line to West Hampstead
Kilburn,West Hampstead,729,730,Jubilee line to West Hampstead
Kilburn,West Hampstead,731,732,Jubilee line to West Hampstead
Kilburn,West Hampstead,733,734,Jubilee line to West Hampstead
Kilburn,West Hampstead,735,736,Jubilee line to West Hampstead
Kilburn,West Hampstead,737,738,Jubilee line to West Hampstead
Kilburn,West Hampstead,741,742,Jubilee line to West Hampstead
Kilburn,West Hampstead,743,744,Jubilee line to West Hampstead
Kilburn,West Hampstead,745,746,Jubilee line to West Hampstead
Kilburn,West Hampstead,747,748,Jubilee line to West Hampstead
Kilburn,West Hampstead,749,750,Jubilee line to West Hampstead
Kilburn,West Hampstead,751,752,Jubilee line to West Hampstead
Kilburn,West Hampstead,754,755,Jubilee line to West Hampstead
Kilburn,West Hampstead,756,757,Jubilee line to West Hampstead
Kilburn,West Hampstead,759,760,Jubilee line to West Hampstead
Kilburn,West Hampstead,801,802,Jubilee line to West Hampstead
Kilburn,West Hampstead,803,804,Jubilee line to West Hampstead
Kilburn,West Hampstead,805,806,Jubilee line to West Hampstead
Kilburn,West Hampstead,807,808,Jubilee line to West Hampstead
Kilburn,West Hampstead,811,812,Jubilee line to West Hampstead
Kilburn,West Hampstead,813,814,Jubilee line to West Hampstead
Kilburn,West Hampstead,815,816,Jubilee line to West Hampstead
Kilburn,West Hampstead,817,818,Jubilee line to West Hampstead
Kilburn,West Hampstead,819,820,Jubilee line to West Hampstead
Kilburn,West Hampstead,821,822,Jubilee line to West Hampstead
Kilburn,West Hampstead,824,825,Jubilee line to West Hampstead
