node1,node2,tstart,tend,line
Waterloo,Westminster,534,535,Jubilee line to Westminster
Waterloo,Westminster,539,540,Jubilee line to Westminster
Waterloo,Westminster,543,544,Jubilee line to Westminster
Waterloo,Westminster,547,548,Jubilee line to Westminster
Waterloo,Westminster,551,552,Jubilee line to Westminster
Waterloo,Westminster,555,556,Jubilee line to Westminster
Waterloo,Westminster,559,560,Jubilee line to Westminster
Waterloo,Westminster,603,604,Jubilee line to Westminster
Waterloo,Westminster,607,608,Jubilee line to Westminster
Waterloo,Westminster,611,612,Jubilee line to Westminster
Waterloo,Westminster,614,615,Jubilee line to Westminster
Waterloo,Westminster,618,619,Jubilee line to Westminster
Waterloo,Westminster,621,622,Jubilee line to Westminster
Waterloo,Westminster,624,625,Jubilee line to Westminster
Waterloo,Westminster,627,628,Jubilee line to Westminster
Waterloo,Westminster,630,631,Jubilee line to Westminster
Waterloo,Westminster,633,634,Jubilee line to Westminster
Waterloo,Westminster,636,637,Jubilee line to Westminster
Waterloo,Westminster,639,640,Jubilee line to Westminster
Waterloo,Westminster,642,643,Jubilee line to Westminster
Waterloo,Westminster,645,646,Jubilee line to Westminster
Waterloo,Westminster,648,649,Jubilee line to Westminster
Waterloo,Westminster,650,651,Jubilee line to Westminster
Waterloo,Westminster,653,654,Jubilee line to Westminster
Waterloo,Westminster,655,656,Jubilee line to Westminster
Waterloo,Westminster,658,659,Jubilee line to Westminster
Waterloo,Westminster,700,701,Jubilee line to Westminster
Waterloo,Westminster,703,704,Jubilee line to Westminster
Waterloo,Westminster,705,706,Jubilee line to Westminster
Waterloo,Westminster,707,708,Jubilee line to Westminster
Waterloo,Westminster,710,711,Jubilee line to Westminster
Waterloo,Westminster,712,713,Jubilee line to Westminster
Waterloo,Westminster,714,715,Jubilee line to Westminster
Waterloo,Westminster,716,717,Jubilee line to Westminster
Waterloo,Westminster,719,720,Jubilee line to Westminster
Waterloo,Westminster,721,722,Jubilee line to Westminster
Waterloo,Westminster,723,724,Jubilee line to Westminster
Waterloo,Westminster,725,726,Jubilee line to Westminster
Waterloo,Westminster,728,729,Jubilee line to Westminster
Waterloo,Westminster,730,731,Jubilee line to Westminster
Waterloo,Westminster,732,733,Jubilee line to Westminster
Waterloo,Westminster,734,735,Jubilee line to Westminster
Waterloo,Westminster,736,737,Jubilee line to Westminster
Waterloo,Westminster,738,739,Jubilee line to Westminster
