node1,node2,tstart,tend,line
Barbican,Moorgate,602,603,Metropolitan line to Moorgate
Barbican,Moorgate,609,610,Metropolitan line to Moorgate
Barbican,Moorgate,619,620,Metropolitan line to Moorgate
Barbican,Moorgate,624,625,Metropolitan line to Moorgate
Barbican,Moorgate,629,630,Metropolitan line to Moorgate
Barbican,Moorgate,638,639,Metropolitan line to Moorgate
Barbican,Moorgate,644,645,Metropolitan line to Moorgate
Barbican,Moorgate,649,650,Metropolitan line to Moorgate
Barbican,Moorgate,655,656,Metropolitan line to Moorgate
Barbican,Moorgate,700,701,Metropolitan line to Moorgate
Barbican,Moorgate,704,705,Metropolitan line to Moorgate
Barbican,Moorgate,708,709,Metropolitan line to Moorgate
Barbican,Moorgate,714,715,Metropolitan line to Moorgate
Barbican,Moorgate,719,720,Metropolitan line to Moorgate
Barbican,Moorgate,724,725,Metropolitan line to Moorgate
Barbican,Moorgate,729,730,Metropolitan line to Moorgate
Barbican,Moorgate,733,734,Metropolitan line to Moorgate
Barbican,Moorgate,738,739,Metropolitan line to Moorgate
Barbican,Moorgate,743,744,Metropolitan line to Moorgate
Barbican,Moorgate,748,749,Metropolitan line to Moorgate
Barbican,Moorgate,753,754,Metropolitan line to Moorgate
Barbican,Moorgate,757,758,Metropolitan line to Moorgate
Barbican,Moorgate,802,803,Metropolitan line to Moorgate
Barbican,Moorgate,804,805,Metropolitan line to Moorgate
Barbican,Moorgate,809,810,Metropolitan line to Moorgate
Barbican,Moorgate,814,815,Metropolitan line to Moorgate
Barbican,Moorgate,821,822,Metropolitan line to Moorgate
Barbican,Moorgate,826,827,Metropolitan line to Moorgate
Barbican,Moorgate,828,829,Metropolitan line to Moorgate
Barbican,Moorgate,834,835,Metropolitan line to Moorgate
Barbican,Moorgate,838,839,Metropolitan line to Moorgate
Barbican,Moorgate,842,843,Metropolitan line to Moorgate
Barbican,Moorgate,845,846,Metropolitan line to Moorgate
Barbican,Moorgate,849,850,Metropolitan line to Moorgate
Barbican,Moorgate,853,854,Metropolitan line to Moorgate
Barbican,Moorgate,858,859,Metropolitan line to Moorgate
Barbican,Moorgate,902,903,Metropolitan line to Moorgate
Barbican,Moorgate,906,907,Metropolitan line to Moorgate
Barbican,Moorgate,911,912,Metropolitan line to Moorgate
Barbican,Moorgate,916,917,Metropolitan line to Moorgate
Barbican,Moorgate,921,922,Metropolitan line to Moorgate
Barbican,Moorgate,924,925,Metropolitan line to Moorgate
Barbican,Moorgate,931,932,Metropolitan line to Moorgate
Barbican,Moorgate,935,936,Metropolitan line to Moorgate
Barbican,Moorgate,938,939,Metropolitan line to Moorgate
Barbican,Moorgate,942,943,Metropolitan line to Moorgate
Barbican,Moorgate,946,947,Metropolitan line to Moorgate
Barbican,Moorgate,952,953,Metropolitan line to Moorgate
Barbican,Moorgate,957,958,Metropolitan line to Moorgate
Barbican,Moorgate,1002,1003,Metropolitan line to Moorgate
Barbican,Moorgate,1006,1007,Metropolitan line to Moorgate
Barbican,Moorgate,1011,1012,Metropolitan line to Moorgate
Barbican,Moorgate,1014,1015,Metropolitan line to Moorgate
Barbican,Moorgate,1018,1019,Metropolitan line to Moorgate
Barbican,Moorgate,1023,1024,Metropolitan line to Moorgate
Barbican,Moorgate,1028,1029,Metropolitan line to Moorgate
Barbican,Moorgate,1033,1034,Metropolitan line to Moorgate
Barbican,Moorgate,1038,1039,Metropolitan line to Moorgate
Barbican,Moorgate,1043,1044,Metropolitan line to Moorgate
Barbican,Moorgate,1049,1050,Metropolitan line to Moorgate
Barbican,Moorgate,1053,1054,Metropolitan line to Moorgate
Barbican,Moorgate,1059,1060,Metropolitan line to Moorgate
Barbican,Moorgate,1104,1105,Metropolitan line to Moorgate
Barbican,Moorgate,1109,1110,Metropolitan line to Moorgate
Barbican,Moorgate,1114,1115,Metropolitan line to Moorgate
Barbican,Moorgate,1119,1120,Metropolitan line to Moorgate
Barbican,Moorgate,1124,1125,Metropolitan line to Moorgate
Barbican,Moorgate,1129,1130,Metropolitan line to Moorgate
Barbican,Moorgate,1134,1135,Metropolitan line to Moorgate
Barbican,Moorgate,1144,1145,Metropolitan line to Moorgate
Barbican,Moorgate,1149,1150,Metropolitan line to Moorgate
Barbican,Moorgate,1154,1155,Metropolitan line to Moorgate
Barbican,Moorgate,1159,1160,Metropolitan line to Moorgate
Barbican,Moorgate,1204,1205,Metropolitan line to Moorgate
Barbican,Moorgate,1209,1210,Metropolitan line to Moorgate
Barbican,Moorgate,1214,1215,Metropolitan line to Moorgate
Barbican,Moorgate,1219,1220,Metropolitan line to Moorgate
Barbican,Moorgate,1224,1225,Metropolitan line to Moorgate
Barbican,Moorgate,1229,1230,Metropolitan line to Moorgate
Barbican,Moorgate,1234,1235,Metropolitan line to Moorgate
Barbican,Moorgate,1239,1240,Metropolitan line to Moorgate
Barbican,Moorgate,1244,1245,Metropolitan line to Moorgate
Barbican,Moorgate,1249,1250,Metropolitan line to Moorgate
Barbican,Moorgate,1254,1255,Metropolitan line to Moorgate
Barbican,Moorgate,1259,1260,Metropolitan line to Moorgate
Barbican,Moorgate,1304,1305,Metropolitan line to Moorgate
Barbican,Moorgate,1309,1310,Metropolitan line to Moorgate
Barbican,Moorgate,1314,1315,Metropolitan line to Moorgate
Barbican,Moorgate,1319,1320,Metropolitan line to Moorgate
Barbican,Moorgate,1324,1325,Metropolitan line to Moorgate
Barbican,Moorgate,1329,1330,Metropolitan line to Moorgate
Barbican,Moorgate,1334,1335,Metropolitan line to Moorgate
Barbican,Moorgate,1339,1340,Metropolitan line to Moorgate
Barbican,Moorgate,1344,1345,Metropolitan line to Moorgate
Barbican,Moorgate,1349,1350,Metropolitan line to Moorgate
Barbican,Moorgate,1354,1355,Metropolitan line to Moorgate
Barbican,Moorgate,1359,1360,Metropolitan line to Moorgate
Barbican,Moorgate,1404,1405,Metropolitan line to Moorgate
Barbican,Moorgate,1409,1410,Metropolitan line to Moorgate
Barbican,Moorgate,1414,1415,Metropolitan line to Moorgate
Barbican,Moorgate,1419,1420,Metropolitan line to Moorgate
Barbican,Moorgate,1424,1425,Metropolitan line to Moorgate
Barbican,Moorgate,1429,1430,Metropolitan line to Moorgate
Barbican,Moorgate,1434,1435,Metropolitan line to Moorgate
Barbican,Moorgate,1439,1440,Metropolitan line to Moorgate
Barbican,Moorgate,1444,1445,Metropolitan line to Moorgate
Barbican,Moorgate,1449,1450,Metropolitan line to Moorgate
Barbican,Moorgate,1454,1455,Metropolitan line to Moorgate
Barbican,Moorgate,1459,1460,Metropolitan line to Moorgate
Barbican,Moorgate,1504,1505,Metropolitan line to Moorgate
Barbican,Moorgate,1509,1510,Metropolitan line to Moorgate
Barbican,Moorgate,1514,1515,Metropolitan line to Moorgate
Barbican,Moorgate,1519,1520,Metropolitan line to Moorgate
Barbican,Moorgate,1524,1525,Metropolitan line to Moorgate
Barbican,Moorgate,1529,1530,Metropolitan line to Moorgate
Barbican,Moorgate,1539,1540,Metropolitan line to Moorgate
Barbican,Moorgate,1544,1545,Metropolitan line to Moorgate
Barbican,Moorgate,1549,1550,Metropolitan line to Moorgate
Barbican,Moorgate,1553,1554,Metropolitan line to Moorgate
Barbican,Moorgate,1558,1559,Metropolitan line to Moorgate
Barbican,Moorgate,1602,1603,Metropolitan line to Moorgate
Barbican,Moorgate,1605,1606,Metropolitan line to Moorgate
Barbican,Moorgate,1609,1610,Metropolitan line to Moorgate
Barbican,Moorgate,1614,1615,Metropolitan line to Moorgate
Barbican,Moorgate,1618,1619,Metropolitan line to Moorgate
Barbican,Moorgate,1620,1621,Metropolitan line to Moorgate
Barbican,Moorgate,1625,1626,Metropolitan line to Moorgate
Barbican,Moorgate,1629,1630,Metropolitan line to Moorgate
Barbican,Moorgate,1633,1634,Metropolitan line to Moorgate
Barbican,Moorgate,1636,1637,Metropolitan line to Moorgate
Barbican,Moorgate,1640,1641,Metropolitan line to Moorgate
Barbican,Moorgate,1644,1645,Metropolitan line to Moorgate
Barbican,Moorgate,1649,1650,Metropolitan line to Moorgate
Barbican,Moorgate,1651,1652,Metropolitan line to Moorgate
Barbican,Moorgate,1658,1659,Metropolitan line to Moorgate
Barbican,Moorgate,1700,1701,Metropolitan line to Moorgate
Barbican,Moorgate,1704,1705,Metropolitan line to Moorgate
Barbican,Moorgate,1708,1709,Metropolitan line to Moorgate
Barbican,Moorgate,1712,1713,Metropolitan line to Moorgate
Barbican,Moorgate,1714,1715,Metropolitan line to Moorgate
Barbican,Moorgate,1719,1720,Metropolitan line to Moorgate
Barbican,Moorgate,1724,1725,Metropolitan line to Moorgate
Barbican,Moorgate,1728,1729,Metropolitan line to Moorgate
Barbican,Moorgate,1732,1733,Metropolitan line to Moorgate
Barbican,Moorgate,1736,1737,Metropolitan line to Moorgate
Barbican,Moorgate,1740,1741,Metropolitan line to Moorgate
Barbican,Moorgate,1743,1744,Metropolitan line to Moorgate
Barbican,Moorgate,1747,1748,Metropolitan line to Moorgate
Barbican,Moorgate,1752,1753,Metropolitan line to Moorgate
Barbican,Moorgate,1756,1757,Metropolitan line to Moorgate
Barbican,Moorgate,1801,1802,Metropolitan line to Moorgate
Barbican,Moorgate,1804,1805,Metropolitan line to Moorgate
Barbican,Moorgate,1808,1809,Metropolitan line to Moorgate
Barbican,Moorgate,1812,1813,Metropolitan line to Moorgate
Barbican,Moorgate,1814,1815,Metropolitan line to Moorgate
Barbican,Moorgate,1818,1819,Metropolitan line to Moorgate
Barbican,Moorgate,1823,1824,Metropolitan line to Moorgate
Barbican,Moorgate,1828,1829,Metropolitan line to Moorgate
Barbican,Moorgate,1833,1834,Metropolitan line to Moorgate
Barbican,Moorgate,1837,1838,Metropolitan line to Moorgate
Barbican,Moorgate,1842,1843,Metropolitan line to Moorgate
Barbican,Moorgate,1844,1845,Metropolitan line to Moorgate
Barbican,Moorgate,1848,1849,Metropolitan line to Moorgate
Barbican,Moorgate,1852,1853,Metropolitan line to Moorgate
Barbican,Moorgate,1857,1858,Metropolitan line to Moorgate
Barbican,Moorgate,1902,1903,Metropolitan line to Moorgate
Barbican,Moorgate,1904,1905,Metropolitan line to Moorgate
Barbican,Moorgate,1909,1910,Metropolitan line to Moorgate
Barbican,Moorgate,1913,1914,Metropolitan line to Moorgate
Barbican,Moorgate,1917,1918,Metropolitan line to Moorgate
Barbican,Moorgate,1920,1921,Metropolitan line to Moorgate
Barbican,Moorgate,1925,1926,Metropolitan line to Moorgate
Barbican,Moorgate,1929,1930,Metropolitan line to Moorgate
Barbican,Moorgate,1934,1935,Metropolitan line to Moorgate
Barbican,Moorgate,1939,1940,Metropolitan line to Moorgate
Barbican,Moorgate,1944,1945,Metropolitan line to Moorgate
Barbican,Moorgate,1948,1949,Metropolitan line to Moorgate
Barbican,Moorgate,1952,1953,Metropolitan line to Moorgate
Barbican,Moorgate,1955,1956,Metropolitan line to Moorgate
Barbican,Moorgate,2000,2001,Metropolitan line to Moorgate
Barbican,Moorgate,2004,2005,Metropolitan line to Moorgate
Barbican,Moorgate,2009,2010,Metropolitan line to Moorgate
Barbican,Moorgate,2014,2015,Metropolitan line to Moorgate
Barbican,Moorgate,2018,2019,Metropolitan line to Moorgate
Barbican,Moorgate,2025,2026,Metropolitan line to Moorgate
Barbican,Moorgate,2029,2030,Metropolitan line to Moorgate
Barbican,Moorgate,2034,2035,Metropolitan line to Moorgate
Barbican,Moorgate,2039,2040,Metropolitan line to Moorgate
Barbican,Moorgate,2044,2045,Metropolitan line to Moorgate
Barbican,Moorgate,2049,2050,Metropolitan line to Moorgate
Barbican,Moorgate,2054,2055,Metropolitan line to Moorgate
Barbican,Moorgate,2059,2060,Metropolitan line to Moorgate
Barbican,Moorgate,2104,2105,Metropolitan line to Moorgate
Barbican,Moorgate,2109,2110,Metropolitan line to Moorgate
