node1,node2,tstart,tend,line
Chesham,Chalfont & Latimer,516,525,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,556,565,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,630,639,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,704,713,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,735,744,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,807,816,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,840,849,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,909,918,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,934,943,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1000,1009,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1027,1036,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1057,1066,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1127,1136,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1157,1166,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1227,1236,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1257,1266,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1327,1336,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1357,1366,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1427,1436,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1457,1466,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1527,1536,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1557,1566,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1627,1636,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1654,1663,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1725,1734,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1753,1762,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1825,1834,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1859,1868,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1929,1938,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,1959,1968,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,2033,2042,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,2103,2112,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,2128,2137,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,2157,2166,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,2227,2236,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,2257,2266,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,2327,2336,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,2357,2366,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,2423,2432,Metropolitan line to Chalfont & Latimer
Chesham,Chalfont & Latimer,2452,2461,Metropolitan line to Chalfont & Latimer
