node1,node2,tstart,tend,line
Eastcote,Ruislip Manor,549,551,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,603,605,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,610,612,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,625,627,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,630,632,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,639,641,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,645,647,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,654,656,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,701,703,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,710,712,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,723,725,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,728,730,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,733,735,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,741,743,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,749,751,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,754,756,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,800,802,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,808,810,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,814,816,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,822,824,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,827,829,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,832,834,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,838,840,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,849,851,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,851,853,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,859,861,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,905,907,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,910,912,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,919,921,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,926,928,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,934,936,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,938,940,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,944,946,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,952,954,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,1000,1002,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,1005,1007,Metropolitan line to Ruislip Manor
Eastcote,Ruislip Manor,1015,1017,Metropolitan line to Ruislip Manor
