node1,node2,tstart,tend,line
Euston Square,Great Portland Street,629,630,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,639,640,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,644,645,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,649,650,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,659,660,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,704,705,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,709,710,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,714,715,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,719,720,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,724,725,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,729,730,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,733,734,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,739,740,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,743,744,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,748,749,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,753,754,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,758,759,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,803,804,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,808,809,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,812,813,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,818,819,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,822,823,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,827,828,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,832,833,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,835,836,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,842,843,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,847,848,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,851,852,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,856,857,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,858,859,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,903,904,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,907,908,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,911,912,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,916,917,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,918,919,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,923,924,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,928,929,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,933,934,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,936,937,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,941,942,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,945,946,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,952,953,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,955,956,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,959,960,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1004,1005,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1004,1005,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1010,1011,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1014,1015,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1019,1020,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1024,1025,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1026,1027,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1031,1032,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1035,1036,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1040,1041,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1045,1046,Metropolitan line to Great Portland Street
Euston Square,Great Portland Street,1049,1050,Metropolitan line to Great Portland Street
