node1,node2,tstart,tend,line
Farringdon,King's Cross St. Pancras,623,626,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,634,637,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,639,642,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,644,647,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,653,656,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,658,661,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,703,706,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,708,711,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,713,716,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,718,721,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,723,726,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,727,730,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,733,736,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,737,740,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,742,745,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,747,750,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,752,755,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,757,760,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,802,805,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,806,809,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,812,815,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,816,819,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,821,824,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,826,829,Metropolitan line to King's Cross St. Pancras
Farringdon,King's Cross St. Pancras,829,832,Metropolitan line to King's Cross St. Pancras
