node1,node2,tstart,tend,line
Great Portland Street,Euston Square,553,554,Metropolitan line to Euston Square
Great Portland Street,Euston Square,600,601,Metropolitan line to Euston Square
Great Portland Street,Euston Square,610,611,Metropolitan line to Euston Square
Great Portland Street,Euston Square,615,616,Metropolitan line to Euston Square
Great Portland Street,Euston Square,620,621,Metropolitan line to Euston Square
Great Portland Street,Euston Square,629,630,Metropolitan line to Euston Square
Great Portland Street,Euston Square,635,636,Metropolitan line to Euston Square
Great Portland Street,Euston Square,640,641,Metropolitan line to Euston Square
Great Portland Street,Euston Square,646,647,Metropolitan line to Euston Square
Great Portland Street,Euston Square,651,652,Metropolitan line to Euston Square
Great Portland Street,Euston Square,655,656,Metropolitan line to Euston Square
Great Portland Street,Euston Square,659,660,Metropolitan line to Euston Square
Great Portland Street,Euston Square,705,706,Metropolitan line to Euston Square
Great Portland Street,Euston Square,710,711,Metropolitan line to Euston Square
Great Portland Street,Euston Square,714,715,Metropolitan line to Euston Square
Great Portland Street,Euston Square,719,720,Metropolitan line to Euston Square
Great Portland Street,Euston Square,724,725,Metropolitan line to Euston Square
Great Portland Street,Euston Square,729,730,Metropolitan line to Euston Square
Great Portland Street,Euston Square,733,734,Metropolitan line to Euston Square
Great Portland Street,Euston Square,738,739,Metropolitan line to Euston Square
Great Portland Street,Euston Square,743,744,Metropolitan line to Euston Square
Great Portland Street,Euston Square,748,749,Metropolitan line to Euston Square
Great Portland Street,Euston Square,752,753,Metropolitan line to Euston Square
Great Portland Street,Euston Square,755,756,Metropolitan line to Euston Square
Great Portland Street,Euston Square,759,760,Metropolitan line to Euston Square
Great Portland Street,Euston Square,804,805,Metropolitan line to Euston Square
Great Portland Street,Euston Square,811,812,Metropolitan line to Euston Square
Great Portland Street,Euston Square,816,817,Metropolitan line to Euston Square
Great Portland Street,Euston Square,818,819,Metropolitan line to Euston Square
Great Portland Street,Euston Square,823,824,Metropolitan line to Euston Square
Great Portland Street,Euston Square,828,829,Metropolitan line to Euston Square
Great Portland Street,Euston Square,832,833,Metropolitan line to Euston Square
Great Portland Street,Euston Square,834,835,Metropolitan line to Euston Square
Great Portland Street,Euston Square,838,839,Metropolitan line to Euston Square
Great Portland Street,Euston Square,843,844,Metropolitan line to Euston Square
Great Portland Street,Euston Square,847,848,Metropolitan line to Euston Square
Great Portland Street,Euston Square,852,853,Metropolitan line to Euston Square
Great Portland Street,Euston Square,856,857,Metropolitan line to Euston Square
Great Portland Street,Euston Square,901,902,Metropolitan line to Euston Square
Great Portland Street,Euston Square,905,906,Metropolitan line to Euston Square
Great Portland Street,Euston Square,911,912,Metropolitan line to Euston Square
Great Portland Street,Euston Square,914,915,Metropolitan line to Euston Square
Great Portland Street,Euston Square,921,922,Metropolitan line to Euston Square
Great Portland Street,Euston Square,925,926,Metropolitan line to Euston Square
Great Portland Street,Euston Square,927,928,Metropolitan line to Euston Square
Great Portland Street,Euston Square,932,933,Metropolitan line to Euston Square
Great Portland Street,Euston Square,936,937,Metropolitan line to Euston Square
Great Portland Street,Euston Square,942,943,Metropolitan line to Euston Square
Great Portland Street,Euston Square,947,948,Metropolitan line to Euston Square
Great Portland Street,Euston Square,952,953,Metropolitan line to Euston Square
Great Portland Street,Euston Square,956,957,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1001,1002,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1004,1005,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1009,1010,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1014,1015,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1019,1020,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1024,1025,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1029,1030,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1034,1035,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1040,1041,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1044,1045,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1050,1051,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1055,1056,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1100,1101,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1105,1106,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1110,1111,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1115,1116,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1120,1121,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1125,1126,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1135,1136,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1140,1141,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1145,1146,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1150,1151,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1155,1156,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1200,1201,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1205,1206,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1210,1211,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1215,1216,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1220,1221,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1225,1226,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1230,1231,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1235,1236,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1240,1241,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1245,1246,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1250,1251,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1255,1256,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1300,1301,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1305,1306,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1310,1311,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1315,1316,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1320,1321,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1325,1326,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1330,1331,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1335,1336,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1340,1341,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1345,1346,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1350,1351,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1355,1356,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1400,1401,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1405,1406,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1410,1411,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1415,1416,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1420,1421,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1425,1426,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1430,1431,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1435,1436,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1440,1441,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1445,1446,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1450,1451,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1455,1456,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1500,1501,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1505,1506,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1510,1511,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1515,1516,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1520,1521,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1530,1531,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1535,1536,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1540,1541,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1544,1545,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1549,1550,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1553,1554,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1555,1556,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1600,1601,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1604,1605,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1609,1610,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1611,1612,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1615,1616,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1619,1620,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1624,1625,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1626,1627,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1630,1631,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1635,1636,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1639,1640,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1641,1642,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1648,1649,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1650,1651,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1654,1655,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1658,1659,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1702,1703,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1704,1705,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1709,1710,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1714,1715,Metropolitan line to Euston Square
Great Portland Street,Euston Square,1718,1719,Metropolitan line to Euston Square
