node1,node2,tstart,tend,line
Ickenham,Ruislip,516,518,Metropolitan line to Ruislip
Ickenham,Ruislip,530,532,Metropolitan line to Ruislip
Ickenham,Ruislip,545,547,Metropolitan line to Ruislip
Ickenham,Ruislip,551,553,Metropolitan line to Ruislip
Ickenham,Ruislip,557,559,Metropolitan line to Ruislip
Ickenham,Ruislip,605,607,Metropolitan line to Ruislip
Ickenham,Ruislip,613,615,Metropolitan line to Ruislip
Ickenham,Ruislip,619,621,Metropolitan line to Ruislip
Ickenham,Ruislip,623,625,Metropolitan line to Ruislip
Ickenham,Ruislip,633,635,Metropolitan line to Ruislip
Ickenham,Ruislip,638,640,Metropolitan line to Ruislip
Ickenham,Ruislip,645,647,Metropolitan line to Ruislip
Ickenham,Ruislip,651,653,Metropolitan line to Ruislip
Ickenham,Ruislip,656,658,Metropolitan line to Ruislip
Ickenham,Ruislip,706,708,Metropolitan line to Ruislip
Ickenham,Ruislip,710,712,Metropolitan line to Ruislip
Ickenham,Ruislip,716,718,Metropolitan line to Ruislip
Ickenham,Ruislip,719,721,Metropolitan line to Ruislip
Ickenham,Ruislip,726,728,Metropolitan line to Ruislip
Ickenham,Ruislip,734,736,Metropolitan line to Ruislip
Ickenham,Ruislip,740,742,Metropolitan line to Ruislip
Ickenham,Ruislip,746,748,Metropolitan line to Ruislip
Ickenham,Ruislip,754,756,Metropolitan line to Ruislip
Ickenham,Ruislip,759,761,Metropolitan line to Ruislip
Ickenham,Ruislip,809,811,Metropolitan line to Ruislip
Ickenham,Ruislip,815,817,Metropolitan line to Ruislip
Ickenham,Ruislip,819,821,Metropolitan line to Ruislip
Ickenham,Ruislip,826,828,Metropolitan line to Ruislip
Ickenham,Ruislip,831,833,Metropolitan line to Ruislip
Ickenham,Ruislip,840,842,Metropolitan line to Ruislip
Ickenham,Ruislip,846,848,Metropolitan line to Ruislip
Ickenham,Ruislip,852,854,Metropolitan line to Ruislip
Ickenham,Ruislip,859,861,Metropolitan line to Ruislip
Ickenham,Ruislip,904,906,Metropolitan line to Ruislip
Ickenham,Ruislip,914,916,Metropolitan line to Ruislip
Ickenham,Ruislip,919,921,Metropolitan line to Ruislip
Ickenham,Ruislip,926,928,Metropolitan line to Ruislip
Ickenham,Ruislip,932,934,Metropolitan line to Ruislip
Ickenham,Ruislip,936,938,Metropolitan line to Ruislip
Ickenham,Ruislip,944,946,Metropolitan line to Ruislip
Ickenham,Ruislip,951,953,Metropolitan line to Ruislip
Ickenham,Ruislip,959,961,Metropolitan line to Ruislip
Ickenham,Ruislip,1006,1008,Metropolitan line to Ruislip
Ickenham,Ruislip,1009,1011,Metropolitan line to Ruislip
Ickenham,Ruislip,1018,1020,Metropolitan line to Ruislip
Ickenham,Ruislip,1027,1029,Metropolitan line to Ruislip
Ickenham,Ruislip,1035,1037,Metropolitan line to Ruislip
Ickenham,Ruislip,1043,1045,Metropolitan line to Ruislip
Ickenham,Ruislip,1050,1052,Metropolitan line to Ruislip
Ickenham,Ruislip,1058,1060,Metropolitan line to Ruislip
Ickenham,Ruislip,1105,1107,Metropolitan line to Ruislip
Ickenham,Ruislip,1112,1114,Metropolitan line to Ruislip
Ickenham,Ruislip,1120,1122,Metropolitan line to Ruislip
Ickenham,Ruislip,1127,1129,Metropolitan line to Ruislip
Ickenham,Ruislip,1135,1137,Metropolitan line to Ruislip
Ickenham,Ruislip,1143,1145,Metropolitan line to Ruislip
Ickenham,Ruislip,1143,1145,Metropolitan line to Ruislip
Ickenham,Ruislip,1150,1152,Metropolitan line to Ruislip
Ickenham,Ruislip,1157,1159,Metropolitan line to Ruislip
Ickenham,Ruislip,1205,1207,Metropolitan line to Ruislip
Ickenham,Ruislip,1212,1214,Metropolitan line to Ruislip
