node1,node2,tstart,tend,line
Liverpool Street,Moorgate,618,619,Metropolitan line to Moorgate
Liverpool Street,Moorgate,629,630,Metropolitan line to Moorgate
Liverpool Street,Moorgate,634,635,Metropolitan line to Moorgate
Liverpool Street,Moorgate,639,640,Metropolitan line to Moorgate
Liverpool Street,Moorgate,648,649,Metropolitan line to Moorgate
Liverpool Street,Moorgate,653,654,Metropolitan line to Moorgate
Liverpool Street,Moorgate,658,659,Metropolitan line to Moorgate
Liverpool Street,Moorgate,703,704,Metropolitan line to Moorgate
Liverpool Street,Moorgate,708,709,Metropolitan line to Moorgate
Liverpool Street,Moorgate,713,714,Metropolitan line to Moorgate
Liverpool Street,Moorgate,718,719,Metropolitan line to Moorgate
Liverpool Street,Moorgate,722,723,Metropolitan line to Moorgate
Liverpool Street,Moorgate,728,729,Metropolitan line to Moorgate
Liverpool Street,Moorgate,732,733,Metropolitan line to Moorgate
Liverpool Street,Moorgate,737,738,Metropolitan line to Moorgate
Liverpool Street,Moorgate,742,743,Metropolitan line to Moorgate
Liverpool Street,Moorgate,747,748,Metropolitan line to Moorgate
Liverpool Street,Moorgate,751,752,Metropolitan line to Moorgate
Liverpool Street,Moorgate,756,757,Metropolitan line to Moorgate
Liverpool Street,Moorgate,800,801,Metropolitan line to Moorgate
Liverpool Street,Moorgate,806,807,Metropolitan line to Moorgate
Liverpool Street,Moorgate,811,812,Metropolitan line to Moorgate
Liverpool Street,Moorgate,816,817,Metropolitan line to Moorgate
Liverpool Street,Moorgate,821,822,Metropolitan line to Moorgate
Liverpool Street,Moorgate,823,824,Metropolitan line to Moorgate
Liverpool Street,Moorgate,830,831,Metropolitan line to Moorgate
Liverpool Street,Moorgate,835,836,Metropolitan line to Moorgate
Liverpool Street,Moorgate,840,841,Metropolitan line to Moorgate
Liverpool Street,Moorgate,844,845,Metropolitan line to Moorgate
Liverpool Street,Moorgate,847,848,Metropolitan line to Moorgate
Liverpool Street,Moorgate,851,852,Metropolitan line to Moorgate
Liverpool Street,Moorgate,856,857,Metropolitan line to Moorgate
Liverpool Street,Moorgate,900,901,Metropolitan line to Moorgate
Liverpool Street,Moorgate,904,905,Metropolitan line to Moorgate
Liverpool Street,Moorgate,907,908,Metropolitan line to Moorgate
Liverpool Street,Moorgate,912,913,Metropolitan line to Moorgate
Liverpool Street,Moorgate,917,918,Metropolitan line to Moorgate
Liverpool Street,Moorgate,922,923,Metropolitan line to Moorgate
Liverpool Street,Moorgate,925,926,Metropolitan line to Moorgate
Liverpool Street,Moorgate,929,930,Metropolitan line to Moorgate
Liverpool Street,Moorgate,933,934,Metropolitan line to Moorgate
Liverpool Street,Moorgate,941,942,Metropolitan line to Moorgate
Liverpool Street,Moorgate,944,945,Metropolitan line to Moorgate
Liverpool Street,Moorgate,948,949,Metropolitan line to Moorgate
Liverpool Street,Moorgate,953,954,Metropolitan line to Moorgate
Liverpool Street,Moorgate,953,954,Metropolitan line to Moorgate
Liverpool Street,Moorgate,959,960,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1003,1004,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1008,1009,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1013,1014,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1015,1016,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1020,1021,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1024,1025,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1029,1030,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1034,1035,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1038,1039,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1043,1044,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1048,1049,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1053,1054,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1058,1059,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1103,1104,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1108,1109,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1113,1114,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1118,1119,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1123,1124,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1128,1129,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1133,1134,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1138,1139,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1143,1144,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1148,1149,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1158,1159,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1203,1204,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1208,1209,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1213,1214,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1218,1219,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1223,1224,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1228,1229,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1233,1234,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1238,1239,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1243,1244,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1248,1249,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1253,1254,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1258,1259,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1303,1304,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1308,1309,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1313,1314,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1318,1319,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1323,1324,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1328,1329,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1333,1334,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1338,1339,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1343,1344,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1348,1349,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1353,1354,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1358,1359,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1403,1404,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1408,1409,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1413,1414,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1418,1419,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1423,1424,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1428,1429,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1433,1434,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1438,1439,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1443,1444,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1448,1449,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1453,1454,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1458,1459,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1503,1504,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1508,1509,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1513,1514,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1518,1519,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1523,1524,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1528,1529,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1533,1534,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1538,1539,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1543,1544,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1554,1555,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1558,1559,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1603,1604,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1608,1609,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1610,1611,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1614,1615,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1618,1619,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1623,1624,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1626,1627,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1630,1631,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1634,1635,Metropolitan line to Moorgate
Liverpool Street,Moorgate,1638,1639,Metropolitan line to Moorgate
