node1,node2,tstart,tend,line
Liverpool Street,Aldgate,606,608,Metropolitan line to Aldgate
Liverpool Street,Aldgate,612,614,Metropolitan line to Aldgate
Liverpool Street,Aldgate,622,624,Metropolitan line to Aldgate
Liverpool Street,Aldgate,628,630,Metropolitan line to Aldgate
Liverpool Street,Aldgate,632,634,Metropolitan line to Aldgate
Liverpool Street,Aldgate,642,644,Metropolitan line to Aldgate
Liverpool Street,Aldgate,647,649,Metropolitan line to Aldgate
Liverpool Street,Aldgate,652,654,Metropolitan line to Aldgate
Liverpool Street,Aldgate,658,660,Metropolitan line to Aldgate
Liverpool Street,Aldgate,704,706,Metropolitan line to Aldgate
Liverpool Street,Aldgate,708,710,Metropolitan line to Aldgate
Liverpool Street,Aldgate,712,714,Metropolitan line to Aldgate
Liverpool Street,Aldgate,718,720,Metropolitan line to Aldgate
Liverpool Street,Aldgate,723,725,Metropolitan line to Aldgate
Liverpool Street,Aldgate,728,730,Metropolitan line to Aldgate
Liverpool Street,Aldgate,733,735,Metropolitan line to Aldgate
Liverpool Street,Aldgate,737,739,Metropolitan line to Aldgate
Liverpool Street,Aldgate,742,744,Metropolitan line to Aldgate
Liverpool Street,Aldgate,747,749,Metropolitan line to Aldgate
Liverpool Street,Aldgate,752,754,Metropolitan line to Aldgate
Liverpool Street,Aldgate,757,759,Metropolitan line to Aldgate
Liverpool Street,Aldgate,801,803,Metropolitan line to Aldgate
Liverpool Street,Aldgate,806,808,Metropolitan line to Aldgate
Liverpool Street,Aldgate,809,811,Metropolitan line to Aldgate
Liverpool Street,Aldgate,814,816,Metropolitan line to Aldgate
Liverpool Street,Aldgate,819,821,Metropolitan line to Aldgate
Liverpool Street,Aldgate,826,828,Metropolitan line to Aldgate
Liverpool Street,Aldgate,830,832,Metropolitan line to Aldgate
Liverpool Street,Aldgate,833,835,Metropolitan line to Aldgate
Liverpool Street,Aldgate,838,840,Metropolitan line to Aldgate
Liverpool Street,Aldgate,843,845,Metropolitan line to Aldgate
Liverpool Street,Aldgate,847,849,Metropolitan line to Aldgate
Liverpool Street,Aldgate,849,851,Metropolitan line to Aldgate
Liverpool Street,Aldgate,853,855,Metropolitan line to Aldgate
Liverpool Street,Aldgate,858,860,Metropolitan line to Aldgate
Liverpool Street,Aldgate,902,904,Metropolitan line to Aldgate
Liverpool Street,Aldgate,907,909,Metropolitan line to Aldgate
Liverpool Street,Aldgate,911,913,Metropolitan line to Aldgate
Liverpool Street,Aldgate,916,918,Metropolitan line to Aldgate
Liverpool Street,Aldgate,920,922,Metropolitan line to Aldgate
Liverpool Street,Aldgate,926,928,Metropolitan line to Aldgate
Liverpool Street,Aldgate,929,931,Metropolitan line to Aldgate
Liverpool Street,Aldgate,936,938,Metropolitan line to Aldgate
Liverpool Street,Aldgate,940,942,Metropolitan line to Aldgate
Liverpool Street,Aldgate,942,944,Metropolitan line to Aldgate
Liverpool Street,Aldgate,947,949,Metropolitan line to Aldgate
Liverpool Street,Aldgate,951,953,Metropolitan line to Aldgate
Liverpool Street,Aldgate,956,958,Metropolitan line to Aldgate
Liverpool Street,Aldgate,1002,1004,Metropolitan line to Aldgate
Liverpool Street,Aldgate,1007,1009,Metropolitan line to Aldgate
Liverpool Street,Aldgate,1011,1013,Metropolitan line to Aldgate
Liverpool Street,Aldgate,1015,1017,Metropolitan line to Aldgate
Liverpool Street,Aldgate,1018,1020,Metropolitan line to Aldgate
