node1,node2,tstart,tend,line
Moor Park,Croxley,555,559,Metropolitan line to Croxley
Moor Park,Croxley,559,563,Metropolitan line to Croxley
Moor Park,Croxley,615,619,Metropolitan line to Croxley
Moor Park,Croxley,628,632,Metropolitan line to Croxley
Moor Park,Croxley,640,644,Metropolitan line to Croxley
Moor Park,Croxley,647,651,Metropolitan line to Croxley
Moor Park,Croxley,654,658,Metropolitan line to Croxley
Moor Park,Croxley,701,705,Metropolitan line to Croxley
Moor Park,Croxley,710,714,Metropolitan line to Croxley
Moor Park,Croxley,720,724,Metropolitan line to Croxley
Moor Park,Croxley,727,731,Metropolitan line to Croxley
Moor Park,Croxley,733,737,Metropolitan line to Croxley
Moor Park,Croxley,743,747,Metropolitan line to Croxley
Moor Park,Croxley,751,755,Metropolitan line to Croxley
Moor Park,Croxley,759,763,Metropolitan line to Croxley
Moor Park,Croxley,805,809,Metropolitan line to Croxley
Moor Park,Croxley,814,818,Metropolitan line to Croxley
Moor Park,Croxley,823,827,Metropolitan line to Croxley
Moor Park,Croxley,831,835,Metropolitan line to Croxley
Moor Park,Croxley,840,844,Metropolitan line to Croxley
Moor Park,Croxley,851,855,Metropolitan line to Croxley
Moor Park,Croxley,856,860,Metropolitan line to Croxley
Moor Park,Croxley,906,910,Metropolitan line to Croxley
Moor Park,Croxley,915,919,Metropolitan line to Croxley
Moor Park,Croxley,920,924,Metropolitan line to Croxley
Moor Park,Croxley,931,935,Metropolitan line to Croxley
Moor Park,Croxley,944,948,Metropolitan line to Croxley
Moor Park,Croxley,1003,1007,Metropolitan line to Croxley
Moor Park,Croxley,1015,1019,Metropolitan line to Croxley
Moor Park,Croxley,1031,1035,Metropolitan line to Croxley
Moor Park,Croxley,1047,1051,Metropolitan line to Croxley
Moor Park,Croxley,1100,1104,Metropolitan line to Croxley
Moor Park,Croxley,1115,1119,Metropolitan line to Croxley
Moor Park,Croxley,1130,1134,Metropolitan line to Croxley
Moor Park,Croxley,1145,1149,Metropolitan line to Croxley
Moor Park,Croxley,1200,1204,Metropolitan line to Croxley
Moor Park,Croxley,1215,1219,Metropolitan line to Croxley
Moor Park,Croxley,1230,1234,Metropolitan line to Croxley
Moor Park,Croxley,1245,1249,Metropolitan line to Croxley
Moor Park,Croxley,1300,1304,Metropolitan line to Croxley
Moor Park,Croxley,1315,1319,Metropolitan line to Croxley
Moor Park,Croxley,1330,1334,Metropolitan line to Croxley
Moor Park,Croxley,1345,1349,Metropolitan line to Croxley
Moor Park,Croxley,1400,1404,Metropolitan line to Croxley
Moor Park,Croxley,1415,1419,Metropolitan line to Croxley
