node1,node2,tstart,tend,line
Moor Park,Northwood,541,543,Metropolitan line to Northwood
Moor Park,Northwood,549,551,Metropolitan line to Northwood
Moor Park,Northwood,603,605,Metropolitan line to Northwood
Moor Park,Northwood,616,618,Metropolitan line to Northwood
Moor Park,Northwood,623,625,Metropolitan line to Northwood
Moor Park,Northwood,634,636,Metropolitan line to Northwood
Moor Park,Northwood,651,653,Metropolitan line to Northwood
Moor Park,Northwood,656,658,Metropolitan line to Northwood
Moor Park,Northwood,707,709,Metropolitan line to Northwood
Moor Park,Northwood,724,726,Metropolitan line to Northwood
Moor Park,Northwood,729,731,Metropolitan line to Northwood
Moor Park,Northwood,740,742,Metropolitan line to Northwood
Moor Park,Northwood,755,757,Metropolitan line to Northwood
Moor Park,Northwood,802,804,Metropolitan line to Northwood
Moor Park,Northwood,812,814,Metropolitan line to Northwood
Moor Park,Northwood,827,829,Metropolitan line to Northwood
Moor Park,Northwood,833,835,Metropolitan line to Northwood
Moor Park,Northwood,843,845,Metropolitan line to Northwood
Moor Park,Northwood,900,902,Metropolitan line to Northwood
Moor Park,Northwood,906,908,Metropolitan line to Northwood
Moor Park,Northwood,916,918,Metropolitan line to Northwood
Moor Park,Northwood,929,931,Metropolitan line to Northwood
Moor Park,Northwood,943,945,Metropolitan line to Northwood
Moor Park,Northwood,956,958,Metropolitan line to Northwood
Moor Park,Northwood,1005,1007,Metropolitan line to Northwood
Moor Park,Northwood,1022,1024,Metropolitan line to Northwood
Moor Park,Northwood,1033,1035,Metropolitan line to Northwood
Moor Park,Northwood,1048,1050,Metropolitan line to Northwood
Moor Park,Northwood,1103,1105,Metropolitan line to Northwood
Moor Park,Northwood,1118,1120,Metropolitan line to Northwood
Moor Park,Northwood,1133,1135,Metropolitan line to Northwood
Moor Park,Northwood,1148,1150,Metropolitan line to Northwood
Moor Park,Northwood,1203,1205,Metropolitan line to Northwood
Moor Park,Northwood,1218,1220,Metropolitan line to Northwood
Moor Park,Northwood,1233,1235,Metropolitan line to Northwood
Moor Park,Northwood,1248,1250,Metropolitan line to Northwood
Moor Park,Northwood,1303,1305,Metropolitan line to Northwood
Moor Park,Northwood,1318,1320,Metropolitan line to Northwood
Moor Park,Northwood,1333,1335,Metropolitan line to Northwood
Moor Park,Northwood,1348,1350,Metropolitan line to Northwood
Moor Park,Northwood,1403,1405,Metropolitan line to Northwood
Moor Park,Northwood,1418,1420,Metropolitan line to Northwood
Moor Park,Northwood,1433,1435,Metropolitan line to Northwood
Moor Park,Northwood,1448,1450,Metropolitan line to Northwood
Moor Park,Northwood,1503,1505,Metropolitan line to Northwood
Moor Park,Northwood,1518,1520,Metropolitan line to Northwood
Moor Park,Northwood,1533,1535,Metropolitan line to Northwood
Moor Park,Northwood,1548,1550,Metropolitan line to Northwood
Moor Park,Northwood,1603,1605,Metropolitan line to Northwood
Moor Park,Northwood,1618,1620,Metropolitan line to Northwood
Moor Park,Northwood,1633,1635,Metropolitan line to Northwood
Moor Park,Northwood,1648,1650,Metropolitan line to Northwood
Moor Park,Northwood,1703,1705,Metropolitan line to Northwood
Moor Park,Northwood,1717,1719,Metropolitan line to Northwood
Moor Park,Northwood,1729,1731,Metropolitan line to Northwood
Moor Park,Northwood,1748,1750,Metropolitan line to Northwood
Moor Park,Northwood,1801,1803,Metropolitan line to Northwood
Moor Park,Northwood,1814,1816,Metropolitan line to Northwood
Moor Park,Northwood,1822,1824,Metropolitan line to Northwood
Moor Park,Northwood,1837,1839,Metropolitan line to Northwood
Moor Park,Northwood,1846,1848,Metropolitan line to Northwood
Moor Park,Northwood,1854,1856,Metropolitan line to Northwood
Moor Park,Northwood,1904,1906,Metropolitan line to Northwood
Moor Park,Northwood,1912,1914,Metropolitan line to Northwood
Moor Park,Northwood,1920,1922,Metropolitan line to Northwood
Moor Park,Northwood,1932,1934,Metropolitan line to Northwood
Moor Park,Northwood,1945,1947,Metropolitan line to Northwood
Moor Park,Northwood,1950,1952,Metropolitan line to Northwood
Moor Park,Northwood,2003,2005,Metropolitan line to Northwood
Moor Park,Northwood,2020,2022,Metropolitan line to Northwood
Moor Park,Northwood,2033,2035,Metropolitan line to Northwood
Moor Park,Northwood,2054,2056,Metropolitan line to Northwood
Moor Park,Northwood,2103,2105,Metropolitan line to Northwood
Moor Park,Northwood,2110,2112,Metropolitan line to Northwood
Moor Park,Northwood,2125,2127,Metropolitan line to Northwood
Moor Park,Northwood,2134,2136,Metropolitan line to Northwood
Moor Park,Northwood,2149,2151,Metropolitan line to Northwood
Moor Park,Northwood,2203,2205,Metropolitan line to Northwood
Moor Park,Northwood,2218,2220,Metropolitan line to Northwood
Moor Park,Northwood,2233,2235,Metropolitan line to Northwood
Moor Park,Northwood,2248,2250,Metropolitan line to Northwood
Moor Park,Northwood,2303,2305,Metropolitan line to Northwood
Moor Park,Northwood,2318,2320,Metropolitan line to Northwood
Moor Park,Northwood,2333,2335,Metropolitan line to Northwood
Moor Park,Northwood,2348,2350,Metropolitan line to Northwood
Moor Park,Northwood,2403,2405,Metropolitan line to Northwood
Moor Park,Northwood,2418,2420,Metropolitan line to Northwood
Moor Park,Northwood,2438,2440,Metropolitan line to Northwood
