node1,node2,tstart,tend,line
Northwick Park,Harrow-on-the-Hill,537,540,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,545,548,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,551,554,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,559,562,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,606,609,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,610,613,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,614,617,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,620,623,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,626,629,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,631,634,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,636,639,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,639,642,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,642,645,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,645,648,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,648,651,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,652,655,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,658,661,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,701,704,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,704,707,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,708,711,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,711,714,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,714,717,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,717,720,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,720,723,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,723,726,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,729,732,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,733,736,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,736,739,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,739,742,Metropolitan line to Harrow-on-the-Hill
Northwick Park,Harrow-on-the-Hill,742,745,Metropolitan line to Harrow-on-the-Hill
