node1,node2,tstart,tend,line
Northwood Hills,Northwood,550,552,Metropolitan line to Northwood
Northwood Hills,Northwood,554,556,Metropolitan line to Northwood
Northwood Hills,Northwood,558,560,Metropolitan line to Northwood
Northwood Hills,Northwood,604,606,Metropolitan line to Northwood
Northwood Hills,Northwood,610,612,Metropolitan line to Northwood
Northwood Hills,Northwood,619,621,Metropolitan line to Northwood
Northwood Hills,Northwood,623,625,Metropolitan line to Northwood
Northwood Hills,Northwood,626,628,Metropolitan line to Northwood
Northwood Hills,Northwood,635,637,Metropolitan line to Northwood
Northwood Hills,Northwood,642,644,Metropolitan line to Northwood
Northwood Hills,Northwood,649,651,Metropolitan line to Northwood
Northwood Hills,Northwood,653,655,Metropolitan line to Northwood
Northwood Hills,Northwood,656,658,Metropolitan line to Northwood
Northwood Hills,Northwood,700,702,Metropolitan line to Northwood
Northwood Hills,Northwood,705,707,Metropolitan line to Northwood
Northwood Hills,Northwood,710,712,Metropolitan line to Northwood
Northwood Hills,Northwood,715,717,Metropolitan line to Northwood
Northwood Hills,Northwood,722,724,Metropolitan line to Northwood
Northwood Hills,Northwood,725,727,Metropolitan line to Northwood
Northwood Hills,Northwood,728,730,Metropolitan line to Northwood
Northwood Hills,Northwood,733,735,Metropolitan line to Northwood
Northwood Hills,Northwood,738,740,Metropolitan line to Northwood
Northwood Hills,Northwood,746,748,Metropolitan line to Northwood
Northwood Hills,Northwood,749,751,Metropolitan line to Northwood
Northwood Hills,Northwood,754,756,Metropolitan line to Northwood
Northwood Hills,Northwood,757,759,Metropolitan line to Northwood
Northwood Hills,Northwood,800,802,Metropolitan line to Northwood
Northwood Hills,Northwood,805,807,Metropolitan line to Northwood
Northwood Hills,Northwood,809,811,Metropolitan line to Northwood
Northwood Hills,Northwood,813,815,Metropolitan line to Northwood
Northwood Hills,Northwood,818,820,Metropolitan line to Northwood
Northwood Hills,Northwood,826,828,Metropolitan line to Northwood
Northwood Hills,Northwood,830,832,Metropolitan line to Northwood
Northwood Hills,Northwood,835,837,Metropolitan line to Northwood
Northwood Hills,Northwood,842,844,Metropolitan line to Northwood
Northwood Hills,Northwood,846,848,Metropolitan line to Northwood
Northwood Hills,Northwood,851,853,Metropolitan line to Northwood
Northwood Hills,Northwood,858,860,Metropolitan line to Northwood
Northwood Hills,Northwood,901,903,Metropolitan line to Northwood
Northwood Hills,Northwood,904,906,Metropolitan line to Northwood
Northwood Hills,Northwood,910,912,Metropolitan line to Northwood
Northwood Hills,Northwood,915,917,Metropolitan line to Northwood
Northwood Hills,Northwood,922,924,Metropolitan line to Northwood
Northwood Hills,Northwood,926,928,Metropolitan line to Northwood
Northwood Hills,Northwood,933,935,Metropolitan line to Northwood
Northwood Hills,Northwood,939,941,Metropolitan line to Northwood
Northwood Hills,Northwood,948,950,Metropolitan line to Northwood
Northwood Hills,Northwood,958,960,Metropolitan line to Northwood
Northwood Hills,Northwood,1003,1005,Metropolitan line to Northwood
Northwood Hills,Northwood,1010,1012,Metropolitan line to Northwood
Northwood Hills,Northwood,1018,1020,Metropolitan line to Northwood
Northwood Hills,Northwood,1026,1028,Metropolitan line to Northwood
Northwood Hills,Northwood,1033,1035,Metropolitan line to Northwood
Northwood Hills,Northwood,1042,1044,Metropolitan line to Northwood
Northwood Hills,Northwood,1048,1050,Metropolitan line to Northwood
