node1,node2,tstart,tend,line
Northwood Hills,Pinner,541,543,Metropolitan line to Pinner
Northwood Hills,Pinner,546,548,Metropolitan line to Pinner
Northwood Hills,Pinner,554,556,Metropolitan line to Pinner
Northwood Hills,Pinner,600,602,Metropolitan line to Pinner
Northwood Hills,Pinner,608,610,Metropolitan line to Pinner
Northwood Hills,Pinner,615,617,Metropolitan line to Pinner
Northwood Hills,Pinner,623,625,Metropolitan line to Pinner
Northwood Hills,Pinner,628,630,Metropolitan line to Pinner
Northwood Hills,Pinner,633,635,Metropolitan line to Pinner
Northwood Hills,Pinner,640,642,Metropolitan line to Pinner
Northwood Hills,Pinner,647,649,Metropolitan line to Pinner
Northwood Hills,Pinner,656,658,Metropolitan line to Pinner
Northwood Hills,Pinner,701,703,Metropolitan line to Pinner
Northwood Hills,Pinner,705,707,Metropolitan line to Pinner
Northwood Hills,Pinner,713,715,Metropolitan line to Pinner
Northwood Hills,Pinner,719,721,Metropolitan line to Pinner
Northwood Hills,Pinner,729,731,Metropolitan line to Pinner
Northwood Hills,Pinner,734,736,Metropolitan line to Pinner
Northwood Hills,Pinner,738,740,Metropolitan line to Pinner
Northwood Hills,Pinner,745,747,Metropolitan line to Pinner
Northwood Hills,Pinner,751,753,Metropolitan line to Pinner
Northwood Hills,Pinner,801,803,Metropolitan line to Pinner
Northwood Hills,Pinner,807,809,Metropolitan line to Pinner
Northwood Hills,Pinner,810,812,Metropolitan line to Pinner
Northwood Hills,Pinner,818,820,Metropolitan line to Pinner
Northwood Hills,Pinner,823,825,Metropolitan line to Pinner
Northwood Hills,Pinner,832,834,Metropolitan line to Pinner
Northwood Hills,Pinner,838,840,Metropolitan line to Pinner
Northwood Hills,Pinner,842,844,Metropolitan line to Pinner
Northwood Hills,Pinner,849,851,Metropolitan line to Pinner
Northwood Hills,Pinner,855,857,Metropolitan line to Pinner
Northwood Hills,Pinner,904,906,Metropolitan line to Pinner
Northwood Hills,Pinner,911,913,Metropolitan line to Pinner
Northwood Hills,Pinner,914,916,Metropolitan line to Pinner
Northwood Hills,Pinner,921,923,Metropolitan line to Pinner
Northwood Hills,Pinner,927,929,Metropolitan line to Pinner
Northwood Hills,Pinner,936,938,Metropolitan line to Pinner
Northwood Hills,Pinner,945,947,Metropolitan line to Pinner
Northwood Hills,Pinner,948,950,Metropolitan line to Pinner
Northwood Hills,Pinner,955,957,Metropolitan line to Pinner
Northwood Hills,Pinner,1001,1003,Metropolitan line to Pinner
Northwood Hills,Pinner,1007,1009,Metropolitan line to Pinner
Northwood Hills,Pinner,1010,1012,Metropolitan line to Pinner
Northwood Hills,Pinner,1019,1021,Metropolitan line to Pinner
Northwood Hills,Pinner,1027,1029,Metropolitan line to Pinner
Northwood Hills,Pinner,1031,1033,Metropolitan line to Pinner
Northwood Hills,Pinner,1038,1040,Metropolitan line to Pinner
Northwood Hills,Pinner,1045,1047,Metropolitan line to Pinner
Northwood Hills,Pinner,1053,1055,Metropolitan line to Pinner
Northwood Hills,Pinner,1100,1102,Metropolitan line to Pinner
Northwood Hills,Pinner,1108,1110,Metropolitan line to Pinner
Northwood Hills,Pinner,1115,1117,Metropolitan line to Pinner
Northwood Hills,Pinner,1123,1125,Metropolitan line to Pinner
Northwood Hills,Pinner,1130,1132,Metropolitan line to Pinner
Northwood Hills,Pinner,1138,1140,Metropolitan line to Pinner
Northwood Hills,Pinner,1145,1147,Metropolitan line to Pinner
Northwood Hills,Pinner,1153,1155,Metropolitan line to Pinner
Northwood Hills,Pinner,1200,1202,Metropolitan line to Pinner
Northwood Hills,Pinner,1208,1210,Metropolitan line to Pinner
Northwood Hills,Pinner,1215,1217,Metropolitan line to Pinner
Northwood Hills,Pinner,1223,1225,Metropolitan line to Pinner
Northwood Hills,Pinner,1230,1232,Metropolitan line to Pinner
Northwood Hills,Pinner,1238,1240,Metropolitan line to Pinner
Northwood Hills,Pinner,1245,1247,Metropolitan line to Pinner
Northwood Hills,Pinner,1253,1255,Metropolitan line to Pinner
Northwood Hills,Pinner,1300,1302,Metropolitan line to Pinner
Northwood Hills,Pinner,1308,1310,Metropolitan line to Pinner
Northwood Hills,Pinner,1315,1317,Metropolitan line to Pinner
Northwood Hills,Pinner,1323,1325,Metropolitan line to Pinner
Northwood Hills,Pinner,1330,1332,Metropolitan line to Pinner
Northwood Hills,Pinner,1338,1340,Metropolitan line to Pinner
Northwood Hills,Pinner,1345,1347,Metropolitan line to Pinner
Northwood Hills,Pinner,1353,1355,Metropolitan line to Pinner
Northwood Hills,Pinner,1400,1402,Metropolitan line to Pinner
Northwood Hills,Pinner,1408,1410,Metropolitan line to Pinner
Northwood Hills,Pinner,1415,1417,Metropolitan line to Pinner
Northwood Hills,Pinner,1423,1425,Metropolitan line to Pinner
Northwood Hills,Pinner,1430,1432,Metropolitan line to Pinner
Northwood Hills,Pinner,1438,1440,Metropolitan line to Pinner
Northwood Hills,Pinner,1445,1447,Metropolitan line to Pinner
Northwood Hills,Pinner,1453,1455,Metropolitan line to Pinner
Northwood Hills,Pinner,1500,1502,Metropolitan line to Pinner
Northwood Hills,Pinner,1508,1510,Metropolitan line to Pinner
Northwood Hills,Pinner,1515,1517,Metropolitan line to Pinner
Northwood Hills,Pinner,1523,1525,Metropolitan line to Pinner
Northwood Hills,Pinner,1530,1532,Metropolitan line to Pinner
Northwood Hills,Pinner,1538,1540,Metropolitan line to Pinner
Northwood Hills,Pinner,1545,1547,Metropolitan line to Pinner
Northwood Hills,Pinner,1553,1555,Metropolitan line to Pinner
Northwood Hills,Pinner,1600,1602,Metropolitan line to Pinner
Northwood Hills,Pinner,1608,1610,Metropolitan line to Pinner
Northwood Hills,Pinner,1615,1617,Metropolitan line to Pinner
Northwood Hills,Pinner,1623,1625,Metropolitan line to Pinner
Northwood Hills,Pinner,1630,1632,Metropolitan line to Pinner
Northwood Hills,Pinner,1638,1640,Metropolitan line to Pinner
Northwood Hills,Pinner,1645,1647,Metropolitan line to Pinner
Northwood Hills,Pinner,1653,1655,Metropolitan line to Pinner
Northwood Hills,Pinner,1700,1702,Metropolitan line to Pinner
Northwood Hills,Pinner,1708,1710,Metropolitan line to Pinner
Northwood Hills,Pinner,1711,1713,Metropolitan line to Pinner
