node1,node2,tstart,tend,line
Northwood,Moor Park,553,555,Metropolitan line to Moor Park
Northwood,Moor Park,557,559,Metropolitan line to Moor Park
Northwood,Moor Park,601,603,Metropolitan line to Moor Park
Northwood,Moor Park,607,609,Metropolitan line to Moor Park
Northwood,Moor Park,613,615,Metropolitan line to Moor Park
Northwood,Moor Park,622,624,Metropolitan line to Moor Park
Northwood,Moor Park,625,627,Metropolitan line to Moor Park
Northwood,Moor Park,629,631,Metropolitan line to Moor Park
Northwood,Moor Park,637,639,Metropolitan line to Moor Park
Northwood,Moor Park,644,646,Metropolitan line to Moor Park
Northwood,Moor Park,652,654,Metropolitan line to Moor Park
Northwood,Moor Park,656,658,Metropolitan line to Moor Park
Northwood,Moor Park,659,661,Metropolitan line to Moor Park
Northwood,Moor Park,703,705,Metropolitan line to Moor Park
Northwood,Moor Park,708,710,Metropolitan line to Moor Park
Northwood,Moor Park,713,715,Metropolitan line to Moor Park
Northwood,Moor Park,718,720,Metropolitan line to Moor Park
Northwood,Moor Park,724,726,Metropolitan line to Moor Park
Northwood,Moor Park,727,729,Metropolitan line to Moor Park
Northwood,Moor Park,730,732,Metropolitan line to Moor Park
Northwood,Moor Park,735,737,Metropolitan line to Moor Park
Northwood,Moor Park,741,743,Metropolitan line to Moor Park
Northwood,Moor Park,748,750,Metropolitan line to Moor Park
Northwood,Moor Park,752,754,Metropolitan line to Moor Park
Northwood,Moor Park,757,759,Metropolitan line to Moor Park
Northwood,Moor Park,800,802,Metropolitan line to Moor Park
Northwood,Moor Park,803,805,Metropolitan line to Moor Park
Northwood,Moor Park,807,809,Metropolitan line to Moor Park
Northwood,Moor Park,812,814,Metropolitan line to Moor Park
Northwood,Moor Park,816,818,Metropolitan line to Moor Park
Northwood,Moor Park,821,823,Metropolitan line to Moor Park
Northwood,Moor Park,829,831,Metropolitan line to Moor Park
Northwood,Moor Park,833,835,Metropolitan line to Moor Park
Northwood,Moor Park,838,840,Metropolitan line to Moor Park
Northwood,Moor Park,845,847,Metropolitan line to Moor Park
Northwood,Moor Park,848,850,Metropolitan line to Moor Park
Northwood,Moor Park,853,855,Metropolitan line to Moor Park
Northwood,Moor Park,900,902,Metropolitan line to Moor Park
Northwood,Moor Park,903,905,Metropolitan line to Moor Park
Northwood,Moor Park,907,909,Metropolitan line to Moor Park
Northwood,Moor Park,912,914,Metropolitan line to Moor Park
Northwood,Moor Park,917,919,Metropolitan line to Moor Park
Northwood,Moor Park,925,927,Metropolitan line to Moor Park
Northwood,Moor Park,928,930,Metropolitan line to Moor Park
Northwood,Moor Park,935,937,Metropolitan line to Moor Park
Northwood,Moor Park,941,943,Metropolitan line to Moor Park
Northwood,Moor Park,951,953,Metropolitan line to Moor Park
Northwood,Moor Park,1000,1002,Metropolitan line to Moor Park
Northwood,Moor Park,1005,1007,Metropolitan line to Moor Park
Northwood,Moor Park,1012,1014,Metropolitan line to Moor Park
