node1,node2,tstart,tend,line
Northwood,Northwood Hills,539,541,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,544,546,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,551,553,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,558,560,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,605,607,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,612,614,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,621,623,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,626,628,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,630,632,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,638,640,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,644,646,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,653,655,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,658,660,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,703,705,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,710,712,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,716,718,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,726,728,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,732,734,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,736,738,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,742,744,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,748,750,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,758,760,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,804,806,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,808,810,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,815,817,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,820,822,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,829,831,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,836,838,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,839,841,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,846,848,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,852,854,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,901,903,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,908,910,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,912,914,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,918,920,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,925,927,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,934,936,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,943,945,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,946,948,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,952,954,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,958,960,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1004,1006,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1008,1010,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1016,1018,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1024,1026,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1029,1031,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1035,1037,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1043,1045,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1050,1052,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1058,1060,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1105,1107,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1113,1115,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1120,1122,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1128,1130,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1135,1137,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1143,1145,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1150,1152,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1158,1160,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1205,1207,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1213,1215,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1220,1222,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1228,1230,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1235,1237,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1243,1245,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1250,1252,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1258,1260,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1305,1307,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1313,1315,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1320,1322,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1328,1330,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1335,1337,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1343,1345,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1350,1352,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1358,1360,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1405,1407,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1413,1415,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1420,1422,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1428,1430,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1435,1437,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1443,1445,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1450,1452,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1458,1460,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1505,1507,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1513,1515,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1520,1522,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1528,1530,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1535,1537,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1543,1545,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1550,1552,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1558,1560,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1605,1607,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1613,1615,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1620,1622,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1628,1630,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1635,1637,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1643,1645,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1650,1652,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1657,1659,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1705,1707,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1709,1711,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1716,1718,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1720,1722,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1723,1725,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1729,1731,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1732,1734,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1739,1741,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1747,1749,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1751,1753,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1755,1757,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1803,1805,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1806,1808,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1811,1813,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1817,1819,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1820,1822,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1825,1827,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1829,1831,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1836,1838,Metropolitan line to Northwood Hills
Northwood,Northwood Hills,1840,1842,Metropolitan line to Northwood Hills
