node1,node2,tstart,tend,line
Rickmansworth,Chorleywood,520,523,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,530,533,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,540,543,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,550,553,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,600,603,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,608,611,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,616,619,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,629,632,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,637,640,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,648,651,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,703,706,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,710,713,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,720,723,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,735,738,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,743,746,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,759,762,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,807,810,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,815,818,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,824,827,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,840,843,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,854,857,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,908,911,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,914,917,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,932,935,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,943,946,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,958,961,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1013,1016,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1028,1031,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1043,1046,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1058,1061,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1113,1116,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1128,1131,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1143,1146,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1158,1161,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1213,1216,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1228,1231,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1243,1246,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1258,1261,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1313,1316,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1328,1331,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1343,1346,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1358,1361,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1413,1416,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1428,1431,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1443,1446,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1458,1461,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1513,1516,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1528,1531,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1543,1546,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1558,1561,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1613,1616,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1628,1631,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1641,1644,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1654,1657,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1709,1712,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1720,1723,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1725,1728,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1743,1746,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1755,1758,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1759,1762,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1813,1816,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1825,1828,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1829,1832,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1846,1849,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1857,1860,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1902,1905,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1918,1921,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1930,1933,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1934,1937,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,1950,1953,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2001,2004,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2006,2009,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2024,2027,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2033,2036,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2038,2041,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2050,2053,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2103,2106,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2113,2116,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2128,2131,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2143,2146,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2158,2161,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2213,2216,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2228,2231,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2243,2246,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2258,2261,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2313,2316,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2313,2316,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2328,2331,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2343,2346,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2358,2361,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2413,2416,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2428,2431,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2446,2449,Metropolitan line to Chorleywood
Rickmansworth,Chorleywood,2501,2504,Metropolitan line to Chorleywood
