node1,node2,tstart,tend,line
Wembley Park,Finchley Road,538,545,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,551,558,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,556,563,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,601,608,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,606,613,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,609,616,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,613,620,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,616,623,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,618,625,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,623,630,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,626,633,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,632,639,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,634,641,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,640,647,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,645,652,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,650,657,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,656,663,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,701,708,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,707,714,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,712,719,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,717,724,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,723,730,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,728,735,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,734,741,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,739,746,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,744,751,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,750,757,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,755,762,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,800,807,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,806,813,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,811,818,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,817,824,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,822,829,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,827,834,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,832,839,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,838,845,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,843,850,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,848,855,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,854,861,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,859,866,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,904,911,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,910,917,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,915,922,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,920,927,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,926,933,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,931,938,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,936,943,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,941,948,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,947,954,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,953,960,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,957,964,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1000,1007,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1003,1010,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1006,1013,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1010,1017,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1013,1020,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1017,1024,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1020,1027,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1023,1030,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1026,1033,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1029,1036,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1032,1039,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1036,1043,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1039,1046,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1043,1050,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1046,1053,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1049,1056,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1053,1060,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1057,1064,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1101,1108,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1104,1111,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1108,1115,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1112,1119,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1116,1123,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1119,1126,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1123,1130,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1127,1134,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1131,1138,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1134,1141,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1138,1145,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1142,1149,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1146,1153,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1149,1156,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1153,1160,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1157,1164,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1201,1208,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1204,1211,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1204,1211,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1208,1215,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1212,1219,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1216,1223,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1219,1226,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1223,1230,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1227,1234,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1231,1238,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1234,1241,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1238,1245,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1242,1249,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1246,1253,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1249,1256,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1253,1260,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1257,1264,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1257,1264,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1301,1308,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1304,1311,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1308,1315,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1312,1319,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1316,1323,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1319,1326,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1323,1330,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1327,1334,Metropolitan line to Finchley Road
Wembley Park,Finchley Road,1331,1338,Metropolitan line to Finchley Road
