node1,node2,tstart,tend,line
Balham,Tooting Bec,613,614,Northern line to Tooting Bec
Balham,Tooting Bec,618,619,Northern line to Tooting Bec
Balham,Tooting Bec,623,624,Northern line to Tooting Bec
Balham,Tooting Bec,628,629,Northern line to Tooting Bec
Balham,Tooting Bec,633,634,Northern line to Tooting Bec
Balham,Tooting Bec,638,639,Northern line to Tooting Bec
Balham,Tooting Bec,643,644,Northern line to Tooting Bec
Balham,Tooting Bec,648,649,Northern line to Tooting Bec
Balham,Tooting Bec,653,654,Northern line to Tooting Bec
Balham,Tooting Bec,657,658,Northern line to Tooting Bec
Balham,Tooting Bec,700,701,Northern line to Tooting Bec
Balham,Tooting Bec,704,705,Northern line to Tooting Bec
Balham,Tooting Bec,707,708,Northern line to Tooting Bec
Balham,Tooting Bec,711,712,Northern line to Tooting Bec
Balham,Tooting Bec,714,715,Northern line to Tooting Bec
Balham,Tooting Bec,716,717,Northern line to Tooting Bec
Balham,Tooting Bec,718,719,Northern line to Tooting Bec
Balham,Tooting Bec,721,722,Northern line to Tooting Bec
Balham,Tooting Bec,723,724,Northern line to Tooting Bec
Balham,Tooting Bec,726,727,Northern line to Tooting Bec
Balham,Tooting Bec,729,730,Northern line to Tooting Bec
Balham,Tooting Bec,732,733,Northern line to Tooting Bec
Balham,Tooting Bec,735,736,Northern line to Tooting Bec
Balham,Tooting Bec,738,739,Northern line to Tooting Bec
Balham,Tooting Bec,741,742,Northern line to Tooting Bec
Balham,Tooting Bec,743,744,Northern line to Tooting Bec
Balham,Tooting Bec,745,746,Northern line to Tooting Bec
Balham,Tooting Bec,747,748,Northern line to Tooting Bec
Balham,Tooting Bec,749,750,Northern line to Tooting Bec
Balham,Tooting Bec,751,752,Northern line to Tooting Bec
Balham,Tooting Bec,753,754,Northern line to Tooting Bec
Balham,Tooting Bec,755,756,Northern line to Tooting Bec
Balham,Tooting Bec,757,758,Northern line to Tooting Bec
Balham,Tooting Bec,759,760,Northern line to Tooting Bec
Balham,Tooting Bec,802,803,Northern line to Tooting Bec
Balham,Tooting Bec,805,806,Northern line to Tooting Bec
Balham,Tooting Bec,807,808,Northern line to Tooting Bec
Balham,Tooting Bec,809,810,Northern line to Tooting Bec
Balham,Tooting Bec,811,812,Northern line to Tooting Bec
Balham,Tooting Bec,814,815,Northern line to Tooting Bec
Balham,Tooting Bec,816,817,Northern line to Tooting Bec
Balham,Tooting Bec,819,820,Northern line to Tooting Bec
Balham,Tooting Bec,821,822,Northern line to Tooting Bec
Balham,Tooting Bec,824,825,Northern line to Tooting Bec
Balham,Tooting Bec,827,828,Northern line to Tooting Bec
Balham,Tooting Bec,829,830,Northern line to Tooting Bec
Balham,Tooting Bec,831,832,Northern line to Tooting Bec
Balham,Tooting Bec,833,834,Northern line to Tooting Bec
Balham,Tooting Bec,835,836,Northern line to Tooting Bec
Balham,Tooting Bec,838,839,Northern line to Tooting Bec
Balham,Tooting Bec,841,842,Northern line to Tooting Bec
Balham,Tooting Bec,843,844,Northern line to Tooting Bec
Balham,Tooting Bec,846,847,Northern line to Tooting Bec
Balham,Tooting Bec,848,849,Northern line to Tooting Bec
Balham,Tooting Bec,850,851,Northern line to Tooting Bec
Balham,Tooting Bec,852,853,Northern line to Tooting Bec
Balham,Tooting Bec,854,855,Northern line to Tooting Bec
Balham,Tooting Bec,856,857,Northern line to Tooting Bec
Balham,Tooting Bec,858,859,Northern line to Tooting Bec
Balham,Tooting Bec,900,901,Northern line to Tooting Bec
Balham,Tooting Bec,902,903,Northern line to Tooting Bec
Balham,Tooting Bec,904,905,Northern line to Tooting Bec
Balham,Tooting Bec,906,907,Northern line to Tooting Bec
Balham,Tooting Bec,908,909,Northern line to Tooting Bec
Balham,Tooting Bec,910,911,Northern line to Tooting Bec
Balham,Tooting Bec,912,913,Northern line to Tooting Bec
Balham,Tooting Bec,914,915,Northern line to Tooting Bec
Balham,Tooting Bec,916,917,Northern line to Tooting Bec
Balham,Tooting Bec,918,919,Northern line to Tooting Bec
