node1,node2,tstart,tend,line
Brent Cross,Hendon Central,515,516,Northern line to Hendon Central
Brent Cross,Hendon Central,536,537,Northern line to Hendon Central
Brent Cross,Hendon Central,551,552,Northern line to Hendon Central
Brent Cross,Hendon Central,602,603,Northern line to Hendon Central
Brent Cross,Hendon Central,610,611,Northern line to Hendon Central
Brent Cross,Hendon Central,613,614,Northern line to Hendon Central
Brent Cross,Hendon Central,618,619,Northern line to Hendon Central
Brent Cross,Hendon Central,622,623,Northern line to Hendon Central
Brent Cross,Hendon Central,628,629,Northern line to Hendon Central
Brent Cross,Hendon Central,634,635,Northern line to Hendon Central
Brent Cross,Hendon Central,640,641,Northern line to Hendon Central
Brent Cross,Hendon Central,645,646,Northern line to Hendon Central
Brent Cross,Hendon Central,652,653,Northern line to Hendon Central
Brent Cross,Hendon Central,656,657,Northern line to Hendon Central
Brent Cross,Hendon Central,700,701,Northern line to Hendon Central
Brent Cross,Hendon Central,704,705,Northern line to Hendon Central
Brent Cross,Hendon Central,707,708,Northern line to Hendon Central
Brent Cross,Hendon Central,710,711,Northern line to Hendon Central
Brent Cross,Hendon Central,712,713,Northern line to Hendon Central
Brent Cross,Hendon Central,717,718,Northern line to Hendon Central
Brent Cross,Hendon Central,719,720,Northern line to Hendon Central
Brent Cross,Hendon Central,721,722,Northern line to Hendon Central
Brent Cross,Hendon Central,724,725,Northern line to Hendon Central
Brent Cross,Hendon Central,728,729,Northern line to Hendon Central
Brent Cross,Hendon Central,731,732,Northern line to Hendon Central
Brent Cross,Hendon Central,734,735,Northern line to Hendon Central
Brent Cross,Hendon Central,737,738,Northern line to Hendon Central
Brent Cross,Hendon Central,740,741,Northern line to Hendon Central
Brent Cross,Hendon Central,743,744,Northern line to Hendon Central
Brent Cross,Hendon Central,746,747,Northern line to Hendon Central
Brent Cross,Hendon Central,749,750,Northern line to Hendon Central
Brent Cross,Hendon Central,752,753,Northern line to Hendon Central
Brent Cross,Hendon Central,755,756,Northern line to Hendon Central
Brent Cross,Hendon Central,758,759,Northern line to Hendon Central
Brent Cross,Hendon Central,801,802,Northern line to Hendon Central
Brent Cross,Hendon Central,804,805,Northern line to Hendon Central
Brent Cross,Hendon Central,807,808,Northern line to Hendon Central
Brent Cross,Hendon Central,810,811,Northern line to Hendon Central
Brent Cross,Hendon Central,813,814,Northern line to Hendon Central
Brent Cross,Hendon Central,816,817,Northern line to Hendon Central
Brent Cross,Hendon Central,819,820,Northern line to Hendon Central
Brent Cross,Hendon Central,822,823,Northern line to Hendon Central
Brent Cross,Hendon Central,826,827,Northern line to Hendon Central
Brent Cross,Hendon Central,830,831,Northern line to Hendon Central
Brent Cross,Hendon Central,833,834,Northern line to Hendon Central
Brent Cross,Hendon Central,837,838,Northern line to Hendon Central
Brent Cross,Hendon Central,840,841,Northern line to Hendon Central
Brent Cross,Hendon Central,844,845,Northern line to Hendon Central
Brent Cross,Hendon Central,846,847,Northern line to Hendon Central
Brent Cross,Hendon Central,849,850,Northern line to Hendon Central
Brent Cross,Hendon Central,852,853,Northern line to Hendon Central
Brent Cross,Hendon Central,856,857,Northern line to Hendon Central
Brent Cross,Hendon Central,859,860,Northern line to Hendon Central
Brent Cross,Hendon Central,902,903,Northern line to Hendon Central
Brent Cross,Hendon Central,905,906,Northern line to Hendon Central
Brent Cross,Hendon Central,908,909,Northern line to Hendon Central
Brent Cross,Hendon Central,912,913,Northern line to Hendon Central
Brent Cross,Hendon Central,914,915,Northern line to Hendon Central
Brent Cross,Hendon Central,917,918,Northern line to Hendon Central
Brent Cross,Hendon Central,920,921,Northern line to Hendon Central
Brent Cross,Hendon Central,922,923,Northern line to Hendon Central
Brent Cross,Hendon Central,926,927,Northern line to Hendon Central
Brent Cross,Hendon Central,929,930,Northern line to Hendon Central
Brent Cross,Hendon Central,932,933,Northern line to Hendon Central
Brent Cross,Hendon Central,936,937,Northern line to Hendon Central
Brent Cross,Hendon Central,938,939,Northern line to Hendon Central
Brent Cross,Hendon Central,941,942,Northern line to Hendon Central
