node1,node2,tstart,tend,line
Camden Town,Chalk Farm,600,601,Northern line to Chalk Farm
Camden Town,Chalk Farm,608,609,Northern line to Chalk Farm
Camden Town,Chalk Farm,615,616,Northern line to Chalk Farm
Camden Town,Chalk Farm,622,623,Northern line to Chalk Farm
Camden Town,Chalk Farm,628,629,Northern line to Chalk Farm
Camden Town,Chalk Farm,633,634,Northern line to Chalk Farm
Camden Town,Chalk Farm,639,640,Northern line to Chalk Farm
Camden Town,Chalk Farm,644,645,Northern line to Chalk Farm
Camden Town,Chalk Farm,647,648,Northern line to Chalk Farm
Camden Town,Chalk Farm,651,652,Northern line to Chalk Farm
Camden Town,Chalk Farm,655,656,Northern line to Chalk Farm
Camden Town,Chalk Farm,700,701,Northern line to Chalk Farm
Camden Town,Chalk Farm,705,706,Northern line to Chalk Farm
Camden Town,Chalk Farm,708,709,Northern line to Chalk Farm
Camden Town,Chalk Farm,712,713,Northern line to Chalk Farm
Camden Town,Chalk Farm,715,716,Northern line to Chalk Farm
Camden Town,Chalk Farm,718,719,Northern line to Chalk Farm
Camden Town,Chalk Farm,721,722,Northern line to Chalk Farm
Camden Town,Chalk Farm,724,725,Northern line to Chalk Farm
Camden Town,Chalk Farm,727,728,Northern line to Chalk Farm
Camden Town,Chalk Farm,730,731,Northern line to Chalk Farm
Camden Town,Chalk Farm,733,734,Northern line to Chalk Farm
Camden Town,Chalk Farm,736,737,Northern line to Chalk Farm
Camden Town,Chalk Farm,739,740,Northern line to Chalk Farm
Camden Town,Chalk Farm,742,743,Northern line to Chalk Farm
Camden Town,Chalk Farm,745,746,Northern line to Chalk Farm
Camden Town,Chalk Farm,748,749,Northern line to Chalk Farm
Camden Town,Chalk Farm,751,752,Northern line to Chalk Farm
Camden Town,Chalk Farm,754,755,Northern line to Chalk Farm
Camden Town,Chalk Farm,757,758,Northern line to Chalk Farm
Camden Town,Chalk Farm,800,801,Northern line to Chalk Farm
Camden Town,Chalk Farm,803,804,Northern line to Chalk Farm
Camden Town,Chalk Farm,806,807,Northern line to Chalk Farm
Camden Town,Chalk Farm,809,810,Northern line to Chalk Farm
Camden Town,Chalk Farm,812,813,Northern line to Chalk Farm
Camden Town,Chalk Farm,815,816,Northern line to Chalk Farm
Camden Town,Chalk Farm,818,819,Northern line to Chalk Farm
Camden Town,Chalk Farm,821,822,Northern line to Chalk Farm
Camden Town,Chalk Farm,824,825,Northern line to Chalk Farm
Camden Town,Chalk Farm,827,828,Northern line to Chalk Farm
Camden Town,Chalk Farm,830,831,Northern line to Chalk Farm
Camden Town,Chalk Farm,832,833,Northern line to Chalk Farm
Camden Town,Chalk Farm,834,835,Northern line to Chalk Farm
Camden Town,Chalk Farm,836,837,Northern line to Chalk Farm
Camden Town,Chalk Farm,839,840,Northern line to Chalk Farm
Camden Town,Chalk Farm,841,842,Northern line to Chalk Farm
Camden Town,Chalk Farm,844,845,Northern line to Chalk Farm
Camden Town,Chalk Farm,847,848,Northern line to Chalk Farm
Camden Town,Chalk Farm,850,851,Northern line to Chalk Farm
Camden Town,Chalk Farm,853,854,Northern line to Chalk Farm
Camden Town,Chalk Farm,855,856,Northern line to Chalk Farm
Camden Town,Chalk Farm,858,859,Northern line to Chalk Farm
Camden Town,Chalk Farm,900,901,Northern line to Chalk Farm
Camden Town,Chalk Farm,902,903,Northern line to Chalk Farm
Camden Town,Chalk Farm,905,906,Northern line to Chalk Farm
Camden Town,Chalk Farm,907,908,Northern line to Chalk Farm
Camden Town,Chalk Farm,910,911,Northern line to Chalk Farm
Camden Town,Chalk Farm,912,913,Northern line to Chalk Farm
Camden Town,Chalk Farm,914,915,Northern line to Chalk Farm
Camden Town,Chalk Farm,917,918,Northern line to Chalk Farm
Camden Town,Chalk Farm,920,921,Northern line to Chalk Farm
Camden Town,Chalk Farm,923,924,Northern line to Chalk Farm
Camden Town,Chalk Farm,926,927,Northern line to Chalk Farm
Camden Town,Chalk Farm,928,929,Northern line to Chalk Farm
Camden Town,Chalk Farm,930,931,Northern line to Chalk Farm
Camden Town,Chalk Farm,932,933,Northern line to Chalk Farm
Camden Town,Chalk Farm,935,936,Northern line to Chalk Farm
Camden Town,Chalk Farm,937,938,Northern line to Chalk Farm
Camden Town,Chalk Farm,940,941,Northern line to Chalk Farm
Camden Town,Chalk Farm,942,943,Northern line to Chalk Farm
Camden Town,Chalk Farm,945,946,Northern line to Chalk Farm
Camden Town,Chalk Farm,947,948,Northern line to Chalk Farm
Camden Town,Chalk Farm,950,951,Northern line to Chalk Farm
Camden Town,Chalk Farm,952,953,Northern line to Chalk Farm
Camden Town,Chalk Farm,955,956,Northern line to Chalk Farm
Camden Town,Chalk Farm,957,958,Northern line to Chalk Farm
Camden Town,Chalk Farm,1000,1001,Northern line to Chalk Farm
Camden Town,Chalk Farm,1002,1003,Northern line to Chalk Farm
Camden Town,Chalk Farm,1005,1006,Northern line to Chalk Farm
Camden Town,Chalk Farm,1007,1008,Northern line to Chalk Farm
Camden Town,Chalk Farm,1010,1011,Northern line to Chalk Farm
Camden Town,Chalk Farm,1012,1013,Northern line to Chalk Farm
Camden Town,Chalk Farm,1015,1016,Northern line to Chalk Farm
Camden Town,Chalk Farm,1017,1018,Northern line to Chalk Farm
Camden Town,Chalk Farm,1020,1021,Northern line to Chalk Farm
Camden Town,Chalk Farm,1022,1023,Northern line to Chalk Farm
Camden Town,Chalk Farm,1025,1026,Northern line to Chalk Farm
Camden Town,Chalk Farm,1028,1029,Northern line to Chalk Farm
Camden Town,Chalk Farm,1031,1032,Northern line to Chalk Farm
Camden Town,Chalk Farm,1034,1035,Northern line to Chalk Farm
Camden Town,Chalk Farm,1037,1038,Northern line to Chalk Farm
Camden Town,Chalk Farm,1040,1041,Northern line to Chalk Farm
Camden Town,Chalk Farm,1043,1044,Northern line to Chalk Farm
Camden Town,Chalk Farm,1046,1047,Northern line to Chalk Farm
Camden Town,Chalk Farm,1049,1050,Northern line to Chalk Farm
Camden Town,Chalk Farm,1052,1053,Northern line to Chalk Farm
Camden Town,Chalk Farm,1055,1056,Northern line to Chalk Farm
Camden Town,Chalk Farm,1058,1059,Northern line to Chalk Farm
Camden Town,Chalk Farm,1101,1102,Northern line to Chalk Farm
Camden Town,Chalk Farm,1104,1105,Northern line to Chalk Farm
Camden Town,Chalk Farm,1107,1108,Northern line to Chalk Farm
