node1,node2,tstart,tend,line
Charing Cross,Leicester Square,542,543,Northern line to Leicester Square
Charing Cross,Leicester Square,549,550,Northern line to Leicester Square
Charing Cross,Leicester Square,557,558,Northern line to Leicester Square
Charing Cross,Leicester Square,603,604,Northern line to Leicester Square
Charing Cross,Leicester Square,609,610,Northern line to Leicester Square
Charing Cross,Leicester Square,615,616,Northern line to Leicester Square
Charing Cross,Leicester Square,621,622,Northern line to Leicester Square
Charing Cross,Leicester Square,624,625,Northern line to Leicester Square
Charing Cross,Leicester Square,628,629,Northern line to Leicester Square
Charing Cross,Leicester Square,631,632,Northern line to Leicester Square
Charing Cross,Leicester Square,635,636,Northern line to Leicester Square
Charing Cross,Leicester Square,638,639,Northern line to Leicester Square
Charing Cross,Leicester Square,642,643,Northern line to Leicester Square
Charing Cross,Leicester Square,645,646,Northern line to Leicester Square
Charing Cross,Leicester Square,649,650,Northern line to Leicester Square
Charing Cross,Leicester Square,652,653,Northern line to Leicester Square
Charing Cross,Leicester Square,655,656,Northern line to Leicester Square
Charing Cross,Leicester Square,659,660,Northern line to Leicester Square
Charing Cross,Leicester Square,702,703,Northern line to Leicester Square
Charing Cross,Leicester Square,705,706,Northern line to Leicester Square
Charing Cross,Leicester Square,708,709,Northern line to Leicester Square
Charing Cross,Leicester Square,711,712,Northern line to Leicester Square
Charing Cross,Leicester Square,714,715,Northern line to Leicester Square
Charing Cross,Leicester Square,717,718,Northern line to Leicester Square
Charing Cross,Leicester Square,720,721,Northern line to Leicester Square
Charing Cross,Leicester Square,723,724,Northern line to Leicester Square
Charing Cross,Leicester Square,726,727,Northern line to Leicester Square
Charing Cross,Leicester Square,729,730,Northern line to Leicester Square
Charing Cross,Leicester Square,732,733,Northern line to Leicester Square
Charing Cross,Leicester Square,735,736,Northern line to Leicester Square
Charing Cross,Leicester Square,738,739,Northern line to Leicester Square
Charing Cross,Leicester Square,741,742,Northern line to Leicester Square
Charing Cross,Leicester Square,744,745,Northern line to Leicester Square
Charing Cross,Leicester Square,747,748,Northern line to Leicester Square
Charing Cross,Leicester Square,750,751,Northern line to Leicester Square
Charing Cross,Leicester Square,753,754,Northern line to Leicester Square
Charing Cross,Leicester Square,756,757,Northern line to Leicester Square
Charing Cross,Leicester Square,759,760,Northern line to Leicester Square
Charing Cross,Leicester Square,802,803,Northern line to Leicester Square
Charing Cross,Leicester Square,805,806,Northern line to Leicester Square
Charing Cross,Leicester Square,808,809,Northern line to Leicester Square
Charing Cross,Leicester Square,811,812,Northern line to Leicester Square
Charing Cross,Leicester Square,814,815,Northern line to Leicester Square
Charing Cross,Leicester Square,816,817,Northern line to Leicester Square
Charing Cross,Leicester Square,819,820,Northern line to Leicester Square
Charing Cross,Leicester Square,822,823,Northern line to Leicester Square
Charing Cross,Leicester Square,825,826,Northern line to Leicester Square
Charing Cross,Leicester Square,827,828,Northern line to Leicester Square
Charing Cross,Leicester Square,830,831,Northern line to Leicester Square
Charing Cross,Leicester Square,833,834,Northern line to Leicester Square
Charing Cross,Leicester Square,835,836,Northern line to Leicester Square
Charing Cross,Leicester Square,838,839,Northern line to Leicester Square
Charing Cross,Leicester Square,841,842,Northern line to Leicester Square
Charing Cross,Leicester Square,844,845,Northern line to Leicester Square
Charing Cross,Leicester Square,846,847,Northern line to Leicester Square
Charing Cross,Leicester Square,849,850,Northern line to Leicester Square
Charing Cross,Leicester Square,852,853,Northern line to Leicester Square
Charing Cross,Leicester Square,854,855,Northern line to Leicester Square
Charing Cross,Leicester Square,857,858,Northern line to Leicester Square
Charing Cross,Leicester Square,900,901,Northern line to Leicester Square
Charing Cross,Leicester Square,903,904,Northern line to Leicester Square
Charing Cross,Leicester Square,905,906,Northern line to Leicester Square
Charing Cross,Leicester Square,908,909,Northern line to Leicester Square
Charing Cross,Leicester Square,911,912,Northern line to Leicester Square
Charing Cross,Leicester Square,914,915,Northern line to Leicester Square
Charing Cross,Leicester Square,916,917,Northern line to Leicester Square
Charing Cross,Leicester Square,919,920,Northern line to Leicester Square
Charing Cross,Leicester Square,922,923,Northern line to Leicester Square
Charing Cross,Leicester Square,925,926,Northern line to Leicester Square
Charing Cross,Leicester Square,928,929,Northern line to Leicester Square
Charing Cross,Leicester Square,932,933,Northern line to Leicester Square
Charing Cross,Leicester Square,935,936,Northern line to Leicester Square
Charing Cross,Leicester Square,938,939,Northern line to Leicester Square
Charing Cross,Leicester Square,941,942,Northern line to Leicester Square
Charing Cross,Leicester Square,944,945,Northern line to Leicester Square
Charing Cross,Leicester Square,947,948,Northern line to Leicester Square
Charing Cross,Leicester Square,950,951,Northern line to Leicester Square
Charing Cross,Leicester Square,953,954,Northern line to Leicester Square
Charing Cross,Leicester Square,956,957,Northern line to Leicester Square
Charing Cross,Leicester Square,959,960,Northern line to Leicester Square
Charing Cross,Leicester Square,1002,1003,Northern line to Leicester Square
Charing Cross,Leicester Square,1005,1006,Northern line to Leicester Square
Charing Cross,Leicester Square,1008,1009,Northern line to Leicester Square
Charing Cross,Leicester Square,1011,1012,Northern line to Leicester Square
Charing Cross,Leicester Square,1014,1015,Northern line to Leicester Square
Charing Cross,Leicester Square,1017,1018,Northern line to Leicester Square
Charing Cross,Leicester Square,1020,1021,Northern line to Leicester Square
Charing Cross,Leicester Square,1023,1024,Northern line to Leicester Square
Charing Cross,Leicester Square,1026,1027,Northern line to Leicester Square
Charing Cross,Leicester Square,1029,1030,Northern line to Leicester Square
Charing Cross,Leicester Square,1032,1033,Northern line to Leicester Square
