node1,node2,tstart,tend,line
Clapham North,Clapham Common,607,608,Northern line to Clapham Common
Clapham North,Clapham Common,612,613,Northern line to Clapham Common
Clapham North,Clapham Common,617,618,Northern line to Clapham Common
Clapham North,Clapham Common,622,623,Northern line to Clapham Common
Clapham North,Clapham Common,627,628,Northern line to Clapham Common
Clapham North,Clapham Common,632,633,Northern line to Clapham Common
Clapham North,Clapham Common,637,638,Northern line to Clapham Common
Clapham North,Clapham Common,642,643,Northern line to Clapham Common
Clapham North,Clapham Common,647,648,Northern line to Clapham Common
Clapham North,Clapham Common,651,652,Northern line to Clapham Common
Clapham North,Clapham Common,654,655,Northern line to Clapham Common
Clapham North,Clapham Common,658,659,Northern line to Clapham Common
Clapham North,Clapham Common,701,702,Northern line to Clapham Common
Clapham North,Clapham Common,705,706,Northern line to Clapham Common
Clapham North,Clapham Common,708,709,Northern line to Clapham Common
Clapham North,Clapham Common,710,711,Northern line to Clapham Common
Clapham North,Clapham Common,713,714,Northern line to Clapham Common
Clapham North,Clapham Common,715,716,Northern line to Clapham Common
Clapham North,Clapham Common,717,718,Northern line to Clapham Common
Clapham North,Clapham Common,720,721,Northern line to Clapham Common
Clapham North,Clapham Common,723,724,Northern line to Clapham Common
Clapham North,Clapham Common,726,727,Northern line to Clapham Common
Clapham North,Clapham Common,729,730,Northern line to Clapham Common
Clapham North,Clapham Common,732,733,Northern line to Clapham Common
Clapham North,Clapham Common,735,736,Northern line to Clapham Common
Clapham North,Clapham Common,737,738,Northern line to Clapham Common
Clapham North,Clapham Common,739,740,Northern line to Clapham Common
Clapham North,Clapham Common,741,742,Northern line to Clapham Common
Clapham North,Clapham Common,743,744,Northern line to Clapham Common
Clapham North,Clapham Common,745,746,Northern line to Clapham Common
Clapham North,Clapham Common,747,748,Northern line to Clapham Common
Clapham North,Clapham Common,749,750,Northern line to Clapham Common
Clapham North,Clapham Common,751,752,Northern line to Clapham Common
Clapham North,Clapham Common,753,754,Northern line to Clapham Common
Clapham North,Clapham Common,756,757,Northern line to Clapham Common
Clapham North,Clapham Common,759,760,Northern line to Clapham Common
Clapham North,Clapham Common,801,802,Northern line to Clapham Common
Clapham North,Clapham Common,803,804,Northern line to Clapham Common
Clapham North,Clapham Common,805,806,Northern line to Clapham Common
Clapham North,Clapham Common,808,809,Northern line to Clapham Common
Clapham North,Clapham Common,811,812,Northern line to Clapham Common
Clapham North,Clapham Common,813,814,Northern line to Clapham Common
Clapham North,Clapham Common,815,816,Northern line to Clapham Common
Clapham North,Clapham Common,818,819,Northern line to Clapham Common
Clapham North,Clapham Common,821,822,Northern line to Clapham Common
Clapham North,Clapham Common,823,824,Northern line to Clapham Common
Clapham North,Clapham Common,825,826,Northern line to Clapham Common
Clapham North,Clapham Common,827,828,Northern line to Clapham Common
Clapham North,Clapham Common,829,830,Northern line to Clapham Common
Clapham North,Clapham Common,832,833,Northern line to Clapham Common
Clapham North,Clapham Common,835,836,Northern line to Clapham Common
Clapham North,Clapham Common,837,838,Northern line to Clapham Common
Clapham North,Clapham Common,840,841,Northern line to Clapham Common
Clapham North,Clapham Common,842,843,Northern line to Clapham Common
Clapham North,Clapham Common,844,845,Northern line to Clapham Common
Clapham North,Clapham Common,846,847,Northern line to Clapham Common
Clapham North,Clapham Common,848,849,Northern line to Clapham Common
Clapham North,Clapham Common,850,851,Northern line to Clapham Common
Clapham North,Clapham Common,852,853,Northern line to Clapham Common
Clapham North,Clapham Common,854,855,Northern line to Clapham Common
Clapham North,Clapham Common,856,857,Northern line to Clapham Common
Clapham North,Clapham Common,858,859,Northern line to Clapham Common
Clapham North,Clapham Common,900,901,Northern line to Clapham Common
Clapham North,Clapham Common,902,903,Northern line to Clapham Common
Clapham North,Clapham Common,904,905,Northern line to Clapham Common
Clapham North,Clapham Common,906,907,Northern line to Clapham Common
Clapham North,Clapham Common,908,909,Northern line to Clapham Common
Clapham North,Clapham Common,910,911,Northern line to Clapham Common
