node1,node2,tstart,tend,line
Clapham North,Stockwell,530,531,Northern line to Stockwell
Clapham North,Stockwell,533,534,Northern line to Stockwell
Clapham North,Stockwell,537,538,Northern line to Stockwell
Clapham North,Stockwell,541,542,Northern line to Stockwell
Clapham North,Stockwell,545,546,Northern line to Stockwell
Clapham North,Stockwell,548,549,Northern line to Stockwell
Clapham North,Stockwell,552,553,Northern line to Stockwell
Clapham North,Stockwell,555,556,Northern line to Stockwell
Clapham North,Stockwell,558,559,Northern line to Stockwell
Clapham North,Stockwell,601,602,Northern line to Stockwell
Clapham North,Stockwell,604,605,Northern line to Stockwell
Clapham North,Stockwell,607,608,Northern line to Stockwell
Clapham North,Stockwell,609,610,Northern line to Stockwell
Clapham North,Stockwell,611,612,Northern line to Stockwell
Clapham North,Stockwell,613,614,Northern line to Stockwell
Clapham North,Stockwell,616,617,Northern line to Stockwell
Clapham North,Stockwell,619,620,Northern line to Stockwell
Clapham North,Stockwell,622,623,Northern line to Stockwell
Clapham North,Stockwell,625,626,Northern line to Stockwell
Clapham North,Stockwell,627,628,Northern line to Stockwell
Clapham North,Stockwell,630,631,Northern line to Stockwell
Clapham North,Stockwell,633,634,Northern line to Stockwell
Clapham North,Stockwell,635,636,Northern line to Stockwell
Clapham North,Stockwell,638,639,Northern line to Stockwell
Clapham North,Stockwell,641,642,Northern line to Stockwell
Clapham North,Stockwell,645,646,Northern line to Stockwell
Clapham North,Stockwell,648,649,Northern line to Stockwell
Clapham North,Stockwell,651,652,Northern line to Stockwell
Clapham North,Stockwell,654,655,Northern line to Stockwell
Clapham North,Stockwell,657,658,Northern line to Stockwell
Clapham North,Stockwell,700,701,Northern line to Stockwell
Clapham North,Stockwell,703,704,Northern line to Stockwell
Clapham North,Stockwell,705,706,Northern line to Stockwell
Clapham North,Stockwell,707,708,Northern line to Stockwell
Clapham North,Stockwell,709,710,Northern line to Stockwell
Clapham North,Stockwell,712,713,Northern line to Stockwell
Clapham North,Stockwell,715,716,Northern line to Stockwell
Clapham North,Stockwell,718,719,Northern line to Stockwell
Clapham North,Stockwell,721,722,Northern line to Stockwell
Clapham North,Stockwell,724,725,Northern line to Stockwell
Clapham North,Stockwell,726,727,Northern line to Stockwell
Clapham North,Stockwell,728,729,Northern line to Stockwell
Clapham North,Stockwell,731,732,Northern line to Stockwell
Clapham North,Stockwell,733,734,Northern line to Stockwell
Clapham North,Stockwell,735,736,Northern line to Stockwell
Clapham North,Stockwell,737,738,Northern line to Stockwell
Clapham North,Stockwell,739,740,Northern line to Stockwell
Clapham North,Stockwell,741,742,Northern line to Stockwell
Clapham North,Stockwell,743,744,Northern line to Stockwell
Clapham North,Stockwell,745,746,Northern line to Stockwell
Clapham North,Stockwell,747,748,Northern line to Stockwell
Clapham North,Stockwell,749,750,Northern line to Stockwell
Clapham North,Stockwell,751,752,Northern line to Stockwell
Clapham North,Stockwell,753,754,Northern line to Stockwell
Clapham North,Stockwell,755,756,Northern line to Stockwell
Clapham North,Stockwell,757,758,Northern line to Stockwell
