node1,node2,tstart,tend,line
Embankment,Waterloo,557,558,Northern line to Waterloo
Embankment,Waterloo,602,603,Northern line to Waterloo
Embankment,Waterloo,607,608,Northern line to Waterloo
Embankment,Waterloo,612,613,Northern line to Waterloo
Embankment,Waterloo,617,618,Northern line to Waterloo
Embankment,Waterloo,622,623,Northern line to Waterloo
Embankment,Waterloo,627,628,Northern line to Waterloo
Embankment,Waterloo,632,633,Northern line to Waterloo
Embankment,Waterloo,636,637,Northern line to Waterloo
Embankment,Waterloo,640,641,Northern line to Waterloo
Embankment,Waterloo,643,644,Northern line to Waterloo
Embankment,Waterloo,646,647,Northern line to Waterloo
Embankment,Waterloo,650,651,Northern line to Waterloo
Embankment,Waterloo,653,654,Northern line to Waterloo
Embankment,Waterloo,656,657,Northern line to Waterloo
Embankment,Waterloo,659,660,Northern line to Waterloo
Embankment,Waterloo,702,703,Northern line to Waterloo
Embankment,Waterloo,705,706,Northern line to Waterloo
Embankment,Waterloo,708,709,Northern line to Waterloo
Embankment,Waterloo,711,712,Northern line to Waterloo
Embankment,Waterloo,714,715,Northern line to Waterloo
Embankment,Waterloo,717,718,Northern line to Waterloo
Embankment,Waterloo,720,721,Northern line to Waterloo
Embankment,Waterloo,723,724,Northern line to Waterloo
Embankment,Waterloo,726,727,Northern line to Waterloo
Embankment,Waterloo,729,730,Northern line to Waterloo
Embankment,Waterloo,732,733,Northern line to Waterloo
Embankment,Waterloo,735,736,Northern line to Waterloo
Embankment,Waterloo,738,739,Northern line to Waterloo
Embankment,Waterloo,741,742,Northern line to Waterloo
Embankment,Waterloo,744,745,Northern line to Waterloo
Embankment,Waterloo,747,748,Northern line to Waterloo
Embankment,Waterloo,750,751,Northern line to Waterloo
Embankment,Waterloo,753,754,Northern line to Waterloo
Embankment,Waterloo,756,757,Northern line to Waterloo
Embankment,Waterloo,759,760,Northern line to Waterloo
Embankment,Waterloo,802,803,Northern line to Waterloo
Embankment,Waterloo,805,806,Northern line to Waterloo
Embankment,Waterloo,808,809,Northern line to Waterloo
Embankment,Waterloo,811,812,Northern line to Waterloo
Embankment,Waterloo,814,815,Northern line to Waterloo
Embankment,Waterloo,817,818,Northern line to Waterloo
Embankment,Waterloo,819,820,Northern line to Waterloo
Embankment,Waterloo,822,823,Northern line to Waterloo
Embankment,Waterloo,824,825,Northern line to Waterloo
Embankment,Waterloo,827,828,Northern line to Waterloo
Embankment,Waterloo,829,830,Northern line to Waterloo
Embankment,Waterloo,832,833,Northern line to Waterloo
Embankment,Waterloo,835,836,Northern line to Waterloo
Embankment,Waterloo,837,838,Northern line to Waterloo
Embankment,Waterloo,839,840,Northern line to Waterloo
Embankment,Waterloo,842,843,Northern line to Waterloo
Embankment,Waterloo,845,846,Northern line to Waterloo
Embankment,Waterloo,847,848,Northern line to Waterloo
Embankment,Waterloo,850,851,Northern line to Waterloo
Embankment,Waterloo,852,853,Northern line to Waterloo
Embankment,Waterloo,855,856,Northern line to Waterloo
Embankment,Waterloo,857,858,Northern line to Waterloo
Embankment,Waterloo,900,901,Northern line to Waterloo
Embankment,Waterloo,902,903,Northern line to Waterloo
Embankment,Waterloo,905,906,Northern line to Waterloo
Embankment,Waterloo,907,908,Northern line to Waterloo
Embankment,Waterloo,910,911,Northern line to Waterloo
Embankment,Waterloo,912,913,Northern line to Waterloo
Embankment,Waterloo,915,916,Northern line to Waterloo
Embankment,Waterloo,917,918,Northern line to Waterloo
Embankment,Waterloo,919,920,Northern line to Waterloo
Embankment,Waterloo,922,923,Northern line to Waterloo
Embankment,Waterloo,925,926,Northern line to Waterloo
Embankment,Waterloo,927,928,Northern line to Waterloo
Embankment,Waterloo,931,932,Northern line to Waterloo
Embankment,Waterloo,933,934,Northern line to Waterloo
Embankment,Waterloo,936,937,Northern line to Waterloo
Embankment,Waterloo,939,940,Northern line to Waterloo
Embankment,Waterloo,942,943,Northern line to Waterloo
Embankment,Waterloo,945,946,Northern line to Waterloo
Embankment,Waterloo,948,949,Northern line to Waterloo
Embankment,Waterloo,951,952,Northern line to Waterloo
Embankment,Waterloo,954,955,Northern line to Waterloo
Embankment,Waterloo,957,958,Northern line to Waterloo
Embankment,Waterloo,1000,1001,Northern line to Waterloo
Embankment,Waterloo,1003,1004,Northern line to Waterloo
Embankment,Waterloo,1006,1007,Northern line to Waterloo
Embankment,Waterloo,1009,1010,Northern line to Waterloo
Embankment,Waterloo,1012,1013,Northern line to Waterloo
Embankment,Waterloo,1015,1016,Northern line to Waterloo
Embankment,Waterloo,1018,1019,Northern line to Waterloo
Embankment,Waterloo,1021,1022,Northern line to Waterloo
Embankment,Waterloo,1024,1025,Northern line to Waterloo
Embankment,Waterloo,1027,1028,Northern line to Waterloo
Embankment,Waterloo,1030,1031,Northern line to Waterloo
Embankment,Waterloo,1033,1034,Northern line to Waterloo
Embankment,Waterloo,1036,1037,Northern line to Waterloo
Embankment,Waterloo,1039,1040,Northern line to Waterloo
Embankment,Waterloo,1042,1043,Northern line to Waterloo
Embankment,Waterloo,1045,1046,Northern line to Waterloo
Embankment,Waterloo,1048,1049,Northern line to Waterloo
Embankment,Waterloo,1051,1052,Northern line to Waterloo
Embankment,Waterloo,1054,1055,Northern line to Waterloo
Embankment,Waterloo,1057,1058,Northern line to Waterloo
Embankment,Waterloo,1100,1101,Northern line to Waterloo
Embankment,Waterloo,1103,1104,Northern line to Waterloo
Embankment,Waterloo,1106,1107,Northern line to Waterloo
Embankment,Waterloo,1109,1110,Northern line to Waterloo
Embankment,Waterloo,1112,1113,Northern line to Waterloo
Embankment,Waterloo,1115,1116,Northern line to Waterloo
Embankment,Waterloo,1118,1119,Northern line to Waterloo
Embankment,Waterloo,1121,1122,Northern line to Waterloo
Embankment,Waterloo,1124,1125,Northern line to Waterloo
Embankment,Waterloo,1127,1128,Northern line to Waterloo
Embankment,Waterloo,1130,1131,Northern line to Waterloo
Embankment,Waterloo,1133,1134,Northern line to Waterloo
Embankment,Waterloo,1136,1137,Northern line to Waterloo
Embankment,Waterloo,1139,1140,Northern line to Waterloo
Embankment,Waterloo,1142,1143,Northern line to Waterloo
Embankment,Waterloo,1145,1146,Northern line to Waterloo
Embankment,Waterloo,1148,1149,Northern line to Waterloo
Embankment,Waterloo,1151,1152,Northern line to Waterloo
Embankment,Waterloo,1154,1155,Northern line to Waterloo
Embankment,Waterloo,1157,1158,Northern line to Waterloo
Embankment,Waterloo,1200,1201,Northern line to Waterloo
Embankment,Waterloo,1203,1204,Northern line to Waterloo
Embankment,Waterloo,1206,1207,Northern line to Waterloo
Embankment,Waterloo,1209,1210,Northern line to Waterloo
Embankment,Waterloo,1212,1213,Northern line to Waterloo
Embankment,Waterloo,1215,1216,Northern line to Waterloo
Embankment,Waterloo,1218,1219,Northern line to Waterloo
Embankment,Waterloo,1221,1222,Northern line to Waterloo
Embankment,Waterloo,1224,1225,Northern line to Waterloo
Embankment,Waterloo,1227,1228,Northern line to Waterloo
Embankment,Waterloo,1230,1231,Northern line to Waterloo
Embankment,Waterloo,1233,1234,Northern line to Waterloo
Embankment,Waterloo,1236,1237,Northern line to Waterloo
Embankment,Waterloo,1239,1240,Northern line to Waterloo
Embankment,Waterloo,1242,1243,Northern line to Waterloo
Embankment,Waterloo,1245,1246,Northern line to Waterloo
Embankment,Waterloo,1248,1249,Northern line to Waterloo
Embankment,Waterloo,1251,1252,Northern line to Waterloo
Embankment,Waterloo,1254,1255,Northern line to Waterloo
Embankment,Waterloo,1257,1258,Northern line to Waterloo
Embankment,Waterloo,1300,1301,Northern line to Waterloo
Embankment,Waterloo,1303,1304,Northern line to Waterloo
Embankment,Waterloo,1306,1307,Northern line to Waterloo
Embankment,Waterloo,1309,1310,Northern line to Waterloo
Embankment,Waterloo,1312,1313,Northern line to Waterloo
Embankment,Waterloo,1315,1316,Northern line to Waterloo
Embankment,Waterloo,1318,1319,Northern line to Waterloo
Embankment,Waterloo,1321,1322,Northern line to Waterloo
Embankment,Waterloo,1324,1325,Northern line to Waterloo
Embankment,Waterloo,1327,1328,Northern line to Waterloo
Embankment,Waterloo,1330,1331,Northern line to Waterloo
Embankment,Waterloo,1333,1334,Northern line to Waterloo
Embankment,Waterloo,1336,1337,Northern line to Waterloo
Embankment,Waterloo,1339,1340,Northern line to Waterloo
Embankment,Waterloo,1342,1343,Northern line to Waterloo
Embankment,Waterloo,1345,1346,Northern line to Waterloo
Embankment,Waterloo,1348,1349,Northern line to Waterloo
Embankment,Waterloo,1351,1352,Northern line to Waterloo
Embankment,Waterloo,1354,1355,Northern line to Waterloo
Embankment,Waterloo,1357,1358,Northern line to Waterloo
Embankment,Waterloo,1400,1401,Northern line to Waterloo
Embankment,Waterloo,1403,1404,Northern line to Waterloo
Embankment,Waterloo,1406,1407,Northern line to Waterloo
Embankment,Waterloo,1409,1410,Northern line to Waterloo
Embankment,Waterloo,1412,1413,Northern line to Waterloo
Embankment,Waterloo,1415,1416,Northern line to Waterloo
Embankment,Waterloo,1418,1419,Northern line to Waterloo
Embankment,Waterloo,1421,1422,Northern line to Waterloo
Embankment,Waterloo,1424,1425,Northern line to Waterloo
Embankment,Waterloo,1427,1428,Northern line to Waterloo
Embankment,Waterloo,1430,1431,Northern line to Waterloo
Embankment,Waterloo,1433,1434,Northern line to Waterloo
Embankment,Waterloo,1436,1437,Northern line to Waterloo
Embankment,Waterloo,1439,1440,Northern line to Waterloo
Embankment,Waterloo,1442,1443,Northern line to Waterloo
Embankment,Waterloo,1445,1446,Northern line to Waterloo
Embankment,Waterloo,1448,1449,Northern line to Waterloo
Embankment,Waterloo,1451,1452,Northern line to Waterloo
Embankment,Waterloo,1454,1455,Northern line to Waterloo
Embankment,Waterloo,1457,1458,Northern line to Waterloo
Embankment,Waterloo,1500,1501,Northern line to Waterloo
Embankment,Waterloo,1503,1504,Northern line to Waterloo
Embankment,Waterloo,1506,1507,Northern line to Waterloo
Embankment,Waterloo,1509,1510,Northern line to Waterloo
Embankment,Waterloo,1512,1513,Northern line to Waterloo
Embankment,Waterloo,1515,1516,Northern line to Waterloo
Embankment,Waterloo,1518,1519,Northern line to Waterloo
Embankment,Waterloo,1521,1522,Northern line to Waterloo
Embankment,Waterloo,1524,1525,Northern line to Waterloo
Embankment,Waterloo,1527,1528,Northern line to Waterloo
Embankment,Waterloo,1530,1531,Northern line to Waterloo
Embankment,Waterloo,1533,1534,Northern line to Waterloo
Embankment,Waterloo,1536,1537,Northern line to Waterloo
Embankment,Waterloo,1539,1540,Northern line to Waterloo
Embankment,Waterloo,1542,1543,Northern line to Waterloo
Embankment,Waterloo,1545,1546,Northern line to Waterloo
Embankment,Waterloo,1548,1549,Northern line to Waterloo
Embankment,Waterloo,1551,1552,Northern line to Waterloo
Embankment,Waterloo,1554,1555,Northern line to Waterloo
Embankment,Waterloo,1557,1558,Northern line to Waterloo
Embankment,Waterloo,1600,1601,Northern line to Waterloo
Embankment,Waterloo,1603,1604,Northern line to Waterloo
Embankment,Waterloo,1606,1607,Northern line to Waterloo
Embankment,Waterloo,1609,1610,Northern line to Waterloo
Embankment,Waterloo,1612,1613,Northern line to Waterloo
Embankment,Waterloo,1615,1616,Northern line to Waterloo
Embankment,Waterloo,1618,1619,Northern line to Waterloo
Embankment,Waterloo,1621,1622,Northern line to Waterloo
Embankment,Waterloo,1624,1625,Northern line to Waterloo
Embankment,Waterloo,1627,1628,Northern line to Waterloo
Embankment,Waterloo,1630,1631,Northern line to Waterloo
Embankment,Waterloo,1633,1634,Northern line to Waterloo
Embankment,Waterloo,1636,1637,Northern line to Waterloo
Embankment,Waterloo,1639,1640,Northern line to Waterloo
Embankment,Waterloo,1642,1643,Northern line to Waterloo
Embankment,Waterloo,1645,1646,Northern line to Waterloo
Embankment,Waterloo,1648,1649,Northern line to Waterloo
Embankment,Waterloo,1651,1652,Northern line to Waterloo
Embankment,Waterloo,1654,1655,Northern line to Waterloo
Embankment,Waterloo,1657,1658,Northern line to Waterloo
Embankment,Waterloo,1700,1701,Northern line to Waterloo
Embankment,Waterloo,1703,1704,Northern line to Waterloo
Embankment,Waterloo,1706,1707,Northern line to Waterloo
Embankment,Waterloo,1708,1709,Northern line to Waterloo
Embankment,Waterloo,1711,1712,Northern line to Waterloo
Embankment,Waterloo,1713,1714,Northern line to Waterloo
Embankment,Waterloo,1716,1717,Northern line to Waterloo
Embankment,Waterloo,1718,1719,Northern line to Waterloo
Embankment,Waterloo,1721,1722,Northern line to Waterloo
Embankment,Waterloo,1723,1724,Northern line to Waterloo
Embankment,Waterloo,1726,1727,Northern line to Waterloo
Embankment,Waterloo,1728,1729,Northern line to Waterloo
Embankment,Waterloo,1731,1732,Northern line to Waterloo
Embankment,Waterloo,1733,1734,Northern line to Waterloo
Embankment,Waterloo,1736,1737,Northern line to Waterloo
