node1,node2,tstart,tend,line
Embankment,Charing Cross,541,542,Northern line to Charing Cross
Embankment,Charing Cross,548,549,Northern line to Charing Cross
Embankment,Charing Cross,556,557,Northern line to Charing Cross
Embankment,Charing Cross,602,603,Northern line to Charing Cross
Embankment,Charing Cross,608,609,Northern line to Charing Cross
Embankment,Charing Cross,614,615,Northern line to Charing Cross
Embankment,Charing Cross,619,620,Northern line to Charing Cross
Embankment,Charing Cross,623,624,Northern line to Charing Cross
Embankment,Charing Cross,626,627,Northern line to Charing Cross
Embankment,Charing Cross,630,631,Northern line to Charing Cross
Embankment,Charing Cross,633,634,Northern line to Charing Cross
Embankment,Charing Cross,637,638,Northern line to Charing Cross
Embankment,Charing Cross,640,641,Northern line to Charing Cross
Embankment,Charing Cross,644,645,Northern line to Charing Cross
Embankment,Charing Cross,647,648,Northern line to Charing Cross
Embankment,Charing Cross,651,652,Northern line to Charing Cross
Embankment,Charing Cross,654,655,Northern line to Charing Cross
Embankment,Charing Cross,657,658,Northern line to Charing Cross
Embankment,Charing Cross,700,701,Northern line to Charing Cross
Embankment,Charing Cross,703,704,Northern line to Charing Cross
Embankment,Charing Cross,706,707,Northern line to Charing Cross
Embankment,Charing Cross,709,710,Northern line to Charing Cross
Embankment,Charing Cross,712,713,Northern line to Charing Cross
Embankment,Charing Cross,715,716,Northern line to Charing Cross
Embankment,Charing Cross,718,719,Northern line to Charing Cross
Embankment,Charing Cross,721,722,Northern line to Charing Cross
Embankment,Charing Cross,724,725,Northern line to Charing Cross
Embankment,Charing Cross,727,728,Northern line to Charing Cross
Embankment,Charing Cross,730,731,Northern line to Charing Cross
Embankment,Charing Cross,733,734,Northern line to Charing Cross
Embankment,Charing Cross,736,737,Northern line to Charing Cross
Embankment,Charing Cross,739,740,Northern line to Charing Cross
Embankment,Charing Cross,742,743,Northern line to Charing Cross
Embankment,Charing Cross,745,746,Northern line to Charing Cross
Embankment,Charing Cross,748,749,Northern line to Charing Cross
Embankment,Charing Cross,751,752,Northern line to Charing Cross
Embankment,Charing Cross,754,755,Northern line to Charing Cross
Embankment,Charing Cross,757,758,Northern line to Charing Cross
Embankment,Charing Cross,800,801,Northern line to Charing Cross
Embankment,Charing Cross,803,804,Northern line to Charing Cross
Embankment,Charing Cross,806,807,Northern line to Charing Cross
Embankment,Charing Cross,809,810,Northern line to Charing Cross
Embankment,Charing Cross,812,813,Northern line to Charing Cross
Embankment,Charing Cross,815,816,Northern line to Charing Cross
Embankment,Charing Cross,818,819,Northern line to Charing Cross
Embankment,Charing Cross,821,822,Northern line to Charing Cross
Embankment,Charing Cross,823,824,Northern line to Charing Cross
Embankment,Charing Cross,826,827,Northern line to Charing Cross
Embankment,Charing Cross,829,830,Northern line to Charing Cross
Embankment,Charing Cross,831,832,Northern line to Charing Cross
Embankment,Charing Cross,834,835,Northern line to Charing Cross
Embankment,Charing Cross,837,838,Northern line to Charing Cross
Embankment,Charing Cross,840,841,Northern line to Charing Cross
Embankment,Charing Cross,842,843,Northern line to Charing Cross
Embankment,Charing Cross,845,846,Northern line to Charing Cross
