node1,node2,tstart,tend,line
Hampstead,Golders Green,606,610,Northern line to Golders Green
Hampstead,Golders Green,614,618,Northern line to Golders Green
Hampstead,Golders Green,621,625,Northern line to Golders Green
Hampstead,Golders Green,627,631,Northern line to Golders Green
Hampstead,Golders Green,633,637,Northern line to Golders Green
Hampstead,Golders Green,639,643,Northern line to Golders Green
Hampstead,Golders Green,645,649,Northern line to Golders Green
Hampstead,Golders Green,649,653,Northern line to Golders Green
Hampstead,Golders Green,653,657,Northern line to Golders Green
Hampstead,Golders Green,657,661,Northern line to Golders Green
Hampstead,Golders Green,701,705,Northern line to Golders Green
Hampstead,Golders Green,705,709,Northern line to Golders Green
Hampstead,Golders Green,710,714,Northern line to Golders Green
Hampstead,Golders Green,714,718,Northern line to Golders Green
Hampstead,Golders Green,717,721,Northern line to Golders Green
Hampstead,Golders Green,721,725,Northern line to Golders Green
Hampstead,Golders Green,724,728,Northern line to Golders Green
Hampstead,Golders Green,727,731,Northern line to Golders Green
Hampstead,Golders Green,730,734,Northern line to Golders Green
Hampstead,Golders Green,733,737,Northern line to Golders Green
Hampstead,Golders Green,736,740,Northern line to Golders Green
Hampstead,Golders Green,739,743,Northern line to Golders Green
Hampstead,Golders Green,742,746,Northern line to Golders Green
Hampstead,Golders Green,745,749,Northern line to Golders Green
Hampstead,Golders Green,748,752,Northern line to Golders Green
Hampstead,Golders Green,751,755,Northern line to Golders Green
Hampstead,Golders Green,754,758,Northern line to Golders Green
Hampstead,Golders Green,757,761,Northern line to Golders Green
Hampstead,Golders Green,800,804,Northern line to Golders Green
Hampstead,Golders Green,803,807,Northern line to Golders Green
Hampstead,Golders Green,806,810,Northern line to Golders Green
Hampstead,Golders Green,809,813,Northern line to Golders Green
Hampstead,Golders Green,812,816,Northern line to Golders Green
Hampstead,Golders Green,815,819,Northern line to Golders Green
Hampstead,Golders Green,818,822,Northern line to Golders Green
Hampstead,Golders Green,821,825,Northern line to Golders Green
Hampstead,Golders Green,824,828,Northern line to Golders Green
Hampstead,Golders Green,827,831,Northern line to Golders Green
Hampstead,Golders Green,830,834,Northern line to Golders Green
Hampstead,Golders Green,833,837,Northern line to Golders Green
Hampstead,Golders Green,835,839,Northern line to Golders Green
Hampstead,Golders Green,837,841,Northern line to Golders Green
Hampstead,Golders Green,840,844,Northern line to Golders Green
Hampstead,Golders Green,842,846,Northern line to Golders Green
Hampstead,Golders Green,844,848,Northern line to Golders Green
Hampstead,Golders Green,847,851,Northern line to Golders Green
Hampstead,Golders Green,849,853,Northern line to Golders Green
Hampstead,Golders Green,852,856,Northern line to Golders Green
Hampstead,Golders Green,856,860,Northern line to Golders Green
Hampstead,Golders Green,858,862,Northern line to Golders Green
Hampstead,Golders Green,901,905,Northern line to Golders Green
Hampstead,Golders Green,903,907,Northern line to Golders Green
Hampstead,Golders Green,905,909,Northern line to Golders Green
Hampstead,Golders Green,908,912,Northern line to Golders Green
Hampstead,Golders Green,910,914,Northern line to Golders Green
Hampstead,Golders Green,913,917,Northern line to Golders Green
Hampstead,Golders Green,916,920,Northern line to Golders Green
Hampstead,Golders Green,918,922,Northern line to Golders Green
Hampstead,Golders Green,920,924,Northern line to Golders Green
Hampstead,Golders Green,922,926,Northern line to Golders Green
Hampstead,Golders Green,925,929,Northern line to Golders Green
Hampstead,Golders Green,929,933,Northern line to Golders Green
Hampstead,Golders Green,931,935,Northern line to Golders Green
Hampstead,Golders Green,934,938,Northern line to Golders Green
Hampstead,Golders Green,936,940,Northern line to Golders Green
Hampstead,Golders Green,938,942,Northern line to Golders Green
Hampstead,Golders Green,940,944,Northern line to Golders Green
Hampstead,Golders Green,943,947,Northern line to Golders Green
Hampstead,Golders Green,945,949,Northern line to Golders Green
Hampstead,Golders Green,948,952,Northern line to Golders Green
Hampstead,Golders Green,950,954,Northern line to Golders Green
Hampstead,Golders Green,953,957,Northern line to Golders Green
Hampstead,Golders Green,955,959,Northern line to Golders Green
Hampstead,Golders Green,958,962,Northern line to Golders Green
Hampstead,Golders Green,1000,1004,Northern line to Golders Green
Hampstead,Golders Green,1003,1007,Northern line to Golders Green
Hampstead,Golders Green,1005,1009,Northern line to Golders Green
Hampstead,Golders Green,1008,1012,Northern line to Golders Green
Hampstead,Golders Green,1010,1014,Northern line to Golders Green
Hampstead,Golders Green,1013,1017,Northern line to Golders Green
Hampstead,Golders Green,1015,1019,Northern line to Golders Green
Hampstead,Golders Green,1018,1022,Northern line to Golders Green
Hampstead,Golders Green,1020,1024,Northern line to Golders Green
Hampstead,Golders Green,1023,1027,Northern line to Golders Green
Hampstead,Golders Green,1025,1029,Northern line to Golders Green
Hampstead,Golders Green,1028,1032,Northern line to Golders Green
Hampstead,Golders Green,1031,1035,Northern line to Golders Green
Hampstead,Golders Green,1034,1038,Northern line to Golders Green
Hampstead,Golders Green,1037,1041,Northern line to Golders Green
Hampstead,Golders Green,1040,1044,Northern line to Golders Green
Hampstead,Golders Green,1043,1047,Northern line to Golders Green
Hampstead,Golders Green,1046,1050,Northern line to Golders Green
Hampstead,Golders Green,1049,1053,Northern line to Golders Green
Hampstead,Golders Green,1052,1056,Northern line to Golders Green
Hampstead,Golders Green,1055,1059,Northern line to Golders Green
Hampstead,Golders Green,1058,1062,Northern line to Golders Green
Hampstead,Golders Green,1101,1105,Northern line to Golders Green
Hampstead,Golders Green,1104,1108,Northern line to Golders Green
Hampstead,Golders Green,1107,1111,Northern line to Golders Green
Hampstead,Golders Green,1110,1114,Northern line to Golders Green
Hampstead,Golders Green,1113,1117,Northern line to Golders Green
Hampstead,Golders Green,1116,1120,Northern line to Golders Green
Hampstead,Golders Green,1119,1123,Northern line to Golders Green
Hampstead,Golders Green,1122,1126,Northern line to Golders Green
Hampstead,Golders Green,1125,1129,Northern line to Golders Green
Hampstead,Golders Green,1128,1132,Northern line to Golders Green
Hampstead,Golders Green,1131,1135,Northern line to Golders Green
Hampstead,Golders Green,1134,1138,Northern line to Golders Green
Hampstead,Golders Green,1137,1141,Northern line to Golders Green
Hampstead,Golders Green,1140,1144,Northern line to Golders Green
Hampstead,Golders Green,1143,1147,Northern line to Golders Green
Hampstead,Golders Green,1146,1150,Northern line to Golders Green
Hampstead,Golders Green,1149,1153,Northern line to Golders Green
Hampstead,Golders Green,1152,1156,Northern line to Golders Green
Hampstead,Golders Green,1155,1159,Northern line to Golders Green
Hampstead,Golders Green,1158,1162,Northern line to Golders Green
Hampstead,Golders Green,1201,1205,Northern line to Golders Green
Hampstead,Golders Green,1204,1208,Northern line to Golders Green
Hampstead,Golders Green,1207,1211,Northern line to Golders Green
Hampstead,Golders Green,1210,1214,Northern line to Golders Green
Hampstead,Golders Green,1213,1217,Northern line to Golders Green
Hampstead,Golders Green,1216,1220,Northern line to Golders Green
Hampstead,Golders Green,1219,1223,Northern line to Golders Green
Hampstead,Golders Green,1222,1226,Northern line to Golders Green
Hampstead,Golders Green,1225,1229,Northern line to Golders Green
Hampstead,Golders Green,1228,1232,Northern line to Golders Green
Hampstead,Golders Green,1231,1235,Northern line to Golders Green
Hampstead,Golders Green,1234,1238,Northern line to Golders Green
Hampstead,Golders Green,1237,1241,Northern line to Golders Green
Hampstead,Golders Green,1240,1244,Northern line to Golders Green
Hampstead,Golders Green,1243,1247,Northern line to Golders Green
Hampstead,Golders Green,1246,1250,Northern line to Golders Green
Hampstead,Golders Green,1249,1253,Northern line to Golders Green
Hampstead,Golders Green,1252,1256,Northern line to Golders Green
Hampstead,Golders Green,1255,1259,Northern line to Golders Green
Hampstead,Golders Green,1258,1262,Northern line to Golders Green
Hampstead,Golders Green,1301,1305,Northern line to Golders Green
Hampstead,Golders Green,1304,1308,Northern line to Golders Green
Hampstead,Golders Green,1307,1311,Northern line to Golders Green
Hampstead,Golders Green,1310,1314,Northern line to Golders Green
Hampstead,Golders Green,1313,1317,Northern line to Golders Green
Hampstead,Golders Green,1316,1320,Northern line to Golders Green
Hampstead,Golders Green,1319,1323,Northern line to Golders Green
Hampstead,Golders Green,1322,1326,Northern line to Golders Green
Hampstead,Golders Green,1325,1329,Northern line to Golders Green
Hampstead,Golders Green,1328,1332,Northern line to Golders Green
Hampstead,Golders Green,1331,1335,Northern line to Golders Green
Hampstead,Golders Green,1334,1338,Northern line to Golders Green
Hampstead,Golders Green,1337,1341,Northern line to Golders Green
Hampstead,Golders Green,1340,1344,Northern line to Golders Green
Hampstead,Golders Green,1343,1347,Northern line to Golders Green
Hampstead,Golders Green,1346,1350,Northern line to Golders Green
Hampstead,Golders Green,1349,1353,Northern line to Golders Green
Hampstead,Golders Green,1352,1356,Northern line to Golders Green
Hampstead,Golders Green,1355,1359,Northern line to Golders Green
Hampstead,Golders Green,1358,1362,Northern line to Golders Green
Hampstead,Golders Green,1401,1405,Northern line to Golders Green
