node1,node2,tstart,tend,line
Kennington,Oval,601,602,Northern line to Oval
Kennington,Oval,606,607,Northern line to Oval
Kennington,Oval,611,612,Northern line to Oval
Kennington,Oval,616,617,Northern line to Oval
Kennington,Oval,621,622,Northern line to Oval
Kennington,Oval,626,627,Northern line to Oval
Kennington,Oval,631,632,Northern line to Oval
Kennington,Oval,636,637,Northern line to Oval
Kennington,Oval,641,642,Northern line to Oval
Kennington,Oval,645,646,Northern line to Oval
Kennington,Oval,649,650,Northern line to Oval
Kennington,Oval,652,653,Northern line to Oval
Kennington,Oval,656,657,Northern line to Oval
Kennington,Oval,659,660,Northern line to Oval
Kennington,Oval,702,703,Northern line to Oval
Kennington,Oval,705,706,Northern line to Oval
Kennington,Oval,707,708,Northern line to Oval
Kennington,Oval,709,710,Northern line to Oval
Kennington,Oval,712,713,Northern line to Oval
Kennington,Oval,715,716,Northern line to Oval
Kennington,Oval,718,719,Northern line to Oval
Kennington,Oval,720,721,Northern line to Oval
Kennington,Oval,723,724,Northern line to Oval
Kennington,Oval,726,727,Northern line to Oval
Kennington,Oval,729,730,Northern line to Oval
Kennington,Oval,731,732,Northern line to Oval
Kennington,Oval,733,734,Northern line to Oval
Kennington,Oval,736,737,Northern line to Oval
Kennington,Oval,737,738,Northern line to Oval
Kennington,Oval,740,741,Northern line to Oval
Kennington,Oval,742,743,Northern line to Oval
Kennington,Oval,743,744,Northern line to Oval
Kennington,Oval,746,747,Northern line to Oval
Kennington,Oval,748,749,Northern line to Oval
Kennington,Oval,751,752,Northern line to Oval
Kennington,Oval,754,755,Northern line to Oval
Kennington,Oval,755,756,Northern line to Oval
Kennington,Oval,758,759,Northern line to Oval
Kennington,Oval,800,801,Northern line to Oval
Kennington,Oval,803,804,Northern line to Oval
Kennington,Oval,805,806,Northern line to Oval
Kennington,Oval,808,809,Northern line to Oval
Kennington,Oval,810,811,Northern line to Oval
Kennington,Oval,813,814,Northern line to Oval
Kennington,Oval,816,817,Northern line to Oval
Kennington,Oval,818,819,Northern line to Oval
Kennington,Oval,819,820,Northern line to Oval
Kennington,Oval,822,823,Northern line to Oval
Kennington,Oval,824,825,Northern line to Oval
