node1,node2,tstart,tend,line
Kentish Town,Tufnell Park,555,556,Northern line to Tufnell Park
Kentish Town,Tufnell Park,602,603,Northern line to Tufnell Park
Kentish Town,Tufnell Park,610,611,Northern line to Tufnell Park
Kentish Town,Tufnell Park,617,618,Northern line to Tufnell Park
Kentish Town,Tufnell Park,624,625,Northern line to Tufnell Park
Kentish Town,Tufnell Park,629,630,Northern line to Tufnell Park
Kentish Town,Tufnell Park,635,636,Northern line to Tufnell Park
Kentish Town,Tufnell Park,639,640,Northern line to Tufnell Park
Kentish Town,Tufnell Park,642,643,Northern line to Tufnell Park
Kentish Town,Tufnell Park,645,646,Northern line to Tufnell Park
Kentish Town,Tufnell Park,648,649,Northern line to Tufnell Park
Kentish Town,Tufnell Park,651,652,Northern line to Tufnell Park
Kentish Town,Tufnell Park,654,655,Northern line to Tufnell Park
Kentish Town,Tufnell Park,658,659,Northern line to Tufnell Park
Kentish Town,Tufnell Park,700,701,Northern line to Tufnell Park
Kentish Town,Tufnell Park,703,704,Northern line to Tufnell Park
Kentish Town,Tufnell Park,706,707,Northern line to Tufnell Park
Kentish Town,Tufnell Park,708,709,Northern line to Tufnell Park
Kentish Town,Tufnell Park,711,712,Northern line to Tufnell Park
Kentish Town,Tufnell Park,714,715,Northern line to Tufnell Park
Kentish Town,Tufnell Park,718,719,Northern line to Tufnell Park
Kentish Town,Tufnell Park,721,722,Northern line to Tufnell Park
Kentish Town,Tufnell Park,724,725,Northern line to Tufnell Park
Kentish Town,Tufnell Park,727,728,Northern line to Tufnell Park
Kentish Town,Tufnell Park,730,731,Northern line to Tufnell Park
Kentish Town,Tufnell Park,733,734,Northern line to Tufnell Park
Kentish Town,Tufnell Park,736,737,Northern line to Tufnell Park
Kentish Town,Tufnell Park,739,740,Northern line to Tufnell Park
Kentish Town,Tufnell Park,742,743,Northern line to Tufnell Park
Kentish Town,Tufnell Park,745,746,Northern line to Tufnell Park
Kentish Town,Tufnell Park,748,749,Northern line to Tufnell Park
Kentish Town,Tufnell Park,751,752,Northern line to Tufnell Park
Kentish Town,Tufnell Park,754,755,Northern line to Tufnell Park
Kentish Town,Tufnell Park,757,758,Northern line to Tufnell Park
Kentish Town,Tufnell Park,800,801,Northern line to Tufnell Park
Kentish Town,Tufnell Park,803,804,Northern line to Tufnell Park
Kentish Town,Tufnell Park,806,807,Northern line to Tufnell Park
Kentish Town,Tufnell Park,809,810,Northern line to Tufnell Park
Kentish Town,Tufnell Park,812,813,Northern line to Tufnell Park
Kentish Town,Tufnell Park,815,816,Northern line to Tufnell Park
Kentish Town,Tufnell Park,818,819,Northern line to Tufnell Park
Kentish Town,Tufnell Park,821,822,Northern line to Tufnell Park
Kentish Town,Tufnell Park,824,825,Northern line to Tufnell Park
Kentish Town,Tufnell Park,827,828,Northern line to Tufnell Park
Kentish Town,Tufnell Park,829,830,Northern line to Tufnell Park
Kentish Town,Tufnell Park,832,833,Northern line to Tufnell Park
Kentish Town,Tufnell Park,835,836,Northern line to Tufnell Park
Kentish Town,Tufnell Park,838,839,Northern line to Tufnell Park
Kentish Town,Tufnell Park,840,841,Northern line to Tufnell Park
Kentish Town,Tufnell Park,843,844,Northern line to Tufnell Park
Kentish Town,Tufnell Park,846,847,Northern line to Tufnell Park
Kentish Town,Tufnell Park,848,849,Northern line to Tufnell Park
Kentish Town,Tufnell Park,851,852,Northern line to Tufnell Park
Kentish Town,Tufnell Park,853,854,Northern line to Tufnell Park
Kentish Town,Tufnell Park,855,856,Northern line to Tufnell Park
Kentish Town,Tufnell Park,857,858,Northern line to Tufnell Park
Kentish Town,Tufnell Park,900,901,Northern line to Tufnell Park
Kentish Town,Tufnell Park,903,904,Northern line to Tufnell Park
Kentish Town,Tufnell Park,905,906,Northern line to Tufnell Park
Kentish Town,Tufnell Park,908,909,Northern line to Tufnell Park
Kentish Town,Tufnell Park,910,911,Northern line to Tufnell Park
Kentish Town,Tufnell Park,913,914,Northern line to Tufnell Park
Kentish Town,Tufnell Park,916,917,Northern line to Tufnell Park
Kentish Town,Tufnell Park,919,920,Northern line to Tufnell Park
Kentish Town,Tufnell Park,921,922,Northern line to Tufnell Park
Kentish Town,Tufnell Park,923,924,Northern line to Tufnell Park
Kentish Town,Tufnell Park,925,926,Northern line to Tufnell Park
Kentish Town,Tufnell Park,928,929,Northern line to Tufnell Park
Kentish Town,Tufnell Park,931,932,Northern line to Tufnell Park
Kentish Town,Tufnell Park,933,934,Northern line to Tufnell Park
Kentish Town,Tufnell Park,936,937,Northern line to Tufnell Park
Kentish Town,Tufnell Park,939,940,Northern line to Tufnell Park
Kentish Town,Tufnell Park,942,943,Northern line to Tufnell Park
Kentish Town,Tufnell Park,945,946,Northern line to Tufnell Park
Kentish Town,Tufnell Park,948,949,Northern line to Tufnell Park
Kentish Town,Tufnell Park,951,952,Northern line to Tufnell Park
Kentish Town,Tufnell Park,954,955,Northern line to Tufnell Park
Kentish Town,Tufnell Park,957,958,Northern line to Tufnell Park
Kentish Town,Tufnell Park,1000,1001,Northern line to Tufnell Park
Kentish Town,Tufnell Park,1003,1004,Northern line to Tufnell Park
Kentish Town,Tufnell Park,1006,1007,Northern line to Tufnell Park
Kentish Town,Tufnell Park,1009,1010,Northern line to Tufnell Park
Kentish Town,Tufnell Park,1012,1013,Northern line to Tufnell Park
