node1,node2,tstart,tend,line
Leicester Square,Charing Cross,554,555,Northern line to Charing Cross
Leicester Square,Charing Cross,559,560,Northern line to Charing Cross
Leicester Square,Charing Cross,604,605,Northern line to Charing Cross
Leicester Square,Charing Cross,609,610,Northern line to Charing Cross
Leicester Square,Charing Cross,614,615,Northern line to Charing Cross
Leicester Square,Charing Cross,619,620,Northern line to Charing Cross
Leicester Square,Charing Cross,624,625,Northern line to Charing Cross
Leicester Square,Charing Cross,629,630,Northern line to Charing Cross
Leicester Square,Charing Cross,634,635,Northern line to Charing Cross
Leicester Square,Charing Cross,638,639,Northern line to Charing Cross
Leicester Square,Charing Cross,641,642,Northern line to Charing Cross
Leicester Square,Charing Cross,644,645,Northern line to Charing Cross
Leicester Square,Charing Cross,647,648,Northern line to Charing Cross
Leicester Square,Charing Cross,650,651,Northern line to Charing Cross
Leicester Square,Charing Cross,653,654,Northern line to Charing Cross
Leicester Square,Charing Cross,656,657,Northern line to Charing Cross
Leicester Square,Charing Cross,659,660,Northern line to Charing Cross
Leicester Square,Charing Cross,702,703,Northern line to Charing Cross
Leicester Square,Charing Cross,705,706,Northern line to Charing Cross
Leicester Square,Charing Cross,708,709,Northern line to Charing Cross
Leicester Square,Charing Cross,711,712,Northern line to Charing Cross
Leicester Square,Charing Cross,714,715,Northern line to Charing Cross
Leicester Square,Charing Cross,717,718,Northern line to Charing Cross
Leicester Square,Charing Cross,720,721,Northern line to Charing Cross
Leicester Square,Charing Cross,723,724,Northern line to Charing Cross
Leicester Square,Charing Cross,726,727,Northern line to Charing Cross
Leicester Square,Charing Cross,729,730,Northern line to Charing Cross
Leicester Square,Charing Cross,732,733,Northern line to Charing Cross
Leicester Square,Charing Cross,735,736,Northern line to Charing Cross
Leicester Square,Charing Cross,738,739,Northern line to Charing Cross
Leicester Square,Charing Cross,741,742,Northern line to Charing Cross
Leicester Square,Charing Cross,744,745,Northern line to Charing Cross
Leicester Square,Charing Cross,747,748,Northern line to Charing Cross
Leicester Square,Charing Cross,750,751,Northern line to Charing Cross
Leicester Square,Charing Cross,753,754,Northern line to Charing Cross
Leicester Square,Charing Cross,756,757,Northern line to Charing Cross
Leicester Square,Charing Cross,759,760,Northern line to Charing Cross
Leicester Square,Charing Cross,802,803,Northern line to Charing Cross
Leicester Square,Charing Cross,805,806,Northern line to Charing Cross
Leicester Square,Charing Cross,808,809,Northern line to Charing Cross
Leicester Square,Charing Cross,811,812,Northern line to Charing Cross
Leicester Square,Charing Cross,814,815,Northern line to Charing Cross
Leicester Square,Charing Cross,817,818,Northern line to Charing Cross
Leicester Square,Charing Cross,819,820,Northern line to Charing Cross
Leicester Square,Charing Cross,822,823,Northern line to Charing Cross
Leicester Square,Charing Cross,824,825,Northern line to Charing Cross
Leicester Square,Charing Cross,827,828,Northern line to Charing Cross
Leicester Square,Charing Cross,829,830,Northern line to Charing Cross
Leicester Square,Charing Cross,832,833,Northern line to Charing Cross
Leicester Square,Charing Cross,834,835,Northern line to Charing Cross
Leicester Square,Charing Cross,837,838,Northern line to Charing Cross
Leicester Square,Charing Cross,839,840,Northern line to Charing Cross
Leicester Square,Charing Cross,842,843,Northern line to Charing Cross
Leicester Square,Charing Cross,844,845,Northern line to Charing Cross
Leicester Square,Charing Cross,847,848,Northern line to Charing Cross
Leicester Square,Charing Cross,849,850,Northern line to Charing Cross
Leicester Square,Charing Cross,852,853,Northern line to Charing Cross
Leicester Square,Charing Cross,854,855,Northern line to Charing Cross
Leicester Square,Charing Cross,857,858,Northern line to Charing Cross
Leicester Square,Charing Cross,859,860,Northern line to Charing Cross
Leicester Square,Charing Cross,902,903,Northern line to Charing Cross
Leicester Square,Charing Cross,904,905,Northern line to Charing Cross
Leicester Square,Charing Cross,907,908,Northern line to Charing Cross
Leicester Square,Charing Cross,909,910,Northern line to Charing Cross
Leicester Square,Charing Cross,912,913,Northern line to Charing Cross
Leicester Square,Charing Cross,914,915,Northern line to Charing Cross
Leicester Square,Charing Cross,917,918,Northern line to Charing Cross
Leicester Square,Charing Cross,919,920,Northern line to Charing Cross
Leicester Square,Charing Cross,922,923,Northern line to Charing Cross
Leicester Square,Charing Cross,925,926,Northern line to Charing Cross
Leicester Square,Charing Cross,928,929,Northern line to Charing Cross
Leicester Square,Charing Cross,931,932,Northern line to Charing Cross
Leicester Square,Charing Cross,934,935,Northern line to Charing Cross
Leicester Square,Charing Cross,937,938,Northern line to Charing Cross
Leicester Square,Charing Cross,940,941,Northern line to Charing Cross
Leicester Square,Charing Cross,943,944,Northern line to Charing Cross
Leicester Square,Charing Cross,946,947,Northern line to Charing Cross
Leicester Square,Charing Cross,949,950,Northern line to Charing Cross
