node1,node2,tstart,tend,line
Tooting Bec,Balham,523,524,Northern line to Balham
Tooting Bec,Balham,526,527,Northern line to Balham
Tooting Bec,Balham,529,530,Northern line to Balham
Tooting Bec,Balham,533,534,Northern line to Balham
Tooting Bec,Balham,537,538,Northern line to Balham
Tooting Bec,Balham,541,542,Northern line to Balham
Tooting Bec,Balham,544,545,Northern line to Balham
Tooting Bec,Balham,547,548,Northern line to Balham
Tooting Bec,Balham,550,551,Northern line to Balham
Tooting Bec,Balham,553,554,Northern line to Balham
Tooting Bec,Balham,556,557,Northern line to Balham
Tooting Bec,Balham,559,560,Northern line to Balham
Tooting Bec,Balham,602,603,Northern line to Balham
Tooting Bec,Balham,604,605,Northern line to Balham
Tooting Bec,Balham,606,607,Northern line to Balham
Tooting Bec,Balham,609,610,Northern line to Balham
Tooting Bec,Balham,612,613,Northern line to Balham
Tooting Bec,Balham,615,616,Northern line to Balham
Tooting Bec,Balham,618,619,Northern line to Balham
Tooting Bec,Balham,620,621,Northern line to Balham
Tooting Bec,Balham,623,624,Northern line to Balham
Tooting Bec,Balham,626,627,Northern line to Balham
Tooting Bec,Balham,628,629,Northern line to Balham
Tooting Bec,Balham,631,632,Northern line to Balham
Tooting Bec,Balham,634,635,Northern line to Balham
Tooting Bec,Balham,637,638,Northern line to Balham
Tooting Bec,Balham,641,642,Northern line to Balham
Tooting Bec,Balham,644,645,Northern line to Balham
Tooting Bec,Balham,647,648,Northern line to Balham
Tooting Bec,Balham,650,651,Northern line to Balham
Tooting Bec,Balham,653,654,Northern line to Balham
Tooting Bec,Balham,655,656,Northern line to Balham
Tooting Bec,Balham,658,659,Northern line to Balham
Tooting Bec,Balham,700,701,Northern line to Balham
Tooting Bec,Balham,702,703,Northern line to Balham
Tooting Bec,Balham,704,705,Northern line to Balham
Tooting Bec,Balham,707,708,Northern line to Balham
Tooting Bec,Balham,710,711,Northern line to Balham
Tooting Bec,Balham,713,714,Northern line to Balham
Tooting Bec,Balham,716,717,Northern line to Balham
Tooting Bec,Balham,719,720,Northern line to Balham
Tooting Bec,Balham,721,722,Northern line to Balham
Tooting Bec,Balham,723,724,Northern line to Balham
Tooting Bec,Balham,725,726,Northern line to Balham
Tooting Bec,Balham,727,728,Northern line to Balham
Tooting Bec,Balham,729,730,Northern line to Balham
Tooting Bec,Balham,731,732,Northern line to Balham
Tooting Bec,Balham,733,734,Northern line to Balham
Tooting Bec,Balham,735,736,Northern line to Balham
Tooting Bec,Balham,737,738,Northern line to Balham
Tooting Bec,Balham,739,740,Northern line to Balham
Tooting Bec,Balham,741,742,Northern line to Balham
Tooting Bec,Balham,743,744,Northern line to Balham
Tooting Bec,Balham,745,746,Northern line to Balham
Tooting Bec,Balham,747,748,Northern line to Balham
Tooting Bec,Balham,749,750,Northern line to Balham
Tooting Bec,Balham,751,752,Northern line to Balham
Tooting Bec,Balham,753,754,Northern line to Balham
Tooting Bec,Balham,755,756,Northern line to Balham
Tooting Bec,Balham,756,757,Northern line to Balham
Tooting Bec,Balham,758,759,Northern line to Balham
Tooting Bec,Balham,800,801,Northern line to Balham
Tooting Bec,Balham,802,803,Northern line to Balham
Tooting Bec,Balham,804,805,Northern line to Balham
Tooting Bec,Balham,806,807,Northern line to Balham
Tooting Bec,Balham,808,809,Northern line to Balham
Tooting Bec,Balham,810,811,Northern line to Balham
Tooting Bec,Balham,812,813,Northern line to Balham
Tooting Bec,Balham,814,815,Northern line to Balham
Tooting Bec,Balham,816,817,Northern line to Balham
Tooting Bec,Balham,818,819,Northern line to Balham
Tooting Bec,Balham,820,821,Northern line to Balham
Tooting Bec,Balham,822,823,Northern line to Balham
Tooting Bec,Balham,824,825,Northern line to Balham
Tooting Bec,Balham,826,827,Northern line to Balham
Tooting Bec,Balham,828,829,Northern line to Balham
Tooting Bec,Balham,830,831,Northern line to Balham
Tooting Bec,Balham,832,833,Northern line to Balham
Tooting Bec,Balham,834,835,Northern line to Balham
Tooting Bec,Balham,836,837,Northern line to Balham
Tooting Bec,Balham,838,839,Northern line to Balham
Tooting Bec,Balham,840,841,Northern line to Balham
Tooting Bec,Balham,842,843,Northern line to Balham
Tooting Bec,Balham,844,845,Northern line to Balham
Tooting Bec,Balham,846,847,Northern line to Balham
Tooting Bec,Balham,848,849,Northern line to Balham
Tooting Bec,Balham,850,851,Northern line to Balham
Tooting Bec,Balham,853,854,Northern line to Balham
Tooting Bec,Balham,855,856,Northern line to Balham
Tooting Bec,Balham,858,859,Northern line to Balham
Tooting Bec,Balham,900,901,Northern line to Balham
Tooting Bec,Balham,903,904,Northern line to Balham
Tooting Bec,Balham,905,906,Northern line to Balham
Tooting Bec,Balham,908,909,Northern line to Balham
Tooting Bec,Balham,911,912,Northern line to Balham
Tooting Bec,Balham,913,914,Northern line to Balham
Tooting Bec,Balham,915,916,Northern line to Balham
Tooting Bec,Balham,917,918,Northern line to Balham
Tooting Bec,Balham,919,920,Northern line to Balham
Tooting Bec,Balham,921,922,Northern line to Balham
Tooting Bec,Balham,923,924,Northern line to Balham
Tooting Bec,Balham,926,927,Northern line to Balham
Tooting Bec,Balham,929,930,Northern line to Balham
Tooting Bec,Balham,931,932,Northern line to Balham
Tooting Bec,Balham,934,935,Northern line to Balham
Tooting Bec,Balham,937,938,Northern line to Balham
Tooting Bec,Balham,940,941,Northern line to Balham
Tooting Bec,Balham,942,943,Northern line to Balham
Tooting Bec,Balham,945,946,Northern line to Balham
Tooting Bec,Balham,947,948,Northern line to Balham
Tooting Bec,Balham,950,951,Northern line to Balham
Tooting Bec,Balham,953,954,Northern line to Balham
Tooting Bec,Balham,956,957,Northern line to Balham
Tooting Bec,Balham,959,960,Northern line to Balham
Tooting Bec,Balham,1002,1003,Northern line to Balham
Tooting Bec,Balham,1004,1005,Northern line to Balham
Tooting Bec,Balham,1008,1009,Northern line to Balham
Tooting Bec,Balham,1011,1012,Northern line to Balham
Tooting Bec,Balham,1014,1015,Northern line to Balham
Tooting Bec,Balham,1017,1018,Northern line to Balham
Tooting Bec,Balham,1020,1021,Northern line to Balham
Tooting Bec,Balham,1023,1024,Northern line to Balham
Tooting Bec,Balham,1026,1027,Northern line to Balham
Tooting Bec,Balham,1029,1030,Northern line to Balham
Tooting Bec,Balham,1032,1033,Northern line to Balham
Tooting Bec,Balham,1035,1036,Northern line to Balham
Tooting Bec,Balham,1038,1039,Northern line to Balham
Tooting Bec,Balham,1041,1042,Northern line to Balham
Tooting Bec,Balham,1044,1045,Northern line to Balham
Tooting Bec,Balham,1047,1048,Northern line to Balham
Tooting Bec,Balham,1050,1051,Northern line to Balham
Tooting Bec,Balham,1053,1054,Northern line to Balham
Tooting Bec,Balham,1056,1057,Northern line to Balham
Tooting Bec,Balham,1059,1060,Northern line to Balham
Tooting Bec,Balham,1102,1103,Northern line to Balham
Tooting Bec,Balham,1105,1106,Northern line to Balham
Tooting Bec,Balham,1108,1109,Northern line to Balham
Tooting Bec,Balham,1111,1112,Northern line to Balham
Tooting Bec,Balham,1114,1115,Northern line to Balham
Tooting Bec,Balham,1117,1118,Northern line to Balham
Tooting Bec,Balham,1120,1121,Northern line to Balham
Tooting Bec,Balham,1123,1124,Northern line to Balham
Tooting Bec,Balham,1126,1127,Northern line to Balham
Tooting Bec,Balham,1129,1130,Northern line to Balham
Tooting Bec,Balham,1132,1133,Northern line to Balham
Tooting Bec,Balham,1135,1136,Northern line to Balham
Tooting Bec,Balham,1138,1139,Northern line to Balham
Tooting Bec,Balham,1141,1142,Northern line to Balham
Tooting Bec,Balham,1144,1145,Northern line to Balham
Tooting Bec,Balham,1147,1148,Northern line to Balham
Tooting Bec,Balham,1150,1151,Northern line to Balham
Tooting Bec,Balham,1153,1154,Northern line to Balham
Tooting Bec,Balham,1156,1157,Northern line to Balham
Tooting Bec,Balham,1159,1160,Northern line to Balham
Tooting Bec,Balham,1202,1203,Northern line to Balham
Tooting Bec,Balham,1205,1206,Northern line to Balham
Tooting Bec,Balham,1208,1209,Northern line to Balham
Tooting Bec,Balham,1211,1212,Northern line to Balham
Tooting Bec,Balham,1214,1215,Northern line to Balham
Tooting Bec,Balham,1217,1218,Northern line to Balham
Tooting Bec,Balham,1220,1221,Northern line to Balham
Tooting Bec,Balham,1223,1224,Northern line to Balham
Tooting Bec,Balham,1226,1227,Northern line to Balham
Tooting Bec,Balham,1229,1230,Northern line to Balham
Tooting Bec,Balham,1232,1233,Northern line to Balham
Tooting Bec,Balham,1235,1236,Northern line to Balham
Tooting Bec,Balham,1238,1239,Northern line to Balham
