node1,node2,tstart,tend,line
Tufnell Park,Archway,556,557,Northern line to Archway
Tufnell Park,Archway,604,605,Northern line to Archway
Tufnell Park,Archway,611,612,Northern line to Archway
Tufnell Park,Archway,618,619,Northern line to Archway
Tufnell Park,Archway,626,627,Northern line to Archway
Tufnell Park,Archway,631,632,Northern line to Archway
Tufnell Park,Archway,637,638,Northern line to Archway
Tufnell Park,Archway,640,641,Northern line to Archway
Tufnell Park,Archway,643,644,Northern line to Archway
Tufnell Park,Archway,647,648,Northern line to Archway
Tufnell Park,Archway,650,651,Northern line to Archway
Tufnell Park,Archway,653,654,Northern line to Archway
Tufnell Park,Archway,656,657,Northern line to Archway
Tufnell Park,Archway,700,701,Northern line to Archway
Tufnell Park,Archway,702,703,Northern line to Archway
Tufnell Park,Archway,705,706,Northern line to Archway
Tufnell Park,Archway,707,708,Northern line to Archway
Tufnell Park,Archway,710,711,Northern line to Archway
Tufnell Park,Archway,713,714,Northern line to Archway
Tufnell Park,Archway,716,717,Northern line to Archway
Tufnell Park,Archway,719,720,Northern line to Archway
Tufnell Park,Archway,722,723,Northern line to Archway
Tufnell Park,Archway,725,726,Northern line to Archway
Tufnell Park,Archway,728,729,Northern line to Archway
Tufnell Park,Archway,731,732,Northern line to Archway
Tufnell Park,Archway,734,735,Northern line to Archway
Tufnell Park,Archway,737,738,Northern line to Archway
Tufnell Park,Archway,740,741,Northern line to Archway
Tufnell Park,Archway,743,744,Northern line to Archway
Tufnell Park,Archway,746,747,Northern line to Archway
Tufnell Park,Archway,749,750,Northern line to Archway
Tufnell Park,Archway,752,753,Northern line to Archway
Tufnell Park,Archway,755,756,Northern line to Archway
Tufnell Park,Archway,758,759,Northern line to Archway
Tufnell Park,Archway,801,802,Northern line to Archway
Tufnell Park,Archway,804,805,Northern line to Archway
Tufnell Park,Archway,807,808,Northern line to Archway
Tufnell Park,Archway,810,811,Northern line to Archway
Tufnell Park,Archway,813,814,Northern line to Archway
Tufnell Park,Archway,816,817,Northern line to Archway
Tufnell Park,Archway,819,820,Northern line to Archway
Tufnell Park,Archway,822,823,Northern line to Archway
Tufnell Park,Archway,825,826,Northern line to Archway
Tufnell Park,Archway,828,829,Northern line to Archway
Tufnell Park,Archway,831,832,Northern line to Archway
Tufnell Park,Archway,834,835,Northern line to Archway
Tufnell Park,Archway,837,838,Northern line to Archway
Tufnell Park,Archway,839,840,Northern line to Archway
Tufnell Park,Archway,842,843,Northern line to Archway
Tufnell Park,Archway,845,846,Northern line to Archway
Tufnell Park,Archway,848,849,Northern line to Archway
Tufnell Park,Archway,850,851,Northern line to Archway
Tufnell Park,Archway,852,853,Northern line to Archway
Tufnell Park,Archway,854,855,Northern line to Archway
Tufnell Park,Archway,856,857,Northern line to Archway
Tufnell Park,Archway,859,860,Northern line to Archway
Tufnell Park,Archway,902,903,Northern line to Archway
Tufnell Park,Archway,904,905,Northern line to Archway
Tufnell Park,Archway,907,908,Northern line to Archway
Tufnell Park,Archway,909,910,Northern line to Archway
Tufnell Park,Archway,912,913,Northern line to Archway
Tufnell Park,Archway,915,916,Northern line to Archway
Tufnell Park,Archway,918,919,Northern line to Archway
Tufnell Park,Archway,920,921,Northern line to Archway
Tufnell Park,Archway,923,924,Northern line to Archway
Tufnell Park,Archway,925,926,Northern line to Archway
Tufnell Park,Archway,927,928,Northern line to Archway
Tufnell Park,Archway,929,930,Northern line to Archway
Tufnell Park,Archway,932,933,Northern line to Archway
Tufnell Park,Archway,935,936,Northern line to Archway
Tufnell Park,Archway,937,938,Northern line to Archway
Tufnell Park,Archway,940,941,Northern line to Archway
Tufnell Park,Archway,943,944,Northern line to Archway
Tufnell Park,Archway,946,947,Northern line to Archway
Tufnell Park,Archway,949,950,Northern line to Archway
Tufnell Park,Archway,952,953,Northern line to Archway
Tufnell Park,Archway,955,956,Northern line to Archway
Tufnell Park,Archway,958,959,Northern line to Archway
