node1,node2,tstart,tend,line
Warren Street,Goodge Street,550,551,Northern line to Goodge Street
Warren Street,Goodge Street,555,556,Northern line to Goodge Street
Warren Street,Goodge Street,600,601,Northern line to Goodge Street
Warren Street,Goodge Street,605,606,Northern line to Goodge Street
Warren Street,Goodge Street,610,611,Northern line to Goodge Street
Warren Street,Goodge Street,615,616,Northern line to Goodge Street
Warren Street,Goodge Street,620,621,Northern line to Goodge Street
Warren Street,Goodge Street,625,626,Northern line to Goodge Street
Warren Street,Goodge Street,630,631,Northern line to Goodge Street
Warren Street,Goodge Street,634,635,Northern line to Goodge Street
Warren Street,Goodge Street,637,638,Northern line to Goodge Street
Warren Street,Goodge Street,640,641,Northern line to Goodge Street
Warren Street,Goodge Street,643,644,Northern line to Goodge Street
Warren Street,Goodge Street,646,647,Northern line to Goodge Street
Warren Street,Goodge Street,649,650,Northern line to Goodge Street
Warren Street,Goodge Street,652,653,Northern line to Goodge Street
Warren Street,Goodge Street,655,656,Northern line to Goodge Street
Warren Street,Goodge Street,658,659,Northern line to Goodge Street
Warren Street,Goodge Street,701,702,Northern line to Goodge Street
Warren Street,Goodge Street,704,705,Northern line to Goodge Street
Warren Street,Goodge Street,707,708,Northern line to Goodge Street
Warren Street,Goodge Street,710,711,Northern line to Goodge Street
Warren Street,Goodge Street,713,714,Northern line to Goodge Street
Warren Street,Goodge Street,716,717,Northern line to Goodge Street
Warren Street,Goodge Street,719,720,Northern line to Goodge Street
Warren Street,Goodge Street,722,723,Northern line to Goodge Street
Warren Street,Goodge Street,725,726,Northern line to Goodge Street
Warren Street,Goodge Street,728,729,Northern line to Goodge Street
Warren Street,Goodge Street,731,732,Northern line to Goodge Street
Warren Street,Goodge Street,734,735,Northern line to Goodge Street
Warren Street,Goodge Street,737,738,Northern line to Goodge Street
Warren Street,Goodge Street,740,741,Northern line to Goodge Street
Warren Street,Goodge Street,743,744,Northern line to Goodge Street
Warren Street,Goodge Street,746,747,Northern line to Goodge Street
Warren Street,Goodge Street,749,750,Northern line to Goodge Street
Warren Street,Goodge Street,752,753,Northern line to Goodge Street
Warren Street,Goodge Street,755,756,Northern line to Goodge Street
Warren Street,Goodge Street,758,759,Northern line to Goodge Street
Warren Street,Goodge Street,801,802,Northern line to Goodge Street
Warren Street,Goodge Street,804,805,Northern line to Goodge Street
Warren Street,Goodge Street,807,808,Northern line to Goodge Street
Warren Street,Goodge Street,810,811,Northern line to Goodge Street
Warren Street,Goodge Street,813,814,Northern line to Goodge Street
Warren Street,Goodge Street,815,816,Northern line to Goodge Street
Warren Street,Goodge Street,818,819,Northern line to Goodge Street
Warren Street,Goodge Street,820,821,Northern line to Goodge Street
Warren Street,Goodge Street,823,824,Northern line to Goodge Street
Warren Street,Goodge Street,825,826,Northern line to Goodge Street
Warren Street,Goodge Street,827,828,Northern line to Goodge Street
Warren Street,Goodge Street,830,831,Northern line to Goodge Street
Warren Street,Goodge Street,832,833,Northern line to Goodge Street
Warren Street,Goodge Street,835,836,Northern line to Goodge Street
Warren Street,Goodge Street,837,838,Northern line to Goodge Street
Warren Street,Goodge Street,840,841,Northern line to Goodge Street
Warren Street,Goodge Street,842,843,Northern line to Goodge Street
Warren Street,Goodge Street,845,846,Northern line to Goodge Street
Warren Street,Goodge Street,847,848,Northern line to Goodge Street
Warren Street,Goodge Street,850,851,Northern line to Goodge Street
Warren Street,Goodge Street,852,853,Northern line to Goodge Street
Warren Street,Goodge Street,855,856,Northern line to Goodge Street
Warren Street,Goodge Street,857,858,Northern line to Goodge Street
Warren Street,Goodge Street,900,901,Northern line to Goodge Street
Warren Street,Goodge Street,903,904,Northern line to Goodge Street
Warren Street,Goodge Street,905,906,Northern line to Goodge Street
Warren Street,Goodge Street,908,909,Northern line to Goodge Street
Warren Street,Goodge Street,910,911,Northern line to Goodge Street
Warren Street,Goodge Street,913,914,Northern line to Goodge Street
Warren Street,Goodge Street,915,916,Northern line to Goodge Street
