node1,node2,tstart,tend,line
Warren Street,Euston,547,548,Northern line to Euston
Warren Street,Euston,555,556,Northern line to Euston
Warren Street,Euston,602,603,Northern line to Euston
Warren Street,Euston,609,610,Northern line to Euston
Warren Street,Euston,615,616,Northern line to Euston
Warren Street,Euston,621,622,Northern line to Euston
Warren Street,Euston,626,627,Northern line to Euston
Warren Street,Euston,630,631,Northern line to Euston
Warren Street,Euston,633,634,Northern line to Euston
Warren Street,Euston,637,638,Northern line to Euston
Warren Street,Euston,640,641,Northern line to Euston
Warren Street,Euston,644,645,Northern line to Euston
Warren Street,Euston,647,648,Northern line to Euston
Warren Street,Euston,651,652,Northern line to Euston
Warren Street,Euston,654,655,Northern line to Euston
Warren Street,Euston,658,659,Northern line to Euston
Warren Street,Euston,701,702,Northern line to Euston
Warren Street,Euston,704,705,Northern line to Euston
Warren Street,Euston,707,708,Northern line to Euston
Warren Street,Euston,710,711,Northern line to Euston
Warren Street,Euston,713,714,Northern line to Euston
Warren Street,Euston,716,717,Northern line to Euston
Warren Street,Euston,719,720,Northern line to Euston
Warren Street,Euston,722,723,Northern line to Euston
Warren Street,Euston,725,726,Northern line to Euston
Warren Street,Euston,728,729,Northern line to Euston
Warren Street,Euston,731,732,Northern line to Euston
Warren Street,Euston,734,735,Northern line to Euston
Warren Street,Euston,737,738,Northern line to Euston
Warren Street,Euston,740,741,Northern line to Euston
Warren Street,Euston,743,744,Northern line to Euston
Warren Street,Euston,746,747,Northern line to Euston
Warren Street,Euston,749,750,Northern line to Euston
Warren Street,Euston,752,753,Northern line to Euston
Warren Street,Euston,755,756,Northern line to Euston
Warren Street,Euston,758,759,Northern line to Euston
Warren Street,Euston,801,802,Northern line to Euston
Warren Street,Euston,804,805,Northern line to Euston
Warren Street,Euston,807,808,Northern line to Euston
Warren Street,Euston,810,811,Northern line to Euston
Warren Street,Euston,813,814,Northern line to Euston
Warren Street,Euston,816,817,Northern line to Euston
Warren Street,Euston,819,820,Northern line to Euston
Warren Street,Euston,822,823,Northern line to Euston
Warren Street,Euston,825,826,Northern line to Euston
