node1,node2,tstart,tend,line
Acton Town,Hammersmith (Dist&Picc Line),526,532,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),536,542,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),543,549,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),551,557,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),557,563,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),603,609,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),608,614,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),613,619,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),618,624,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),622,628,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),626,632,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),630,636,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),634,640,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),637,643,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),641,647,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),643,649,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),647,653,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),651,657,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),654,660,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),656,662,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),659,665,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),701,707,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),704,710,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),706,712,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),709,715,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),711,717,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),714,720,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),716,722,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),719,725,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),721,727,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),724,730,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),726,732,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),729,735,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),731,737,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),734,740,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),736,742,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),739,745,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),741,747,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),744,750,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),746,752,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),749,755,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),751,757,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),754,760,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),756,762,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),759,765,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),801,807,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),804,810,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),806,812,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),809,815,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),811,817,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),814,820,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),816,822,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),819,825,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),821,827,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),824,830,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),826,832,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),829,835,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),831,837,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),834,840,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),836,842,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),839,845,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),841,847,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),844,850,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),846,852,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),849,855,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),851,857,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),854,860,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),856,862,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),859,865,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),901,907,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),904,910,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),906,912,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),909,915,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),911,917,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),914,920,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),916,922,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),919,925,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),921,927,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),924,930,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),926,932,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),929,935,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),931,937,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),934,940,Piccadilly line to Hammersmith (Dist&Picc Line)
Acton Town,Hammersmith (Dist&Picc Line),936,942,Piccadilly line to Hammersmith (Dist&Picc Line)
